Package,C(rec),LOC(rec),METH(rec)
"",914,84.787,5.819
"com",477,42.768,2.896
"com.opensymphony",477,42.768,2.896
"com.opensymphony.xwork2",477,42.768,2.896
"com.opensymphony.xwork2.config",55,5.190,423
"com.opensymphony.xwork2.config.entities",23,1.845,225
"com.opensymphony.xwork2.config.impl",13,1.023,68
"com.opensymphony.xwork2.config.providers",7,1.632,67
"com.opensymphony.xwork2.conversion",29,2.963,142
"com.opensymphony.xwork2.conversion.annotations",4,337,8
"com.opensymphony.xwork2.conversion.impl",15,2.119,97
"com.opensymphony.xwork2.conversion.metadata",1,159,12
"com.opensymphony.xwork2.factory",12,303,21
"com.opensymphony.xwork2.inject",75,2.986,265
"com.opensymphony.xwork2.inject.util",23,1.011,95
"com.opensymphony.xwork2.interceptor",45,4.558,183
"com.opensymphony.xwork2.interceptor.annotations",12,633,12
"com.opensymphony.xwork2.mock",6,487,76
"com.opensymphony.xwork2.ognl",32,2.651,216
"com.opensymphony.xwork2.ognl.accessor",14,1.171,63
"com.opensymphony.xwork2.result",1,7,1
"com.opensymphony.xwork2.security",6,255,38
"com.opensymphony.xwork2.spring",3,471,21
"com.opensymphony.xwork2.spring.interceptor",1,130,4
"com.opensymphony.xwork2.test",1,25,5
"com.opensymphony.xwork2.util",106,10.318,725
"com.opensymphony.xwork2.util.classloader",6,410,30
"com.opensymphony.xwork2.util.finder",19,2.294,166
"com.opensymphony.xwork2.util.fs",5,320,27
"com.opensymphony.xwork2.util.location",9,983,66
"com.opensymphony.xwork2.util.logging",13,780,134
"com.opensymphony.xwork2.util.logging.commons",2,132,25
"com.opensymphony.xwork2.util.logging.jdk",2,131,25
"com.opensymphony.xwork2.util.logging.log4j2",2,135,25
"com.opensymphony.xwork2.util.logging.slf4j",2,136,25
"com.opensymphony.xwork2.util.profiling",5,672,22
"com.opensymphony.xwork2.util.reflection",6,346,47
"com.opensymphony.xwork2.validator",62,8.315,441
"com.opensymphony.xwork2.validator.annotations",20,2.767,154
"com.opensymphony.xwork2.validator.validators",22,2.136,108
"org",437,42.019,2.923
"org.apache",437,42.019,2.923
"org.apache.struts2",437,42.019,2.923
"org.apache.struts2.components",79,11.237,845
"org.apache.struts2.components.template",12,775,51
"org.apache.struts2.config",12,1.154,46
"org.apache.struts2.dispatcher",49,5.497,340
"org.apache.struts2.dispatcher.filter",4,320,17
"org.apache.struts2.dispatcher.listener",2,99,6
"org.apache.struts2.dispatcher.mapper",12,1.210,67
"org.apache.struts2.dispatcher.multipart",6,1.196,88
"org.apache.struts2.dispatcher.servlet",2,128,7
"org.apache.struts2.factory",4,246,14
"org.apache.struts2.interceptor",45,5.012,194
"org.apache.struts2.interceptor.debugging",6,719,37
"org.apache.struts2.interceptor.servlet",1,71,5
"org.apache.struts2.interceptor.validation",2,98,2
"org.apache.struts2.result",10,1.975,106
"org.apache.struts2.util",41,2.847,212
"org.apache.struts2.util.fs",1,193,13
"org.apache.struts2.views",192,13.436,1.145
"org.apache.struts2.views.annotations",3,107,11
"org.apache.struts2.views.freemarker",53,3.275,209
"org.apache.struts2.views.freemarker.tags",45,2.102,143
"org.apache.struts2.views.jsp",63,4.688,493
"org.apache.struts2.views.jsp.iterator",5,709,24
"org.apache.struts2.views.jsp.ui",36,2.634,347
"org.apache.struts2.views.util",4,447,22
"org.apache.struts2.views.velocity",42,2.228,110
"org.apache.struts2.views.velocity.components",39,1.560,87
"org.apache.struts2.views.xslt",23,2.462,293

