Package,C(rec),LOC(rec),METH(rec)
"",1.291,200.610,10.653
"org",1.291,200.610,10.653
"org.apache",1.291,200.610,10.653
"org.apache.tools",1.291,200.610,10.653
"org.apache.tools.ant",1.231,186.457,9.987
"org.apache.tools.ant.attribute",9,245,8
"org.apache.tools.ant.dispatch",3,205,5
"org.apache.tools.ant.filters",52,5.296,275
"org.apache.tools.ant.filters.util",3,331,13
"org.apache.tools.ant.helper",20,2.597,110
"org.apache.tools.ant.input",7,493,22
"org.apache.tools.ant.launch",5,939,25
"org.apache.tools.ant.listener",10,1.581,87
"org.apache.tools.ant.loader",2,87,4
"org.apache.tools.ant.property",8,768,37
"org.apache.tools.ant.taskdefs",673,111.882,5.961
"org.apache.tools.ant.taskdefs.compilers",14,1.970,60
"org.apache.tools.ant.taskdefs.condition",32,3.136,165
"org.apache.tools.ant.taskdefs.cvslib",11,1.918,85
"org.apache.tools.ant.taskdefs.email",11,1.745,102
"org.apache.tools.ant.taskdefs.launcher",10,809,27
"org.apache.tools.ant.taskdefs.optional",320,55.217,2.904
"org.apache.tools.ant.taskdefs.optional.ccm",7,794,49
"org.apache.tools.ant.taskdefs.optional.clearcase",14,4.414,234
"org.apache.tools.ant.taskdefs.optional.depend",26,2.980,129
"org.apache.tools.ant.taskdefs.optional.depend.constantpool",18,1.643,89
"org.apache.tools.ant.taskdefs.optional.ejb",27,6.944,311
"org.apache.tools.ant.taskdefs.optional.extension",19,3.241,139
"org.apache.tools.ant.taskdefs.optional.extension.resolvers",3,280,16
"org.apache.tools.ant.taskdefs.optional.i18n",1,567,18
"org.apache.tools.ant.taskdefs.optional.image",1,367,19
"org.apache.tools.ant.taskdefs.optional.j2ee",6,910,52
"org.apache.tools.ant.taskdefs.optional.javacc",3,1.035,66
"org.apache.tools.ant.taskdefs.optional.javah",5,415,11
"org.apache.tools.ant.taskdefs.optional.jdepend",2,613,30
"org.apache.tools.ant.taskdefs.optional.jlink",4,669,28
"org.apache.tools.ant.taskdefs.optional.jsp",10,1.644,83
"org.apache.tools.ant.taskdefs.optional.jsp.compilers",4,461,22
"org.apache.tools.ant.taskdefs.optional.junit",54,8.195,462
"org.apache.tools.ant.taskdefs.optional.native2ascii",5,392,15
"org.apache.tools.ant.taskdefs.optional.net",46,6.385,350
"org.apache.tools.ant.taskdefs.optional.pvcs",2,650,39
"org.apache.tools.ant.taskdefs.optional.script",4,468,26
"org.apache.tools.ant.taskdefs.optional.sos",6,893,53
"org.apache.tools.ant.taskdefs.optional.sound",3,385,25
"org.apache.tools.ant.taskdefs.optional.splash",2,411,27
"org.apache.tools.ant.taskdefs.optional.ssh",19,3.068,197
"org.apache.tools.ant.taskdefs.optional.testing",4,669,38
"org.apache.tools.ant.taskdefs.optional.unix",4,817,35
"org.apache.tools.ant.taskdefs.optional.vss",13,1.761,113
"org.apache.tools.ant.taskdefs.optional.windows",1,172,17
"org.apache.tools.ant.taskdefs.rmic",9,1.067,41
"org.apache.tools.ant.types",237,29.105,1.788
"org.apache.tools.ant.types.conditions",n/a,89,n/a
"org.apache.tools.ant.types.mappers",2,148,7
"org.apache.tools.ant.types.optional",21,2.052,129
"org.apache.tools.ant.types.optional.depend",3,365,26
"org.apache.tools.ant.types.optional.image",13,1.040,54
"org.apache.tools.ant.types.resolver",2,282,7
"org.apache.tools.ant.types.resources",89,8.385,547
"org.apache.tools.ant.types.resources.comparators",10,580,23
"org.apache.tools.ant.types.resources.selectors",15,1.158,76
"org.apache.tools.ant.types.selectors",48,6.345,361
"org.apache.tools.ant.types.selectors.modifiedselector",11,1.553,80
"org.apache.tools.ant.types.spi",2,165,9
"org.apache.tools.ant.util",113,14.712,762
"org.apache.tools.ant.util.depend",5,807,43
"org.apache.tools.ant.util.depend.bcel",3,432,17
"org.apache.tools.ant.util.facade",2,201,13
"org.apache.tools.ant.util.java15",1,98,3
"org.apache.tools.ant.util.optional",4,404,16
"org.apache.tools.ant.util.regexp",11,1.139,58
"org.apache.tools.bzip2",7,3.448,90
"org.apache.tools.mail",4,604,42
"org.apache.tools.tar",8,3.388,167
"org.apache.tools.zip",41,6.713,367

