Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.opensymphony.xwork2.ActionProxy.getAction()",n/a,103,2,n/a,n/a,0,n/a,n/a
"com.opensymphony.xwork2.ActionProxy.getActionName()",n/a,27,2,n/a,n/a,0,n/a,n/a
"com.opensymphony.xwork2.ActionProxy.getConfig()",n/a,67,2,n/a,n/a,0,n/a,n/a
"com.opensymphony.xwork2.ActionProxy.getExecuteResult()",n/a,4,2,n/a,n/a,0,n/a,n/a
"com.opensymphony.xwork2.ActionProxy.getInvocation()",n/a,43,2,n/a,n/a,0,n/a,n/a
"com.opensymphony.xwork2.ActionProxy.getMethod()",n/a,30,2,n/a,n/a,0,n/a,n/a
"com.opensymphony.xwork2.ActionProxy.getNamespace()",n/a,26,2,n/a,n/a,0,n/a,n/a
"com.opensymphony.xwork2.ActionProxy.isMethodSpecified()",n/a,1,2,n/a,n/a,0,n/a,n/a
"com.opensymphony.xwork2.ActionProxy.setExecuteResult(boolean)",n/a,2,2,n/a,n/a,1,n/a,n/a
"com.opensymphony.xwork2.ActionProxyFactory.createActionProxy(ActionInvocation,String,String,String,boolean,boolean)",n/a,0,3,n/a,n/a,6,n/a,n/a
"com.opensymphony.xwork2.ActionProxyFactory.createActionProxy(String,String,String,Map<String, Object>)",n/a,114,2,n/a,n/a,4,n/a,n/a
"com.opensymphony.xwork2.ActionProxyFactory.createActionProxy(String,String,String,Map<String, Object>,boolean,boolean)",n/a,13,4,n/a,n/a,6,n/a,n/a
"com.opensymphony.xwork2.ActionSupport.addActionError(String)",1,37,n/a,3,0,1,1,1
"com.opensymphony.xwork2.ActionSupport.addActionMessage(String)",1,16,n/a,3,0,1,1,1
"com.opensymphony.xwork2.ActionSupport.addFieldError(String,String)",1,37,n/a,3,0,2,1,1
"com.opensymphony.xwork2.ActionSupport.clearActionErrors()",1,0,n/a,7,0,0,1,1
"com.opensymphony.xwork2.ActionSupport.clearErrors()",1,0,n/a,7,0,0,1,1
"com.opensymphony.xwork2.ActionSupport.clearErrorsAndMessages()",1,3,n/a,7,0,0,1,1
"com.opensymphony.xwork2.ActionSupport.clearFieldErrors()",1,0,n/a,7,0,0,1,1
"com.opensymphony.xwork2.ActionSupport.clearMessages()",1,0,n/a,7,0,0,1,1
"com.opensymphony.xwork2.ActionSupport.clone()",1,3,n/a,4,0,0,1,1
"com.opensymphony.xwork2.ActionSupport.doDefault()",0,1,n/a,3,0,0,1,1
"com.opensymphony.xwork2.ActionSupport.execute()",0,9,n/a,17,0,0,1,1
"com.opensymphony.xwork2.ActionSupport.getActionErrors()",1,42,n/a,3,0,0,1,1
