Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.nutch.net.URLNormalizers",0,8,14,14,67
"org.apache.nutch.net.protocols.HttpDateFormat",0,0,0,0,0
"org.apache.nutch.net.protocols.ProtocolException",0,0,0,0,0
"org.apache.nutch.parse.HTMLMetaTags",0,1,7,2,2
"org.apache.nutch.parse.HtmlParseFilters",0,6,32,0,0
"org.apache.nutch.parse.Outlink",0,0,0,10,104
"org.apache.nutch.parse.OutlinkExtractor",0,1,1,0,0
"org.apache.nutch.parse.ParseCallable",0,3,21,1,27
"org.apache.nutch.parse.ParseData",5,5,15,28,99
"org.apache.nutch.parse.ParseException",0,0,0,2,29
"org.apache.nutch.parse.ParseImpl",5,3,15,7,99
"org.apache.nutch.parse.ParseOutputFormat",16,17,172,3,25
"org.apache.nutch.parse.ParseOutputFormat.SimpleEntry",0,1,19,1,26
"org.apache.nutch.parse.ParsePluginList",0,0,0,2,29
"org.apache.nutch.parse.ParsePluginsReader",0,3,3,1,28
"org.apache.nutch.parse.ParseResult",5,4,15,11,99
"org.apache.nutch.parse.ParseSegment",16,25,172,7,25
"org.apache.nutch.parse.ParseStatus",5,4,15,10,99
"org.apache.nutch.parse.ParseStatus.EmptyParseImpl",5,5,15,1,99
"org.apache.nutch.parse.ParseText",0,2,2,15,100
"org.apache.nutch.parse.ParseUtil",0,9,37,5,26
"org.apache.nutch.parse.ParserChecker",0,18,173,0,0
"org.apache.nutch.parse.ParserFactory",0,12,35,1,27
"org.apache.nutch.parse.ParserNotFound",0,1,1,2,28
"org.apache.nutch.plugin.CircularDependencyException",0,0,0,1,85
"org.apache.nutch.plugin.Extension",5,3,12,11,84
"org.apache.nutch.plugin.ExtensionPoint",5,1,12,10,84
"org.apache.nutch.plugin.MissingDependencyException",0,0,0,1,85
"org.apache.nutch.plugin.Plugin",5,2,12,2,84
"org.apache.nutch.plugin.PluginClassLoader",0,0,0,2,85
"org.apache.nutch.plugin.PluginDescriptor",5,5,12,6,84
"org.apache.nutch.plugin.PluginManifestParser",5,4,12,1,84
"org.apache.nutch.plugin.PluginRepository",5,12,12,14,84
