Chidamber-Kemerer metrics,Seg, 11 dez 2017 19:51:30 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.pig.backend.datastorage.ElementDescriptor",n/a,n/a,n/a,n/a,16,n/a
"org.apache.pig.backend.datastorage.ImmutableOutputStream",1,0,1,0,2,2
"org.apache.pig.backend.datastorage.SeekableInputStream",7,0,2,1,2,0
"org.apache.pig.backend.datastorage.SeekableInputStream.FLAGS",3,n/a,0,n/a,0,0
"org.apache.pig.backend.executionengine.ExecException",318,2,0,2,24,12
"org.apache.pig.backend.executionengine.ExecJob",n/a,n/a,n/a,n/a,13,n/a
"org.apache.pig.backend.executionengine.ExecJob.JOB_STATUS",3,n/a,0,n/a,0,0
"org.apache.pig.backend.executionengine.ExecutionEngine",n/a,n/a,n/a,n/a,12,n/a
"org.apache.pig.backend.hadoop.BigDecimalWritable",4,0,1,0,13,11
"org.apache.pig.backend.hadoop.BigDecimalWritable.Comparator",2,0,1,0,5,2
"org.apache.pig.backend.hadoop.BigIntegerWritable",4,0,1,0,13,11
"org.apache.pig.backend.hadoop.BigIntegerWritable.Comparator",2,0,1,0,5,2
"org.apache.pig.backend.hadoop.DateTimeWritable",2,0,1,0,11,11
"org.apache.pig.backend.hadoop.DateTimeWritable.Comparator",2,0,1,0,2,2
"org.apache.pig.backend.hadoop.DoubleWritable",2,0,1,0,11,13
"org.apache.pig.backend.hadoop.DoubleWritable.Comparator",2,0,1,0,2,4
"org.apache.pig.backend.hadoop.HDataType",31,0,1,0,34,81
"org.apache.pig.backend.hadoop.accumulo.AbstractAccumuloStorage",24,1,8,1,75,108
"org.apache.pig.backend.hadoop.accumulo.AccumuloBinaryConverter",8,0,20,0,28,31
"org.apache.pig.backend.hadoop.accumulo.AccumuloStorage",10,2,2,0,20,40
"org.apache.pig.backend.hadoop.accumulo.AccumuloStorageOptions",1,0,4,0,7,9
"org.apache.pig.backend.hadoop.accumulo.Column",3,0,2,0,7,20
"org.apache.pig.backend.hadoop.accumulo.Column.Type",3,n/a,0,n/a,0,0
"org.apache.pig.backend.hadoop.accumulo.FixedByteArrayOutputStream",1,0,1,0,3,3
"org.apache.pig.backend.hadoop.accumulo.Utils",1,0,1,0,10,43
"org.apache.pig.backend.hadoop.datastorage.ConfigurationUtil",43,0,4,0,6,13
"org.apache.pig.backend.hadoop.datastorage.HConfiguration",1,0,1,0,3,6
"org.apache.pig.backend.hadoop.datastorage.HDataStorage",16,0,10,0,27,32
"org.apache.pig.backend.hadoop.datastorage.HDirectory",10,1,1,0,29,22
"org.apache.pig.backend.hadoop.datastorage.HFile",5,1,1,0,19,11
"org.apache.pig.backend.hadoop.datastorage.HPath",11,0,4,2,30,28
"org.apache.pig.backend.hadoop.datastorage.HSeekableInputStream",5,1,1,0,13,16
"org.apache.pig.backend.hadoop.executionengine.HExecutionEngine",38,0,2,2,49,43
"org.apache.pig.backend.hadoop.executionengine.HJob",13,0,12,0,23,24
"org.apache.pig.backend.hadoop.executionengine.JobCreationException",7,2,0,0,24,12
"org.apache.pig.backend.hadoop.executionengine.Launcher",18,0,10,2,29,47
"org.apache.pig.backend.hadoop.executionengine.Launcher.HangingJobKiller",1,0,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.Launcher.JobControlThreadExceptionHandler",3,0,1,0,2,1
"org.apache.pig.backend.hadoop.executionengine.MapRedResult",1,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.TaskContext",4,0,8,3,8,3
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchContext",2,0,1,0,2,2
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchLauncher",31,0,2,0,35,13
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchOptimizer",12,0,1,0,13,13
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchOptimizer.FetchablePlanVisitor",35,2,2,0,37,29
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchPOStoreImpl",7,1,1,0,10,7
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchProgressableReporter",2,0,2,0,2,2
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchTaskContext",3,1,1,0,8,10
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.AccumulatorOptimizer",7,2,1,0,5,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.ColumnChainInfo",8,0,1,0,19,20
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.ColumnInfo",4,0,3,0,12,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.CombinerOptimizer",8,2,1,0,8,4
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.DistinctCombiner",0,0,0,0,0,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.DistinctCombiner.Combine",4,0,1,0,4,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.FileBasedOutputSizeReader",5,0,1,0,7,10
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.IllustrateDummyReporter",0,0,4,0,5,5
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.InputSizeReducerEstimator",15,0,1,0,13,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler",113,0,1,0,120,210
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.JoinDistributedCacheVisitor",17,2,1,0,24,13
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.ParallelConstantVisitor",7,2,1,0,9,5
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigBagWritableComparator",2,1,0,0,4,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigBigDecimalWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigBigIntegerWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigBooleanWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigCharArrayWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigDBAWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigDateTimeWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigDoubleWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigFloatWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingBagWritableComparator",1,0,0,0,3,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingBigDecimalWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingBigIntegerWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingBooleanWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingCharArrayWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingDBAWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingDateTimeWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingDoubleWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingFloatWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingIntWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingLongWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingPartitionWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigGroupingTupleWritableComparator",2,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigIntWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigLongWritableComparator",3,1,0,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigSecondaryKeyGroupComparator",7,0,1,0,8,13
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigTupleWritableComparator",4,1,0,0,4,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigWritableComparator",12,0,1,12,2,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.KeyTypeDiscoveryVisitor",13,2,1,0,9,9
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.KeyTypeDiscoveryVisitor.PhyPlanKeyTypeVisitor",8,2,1,0,5,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.LimitAdjuster",27,2,1,0,52,26
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.LocalExecType",5,0,5,0,7,8
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler",87,2,1,0,245,242
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler.FindKeyTypeVisitor",8,2,1,0,5,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler.FindStoreNameVisitor",8,2,1,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler.LastInputStreamingOptimizer",20,2,1,0,24,27
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException",4,3,0,0,24,12
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRConfiguration",22,0,0,0,0,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRExecType",5,0,5,0,7,8
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRExecutionEngine",10,1,2,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRTaskContext",6,1,1,0,8,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRUtil",17,0,1,0,22,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceLauncher",60,1,1,0,106,86
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper",48,1,20,1,83,87
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceOper.OPER_FEATURE",1,n/a,0,n/a,0,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReducePOStoreImpl",10,1,2,0,13,7
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MergeJoinIndexer",21,1,1,0,37,22
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MultiQueryOptimizer",31,2,1,0,109,150
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NativeMapReduceOper",18,2,3,0,19,12
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopFilterRemover",7,2,1,0,6,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopFilterRemover.PhysicalRemover",13,2,1,0,17,12
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopStoreRemover",15,2,1,0,15,6
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopStoreRemover.PhysicalRemover",14,2,3,0,19,12
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.NoopStoreRemover.RemovableStore",4,0,0,0,0,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.POToChange",4,0,0,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PhyPlanSetter",60,2,1,0,67,53
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigBigDecimalRawComparator",9,0,2,3,11,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigBigIntegerRawComparator",9,0,2,3,11,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigBooleanRawComparator",8,0,2,3,9,16
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigBytesRawComparator",11,0,2,3,14,25
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigCombiner",0,0,0,0,0,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigCombiner.Combine",24,0,1,0,38,27
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigDateTimeRawComparator",9,0,2,3,11,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigDoubleRawComparator",9,0,2,3,11,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigFileInputFormat",5,0,1,5,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigFloatRawComparator",8,0,2,3,9,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapBase",34,0,2,0,48,31
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce",2,0,1,0,3,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.Map",5,0,1,1,5,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.MapWithComparator",5,0,1,0,5,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.MapWithPartitionIndex",12,1,1,0,13,11
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.Reduce",34,0,2,0,45,34
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigGenericMapReduce.ReduceWithComparator",15,0,1,0,17,9
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigHadoopLogger",13,0,2,0,8,11
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigInputFormat",21,0,1,0,27,22
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigIntRawComparator",8,0,2,3,9,16
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigLongRawComparator",8,0,2,3,9,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapOnly",0,0,0,0,0,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapOnly.Map",3,0,1,0,1,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapReduceCounter",1,0,0,0,0,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapReduceCounter.PigMapCounter",6,0,1,0,6,6
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapReduceCounter.PigReduceCounter",5,0,1,0,6,6
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter",11,0,1,1,26,65
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputFormat",18,0,1,1,20,20
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputFormat.Mode",2,n/a,0,n/a,0,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputFormat.PigRecordWriter",4,0,1,0,5,6
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigRecordReader",11,0,2,0,25,25
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigReducerEstimator",n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigSecondaryKeyComparator",6,0,2,0,8,11
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigSequenceFileInputFormat",2,0,1,0,2,7
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigSplit",31,0,1,0,28,52
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigStatsOutputSizeReader",n/a,n/a,n/a,n/a,2,n/a
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTextInputFormat",3,0,1,0,2,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTextOutputFormat",3,0,1,0,3,4
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTextOutputFormat.PigLineRecordWriter",3,0,1,0,5,4
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTextRawComparator",8,0,2,3,9,14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTupleDefaultRawComparator",11,0,2,0,17,21
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTupleSortComparator",15,0,2,3,17,25
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators",0,0,0,0,0,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigDecimalRawBytesComparator",2,1,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigDecimalRawBytesPartitionComparator",3,1,2,0,6,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigDecimalRawPartitionComparator",3,1,2,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigIntegerRawBytesComparator",2,1,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigIntegerRawBytesPartitionComparator",3,1,2,0,6,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigIntegerRawPartitionComparator",3,1,2,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBooleanRawBytesComparator",2,1,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBooleanRawBytesPartitionComparator",3,1,2,0,6,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBooleanRawPartitionComparator",3,1,2,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBytesRawBytesComparator",2,1,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBytesRawBytesPartitionComparator",3,1,2,0,6,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBytesRawPartitionComparator",3,1,2,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigDateTimeRawBytesComparator",2,1,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigDateTimeRawBytesPartitionComparator",3,1,2,0,6,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigDateTimeRawPartitionComparator",3,1,2,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigDoubleRawBytesComparator",2,1,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigDoubleRawBytesPartitionComparator",3,1,2,0,6,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigDoubleRawPartitionComparator",3,1,2,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigFloatRawBytesComparator",2,1,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigFloatRawBytesPartitionComparator",3,1,2,0,6,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigFloatRawPartitionComparator",3,1,2,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigIntRawBytesComparator",2,1,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigIntRawBytesPartitionComparator",3,1,2,0,6,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigIntRawPartitionComparator",3,1,2,0,7,3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigLongRawBytesComparator",2,1,1,0,3,2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigLongRawBytesPartitionComparator",3,1,2,0,6,3
