Package,v(G)avg,v(G)tot
"net.sourceforge.atunes","2,43",34
"net.sourceforge.atunes.gui","1,78",183
"net.sourceforge.atunes.gui.dockableView","1,98",115
"net.sourceforge.atunes.gui.images","2,00",2
"net.sourceforge.atunes.gui.images.themes","3,00",3
"net.sourceforge.atunes.gui.model","1,59",137
"net.sourceforge.atunes.gui.views","3,46",45
"net.sourceforge.atunes.gui.views.controls","1,31",55
"net.sourceforge.atunes.gui.views.controls.playList","1,66",197
"net.sourceforge.atunes.gui.views.dialogs","1,49",345
"net.sourceforge.atunes.gui.views.dialogs.editPreferences","1,26",67
"net.sourceforge.atunes.gui.views.dialogs.fullScreen","3,00",51
"net.sourceforge.atunes.gui.views.dialogs.properties","1,33",24
"net.sourceforge.atunes.gui.views.menu","1,00",73
"net.sourceforge.atunes.gui.views.panels","1,09",172
"net.sourceforge.atunes.kernel","1,88",45
"net.sourceforge.atunes.kernel.controllers","4,17",25
"net.sourceforge.atunes.kernel.controllers.audioScrobbler","2,05",43
"net.sourceforge.atunes.kernel.controllers.coverNavigator","2,67",16
"net.sourceforge.atunes.kernel.controllers.editPreferencesDialog","1,25",25
"net.sourceforge.atunes.kernel.controllers.editTagDialog","4,50",36
"net.sourceforge.atunes.kernel.controllers.editTitlesDialog","1,45",29
"net.sourceforge.atunes.kernel.controllers.exportOptionsDialog","2,64",37
"net.sourceforge.atunes.kernel.controllers.fileProperties","2,08",25
"net.sourceforge.atunes.kernel.controllers.menu","5,39",97
"net.sourceforge.atunes.kernel.controllers.model","1,00",5
"net.sourceforge.atunes.kernel.controllers.navigation","2,27",134
"net.sourceforge.atunes.kernel.controllers.navigation.listeners","10,13",233
"net.sourceforge.atunes.kernel.controllers.playList","2,97",110
"net.sourceforge.atunes.kernel.controllers.playListControls","3,50",28
"net.sourceforge.atunes.kernel.controllers.playListFilter","1,33",8
"net.sourceforge.atunes.kernel.controllers.playerControls","2,44",39
"net.sourceforge.atunes.kernel.controllers.stats","1,75",28
"net.sourceforge.atunes.kernel.controllers.toolbar","1,89",17
"net.sourceforge.atunes.kernel.executors","1,59",35
"net.sourceforge.atunes.kernel.executors.processes","2,52",53
"net.sourceforge.atunes.kernel.handlers","2,15",706
"net.sourceforge.atunes.kernel.modules.amazon","2,31",30
"net.sourceforge.atunes.kernel.modules.audioscrobbler","2,30",138
"net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter","2,73",30
"net.sourceforge.atunes.kernel.modules.castor","2,00",2
"net.sourceforge.atunes.kernel.modules.cdripper","3,06",49
"net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav","10,30",103
"net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav.model","1,00",15
"net.sourceforge.atunes.kernel.modules.cdripper.encoders","2,70",81
"net.sourceforge.atunes.kernel.modules.device","2,60",26
"net.sourceforge.atunes.kernel.modules.favorites","1,25",10
"net.sourceforge.atunes.kernel.modules.lyrics","3,60",36
"net.sourceforge.atunes.kernel.modules.mplayer","3,66",117
"net.sourceforge.atunes.kernel.modules.playlist","3,86",81
"net.sourceforge.atunes.kernel.modules.podcast","2,14",107
"net.sourceforge.atunes.kernel.modules.proxy","1,00",18
"net.sourceforge.atunes.kernel.modules.radio","1,00",11
"net.sourceforge.atunes.kernel.modules.regexp","6,00",6
"net.sourceforge.atunes.kernel.modules.repository","2,74",167
"net.sourceforge.atunes.kernel.modules.repository.audio","2,09",90
"net.sourceforge.atunes.kernel.modules.repository.tags.reader","3,47",52
"net.sourceforge.atunes.kernel.modules.repository.tags.tag","2,47",89
"net.sourceforge.atunes.kernel.modules.repository.tags.writer","4,23",55
"net.sourceforge.atunes.kernel.modules.search","1,17",14
"net.sourceforge.atunes.kernel.modules.state","1,00",112
"net.sourceforge.atunes.kernel.modules.updates","1,81",29
"net.sourceforge.atunes.kernel.utils","3,15",129
"net.sourceforge.atunes.model.info","1,24",63
"net.sourceforge.atunes.model.player","2,12",36
"net.sourceforge.atunes.utils","4,43",208
"net.sourceforge.atunes.utils.language","2,33",35
"net.sourceforge.atunes.utils.log4j","2,70",27

