Package,v(G)avg,v(G)tot
"net.n3.nanoxml","2,60",603
"org.jhotdraw.app","2,15",551
"org.jhotdraw.app.action","2,21",73
"org.jhotdraw.app.action.app","4,05",89
"org.jhotdraw.app.action.edit","2,67",128
"org.jhotdraw.app.action.file","3,55",181
"org.jhotdraw.app.action.view","2,73",41
"org.jhotdraw.app.action.window","2,12",55
"org.jhotdraw.app.osx","2,15",58
"org.jhotdraw.beans","2,32",58
"org.jhotdraw.color","2,32",850
"org.jhotdraw.draw","2,22",2.009
"org.jhotdraw.draw.action","1,93",609
"org.jhotdraw.draw.connector","1,75",110
"org.jhotdraw.draw.decoration","1,51",59
"org.jhotdraw.draw.event","1,98",253
"org.jhotdraw.draw.gui","1,77",113
"org.jhotdraw.draw.handle","2,14",765
"org.jhotdraw.draw.io","1,66",128
"org.jhotdraw.draw.layouter","4,22",38
"org.jhotdraw.draw.liner","6,14",129
"org.jhotdraw.draw.locator","1,53",87
"org.jhotdraw.draw.print","2,67",16
"org.jhotdraw.draw.text","1,29",27
"org.jhotdraw.draw.tool","2,43",595
"org.jhotdraw.geom","3,04",679
"org.jhotdraw.gui","2,29",796
"org.jhotdraw.gui.datatransfer","1,53",46
"org.jhotdraw.gui.event","2,28",57
"org.jhotdraw.gui.filechooser","1,83",11
"org.jhotdraw.gui.fontchooser","1,79",163
"org.jhotdraw.gui.plaf.palette","3,01",893
"org.jhotdraw.gui.plaf.palette.colorchooser","1,49",133
"org.jhotdraw.io","4,26",349
"org.jhotdraw.net","1,43",63
"org.jhotdraw.samples.color","2,32",58
"org.jhotdraw.samples.draw","2,03",130
"org.jhotdraw.samples.font","1,33",4
"org.jhotdraw.samples.mini","1,94",159
"org.jhotdraw.samples.net","1,60",77
"org.jhotdraw.samples.net.figures","1,75",21
"org.jhotdraw.samples.odg","1,69",144
"org.jhotdraw.samples.odg.action","2,25",27
"org.jhotdraw.samples.odg.figures","2,18",255
"org.jhotdraw.samples.odg.geom","1,74",59
"org.jhotdraw.samples.odg.io","5,78",416
"org.jhotdraw.samples.pert","1,56",75
"org.jhotdraw.samples.pert.figures","1,61",61
"org.jhotdraw.samples.svg","2,38",326
"org.jhotdraw.samples.svg.action","3,12",50
"org.jhotdraw.samples.svg.figures","2,43",594
"org.jhotdraw.samples.svg.gui","2,24",579
"org.jhotdraw.samples.svg.io","4,62",767
"org.jhotdraw.samples.teddy","2,05",152
"org.jhotdraw.samples.teddy.action","1,50",21
"org.jhotdraw.samples.teddy.io","2,67",16
"org.jhotdraw.samples.teddy.regex","3,42",41
"org.jhotdraw.samples.teddy.text","2,43",17
"org.jhotdraw.text","2,86",180
"org.jhotdraw.undo","1,56",78
"org.jhotdraw.util","2,47",180
"org.jhotdraw.util.prefs","1,73",95
"org.jhotdraw.xml","2,79",296
"org.jhotdraw.xml.css","3,95",79

