Method,CALL,CALLED,LOC,NBD,NP,STAT,v(G)
"csidekick.node.TigerNode.TigerNode()",1,3,7,0,0,1,1
"csidekick.node.TigerNode.TigerNode(String,int)",1,7,11,0,2,3,1
"csidekick.node.TigerNode.addChild(TigerNode)",4,3,17,1,1,7,4
"csidekick.node.TigerNode.addChildren(List)",5,0,19,1,1,11,5
"csidekick.node.TigerNode.canAdd(TigerNode)",0,1,10,0,1,1,1
"csidekick.node.TigerNode.getChildAt(int)",1,0,5,0,1,3,2
"csidekick.node.TigerNode.getChildCount()",1,0,3,0,0,1,2
"csidekick.node.TigerNode.getChildren()",0,1,7,0,0,1,1
"csidekick.node.TigerNode.getCompilationUnit()",3,0,10,1,0,4,3
"csidekick.node.TigerNode.getEndLocation()",0,2,3,0,0,1,1
"csidekick.node.TigerNode.getIcon()",1,0,3,0,0,1,1
"csidekick.node.TigerNode.getLongString()",1,0,4,0,0,1,1
"csidekick.node.TigerNode.getModifiers()",0,3,3,0,0,1,1
"csidekick.node.TigerNode.getName()",0,7,3,0,0,1,1
"csidekick.node.TigerNode.getOrdinal()",0,18,7,0,0,1,1
"csidekick.node.TigerNode.getParent()",0,7,3,0,0,1,1
"csidekick.node.TigerNode.getShortString()",1,0,3,0,0,1,1
"csidekick.node.TigerNode.getStart()",2,0,3,3,0,5,2
"csidekick.node.TigerNode.getStartLocation()",0,3,3,0,0,1,1
"csidekick.node.TigerNode.hashCode()",2,1,3,0,0,1,1
"csidekick.node.TigerNode.setEnd(Position)",1,0,3,0,1,1,1
"csidekick.node.TigerNode.setEndLocation(Location)",0,1,3,0,1,1,1
"csidekick.node.TigerNode.setModifiers(int)",0,0,3,0,1,1,1
"csidekick.node.TigerNode.setName(String)",0,0,3,0,1,1,1
"csidekick.node.TigerNode.setParent(TigerNode)",0,1,3,0,1,1,1
"csidekick.node.TigerNode.setStartLocation(Location)",0,1,3,0,1,1,1
"csidekick.node.TigerNode.toString()",9,7,8,0,0,3,1
"csidekick.node.Type.Type()",0,0,2,0,0,0,1
"csidekick.node.Type.Type(Type)",6,0,8,1,1,5,2
"csidekick.node.Type.canAdd(TigerNode)",0,1,6,0,1,1,1
"csidekick.node.Type.dimString()",0,2,7,1,0,6,2
"csidekick.node.Type.getDimensions()",0,0,3,0,0,1,1
"csidekick.node.Type.getName()",1,7,3,0,0,1,1
"csidekick.node.Type.getOrdinal()",0,18,3,0,0,1,1
"csidekick.node.Type.getType()",1,2,3,0,0,1,2
"csidekick.node.Type.getTypeParams()",0,1,3,0,0,1,2
"csidekick.node.Type.isArray()",0,0,3,0,0,1,1
"csidekick.node.Type.setDimensions(int)",0,0,3,0,1,1,1
"csidekick.node.Type.setIsArray(boolean)",0,0,3,0,1,1,1
"csidekick.node.Type.toString()",1,7,3,0,0,1,1
"csidekick.parser.CPPSideKickParser.CPPSideKickParser()",1,0,5,0,0,1,1
"csidekick.parser.CPPSideKickParser.parse(Buffer,DefaultErrorSource)",0,0,5,0,2,1,1
"csidekick.parser.CSideKickParser.CSideKickParser()",1,0,4,0,0,1,1
"csidekick.parser.CSideKickParser.parse(Buffer,DefaultErrorSource)",0,0,4,0,2,1,1
"csidekick.parser.cpp.ClassScope.AddSuper(Scope)",2,0,10,0,1,5,3
"csidekick.parser.cpp.ClassScope.ClassScope(String,Scope)",1,1,6,0,2,1,1
"csidekick.parser.cpp.ClassScope.IsTypeName(String)",4,4,14,0,1,10,5
"csidekick.parser.cpp.Scope.GetScope(String)",1,4,6,0,1,4,3
"csidekick.parser.cpp.Scope.IsTypeName(String)",1,4,6,0,1,1,1
"csidekick.parser.cpp.Scope.PutTypeName(String)",1,1,6,0,1,1,1
"csidekick.parser.cpp.Scope.PutTypeName(String,Scope)",1,1,6,0,2,1,1
"csidekick.parser.cpp.Scope.Scope(Scope)",0,2,7,0,1,2,1
"csidekick.parser.cpp.Scope.Scope(String,boolean,Scope)",0,2,8,0,3,3,1
"csidekick.parser.cpp.SymtabManager.CloseScope()",0,0,3,0,0,1,1
"csidekick.parser.cpp.SymtabManager.GetCurScope()",0,2,3,0,0,1,1
"csidekick.parser.cpp.SymtabManager.GetScope(String)",1,3,8,0,1,6,3
"csidekick.parser.cpp.SymtabManager.GetScopeOfFullyScopedName(String)",16,2,24,1,1,17,6
"csidekick.parser.cpp.SymtabManager.IsCtor(String)",7,0,15,0,1,8,5
"csidekick.parser.cpp.SymtabManager.IsFullyScopedTypeName(String)",7,0,11,0,1,8,4
"csidekick.parser.cpp.SymtabManager.IsGlobalScope()",0,0,3,0,0,1,2
"csidekick.parser.cpp.SymtabManager.IsTypeName(String)",1,1,8,1,1,5,3
"csidekick.parser.cpp.SymtabManager.OpenScope(Scope)",0,0,3,0,1,1,1
"csidekick.parser.cpp.SymtabManager.OpenScope(String,boolean)",5,0,18,2,2,10,3
"csidekick.parser.cpp.SymtabManager.PutTypeName(String)",1,0,3,0,1,1,1
"sidekick.java.node.ExtendsNode.ExtendsNode(Type)",1,0,3,0,1,1,1
"sidekick.java.node.ExtendsNode.getOrdinal()",0,0,3,0,0,1,1
"sidekick.java.node.ExtendsNode.toString()",12,0,5,0,0,3,1
"sidekick.java.node.MethodNode.MethodNode()",1,0,3,0,0,1,1
"sidekick.java.node.MethodNode.MethodNode(String,int,String,List,String)",2,0,6,0,5,4,1
"sidekick.java.node.MethodNode.canAdd(TigerNode)",2,0,6,0,1,1,2
"sidekick.java.node.MethodNode.getFormalParams()",0,0,6,0,0,1,1
"sidekick.java.node.MethodNode.getFormalParams(boolean,boolean,boolean,boolean)",29,1,54,2,4,28,16
"sidekick.java.node.MethodNode.getOrdinal()",0,0,3,0,0,1,1
"sidekick.java.node.MethodNode.getReturnType()",0,0,3,0,0,1,2
"sidekick.java.node.MethodNode.getTypeParams()",0,2,3,0,0,1,2
"sidekick.java.node.MethodNode.setFormalParams(List)",0,0,3,0,1,1,1
"sidekick.java.node.MethodNode.setReturnType(String)",0,1,3,0,1,1,1
"sidekick.java.node.MethodNode.setThrows(List)",10,0,12,1,1,9,3
"sidekick.java.node.MethodNode.setTypeParams(String)",0,0,3,0,1,1,1
"sidekick.java.node.MethodNode.toString()",13,0,10,0,0,8,3
"sidekick.java.node.Parameter.Parameter()",1,0,3,0,0,1,1
"sidekick.java.node.Parameter.Parameter(String,Type)",1,0,3,0,2,1,1
"sidekick.java.node.Parameter.getOrdinal()",0,0,3,0,0,1,1
"sidekick.java.node.Parameter.isFinal()",0,0,3,0,0,1,1
"sidekick.java.node.Parameter.isVarArg()",0,0,3,0,0,1,1
"sidekick.java.node.Parameter.setFinal(boolean)",0,0,3,0,1,1,1
"sidekick.java.node.Parameter.setVarArg(boolean)",0,0,3,0,1,1,1
"textfilter.ActionManager.ActionManager()",23,1,31,2,0,19,5
"textfilter.ActionManager.addAction(FilterAction)",6,0,10,1,1,6,2
"textfilter.ActionManager.fireMenuChange()",2,2,5,0,0,2,1
"textfilter.ActionManager.getActionSet()",0,0,4,0,0,1,1
"textfilter.ActionManager.getInstance()",0,0,4,0,0,1,1
"textfilter.ActionManager.hasAction(String)",1,0,4,0,1,1,1
"textfilter.ActionManager.removeAction(FilterAction)",6,0,8,0,1,5,2
"textfilter.ActionManager.saveConfig()",27,3,29,2,0,24,5
"textfilter.ActionManager.unload()",2,0,5,0,0,2,1
"textfilter.ApplicationChooserDialog.ApplicationChooserDialog(boolean)",139,0,146,1,1,113,7
"textfilter.ApplicationChooserDialog.actionPerformed(ActionEvent)",8,0,11,2,1,6,3
"textfilter.ApplicationChooserDialog.cancel()",2,0,5,0,0,2,1
"textfilter.ApplicationChooserDialog.ok()",39,0,69,3,0,41,15
"textfilter.ApplicationRunner.runApp(View,String,int,int,int)",45,0,125,5,5,65,23
"textfilter.ApplicationRunner.showError(View,String,boolean)",16,2,26,1,3,15,3
"textfilter.CmdExec.CmdExec()",1,0,4,0,0,1,1
"textfilter.CmdExec.CmdExec(String)",0,1,6,0,1,3,1
"textfilter.CmdExec.InputTask.run()",8,0,22,2,0,14,7
"textfilter.CmdExec.OutputTask.run()",6,0,17,1,0,11,5
"textfilter.CmdExec.Timeout.run()",3,0,8,1,0,4,1
"textfilter.CmdExec.addArgument(String)",2,0,11,0,1,3,2
"textfilter.CmdExec.execute()",29,0,62,3,0,43,10
"textfilter.CmdExec.getStderr()",2,0,16,2,0,5,3
"textfilter.CmdExec.getStdout()",2,0,16,2,0,5,3
"textfilter.CmdExec.pipe(InputStream,OutputStream)",5,2,20,3,2,9,3
"textfilter.CmdExec.setArgumentLine(String)",0,1,10,0,1,1,1
"textfilter.CmdExec.setCommand(String)",0,1,16,0,1,1,1
"textfilter.CmdExec.setStdin(InputStream)",1,0,10,0,1,4,2
"textfilter.CmdExec.setStdin(String)",1,0,10,0,1,4,2
"textfilter.CmdExec.setTimeout(int)",0,0,8,0,1,1,1
"textfilter.EditActionComparator.compare(Object,Object)",3,0,5,0,2,1,1
"textfilter.FilterAction.FilterAction(String,String,int,int,int)",2,0,9,0,5,6,1
"textfilter.FilterAction.getCode()",0,0,4,0,0,1,1
"textfilter.FilterAction.getCommand()",0,0,4,0,0,1,1
"textfilter.FilterAction.getDataSourceType()",0,0,4,0,0,1,1
"textfilter.FilterAction.getDestination()",0,0,4,0,0,1,1
"textfilter.FilterAction.getTextSource()",0,0,4,0,0,1,1
"textfilter.FilterAction.invoke(View)",1,0,4,0,1,1,1
"textfilter.RemoveFilterDialog.EAListRenderer.getListCellRendererComponent(JList,Object,int,boolean,boolean)",3,0,8,0,5,3,1
"textfilter.RemoveFilterDialog.RemoveFilterDialog()",35,0,26,1,0,20,3
"textfilter.RemoveFilterDialog.cancel()",2,0,5,0,0,2,1
"textfilter.RemoveFilterDialog.ok()",13,0,11,0,0,8,3
"textfilter.TFMenuProvider.update(JMenu)",19,0,25,2,1,18,6
"textfilter.TFMenuProvider.updateEveryTime()",0,0,4,0,0,1,1
"textfilter.TextFilterPlugin.start()",1,0,4,0,0,1,1
"textfilter.TextFilterPlugin.stop()",2,0,4,0,0,1,1
"xml.CatalogManager.Entry.Entry(int,String,String)",0,7,6,0,3,3,1
"xml.CatalogManager.Entry.equals(Object)",1,0,10,1,1,4,3
"xml.CatalogManager.Entry.hashCode()",1,0,4,0,0,1,1
"xml.CatalogManager.VFSUpdateHandler.handleMessage(EBMessage)",2,0,11,1,1,6,4
"xml.CatalogManager.addUserResource(String,String,String)",5,1,15,1,3,6,2
"xml.CatalogManager.clearCache()",10,1,17,2,0,9,3
"xml.CatalogManager.copyToLocalFile(Object,VFS,String)",12,1,25,0,3,14,4
"xml.CatalogManager.init()",2,0,5,0,0,1,1
