Method,CALL,CALLED,LOC,NBD,NP,STAT,v(G)
"xml.completion.CompletionInfoHandler.getCompletionInfo()",0,0,5,0,0,1,1
"xml.completion.CompletionInfoHandler.resolveEntity(String,String)",3,0,14,1,2,3,2
"xml.completion.CompletionInfoHandler.setDocumentLocator(Locator)",0,0,5,0,1,1,1
"xml.completion.CompletionInfoHandler.startElement(String,String,String,Attributes)",35,0,64,3,4,29,11
"xml.completion.ElementDecl.AttributeDecl.AttributeDecl(String,String,ArrayList,String,boolean)",0,4,9,0,5,5,1
"xml.completion.ElementDecl.AttributeDecl.toString()",12,0,19,1,0,14,3
"xml.completion.ElementDecl.Compare.compare(Object,Object)",1,0,6,0,2,1,1
"xml.completion.ElementDecl.ElementDecl(CompletionInfo,String,String)",3,6,10,0,3,6,2
"xml.completion.ElementDecl.ElementDecl(CompletionInfo,String,boolean,boolean,List,Map,Set)",0,1,13,0,7,7,1
"xml.completion.ElementDecl.addAttribute(AttributeDecl)",6,4,15,2,1,9,3
"xml.completion.ElementDecl.findReplacements(String)",0,1,10,0,1,1,1
"xml.completion.ElementDecl.getAttribute(String)",1,2,5,0,1,1,1
"xml.completion.ElementDecl.getChildElements(String)",18,2,38,4,1,19,8
"xml.completion.ElementDecl.getRequiredAttributesString()",9,0,19,2,0,13,4
"xml.completion.ElementDecl.isAbstract()",0,1,7,0,0,1,1
"xml.completion.ElementDecl.setContent(String)",8,3,21,2,1,11,5
"xml.completion.ElementDecl.toString()",24,0,37,2,0,26,7
"xml.completion.ElementDecl.withPrefix(String)",2,4,17,1,1,3,2
"xml.completion.EntityDecl.Compare.compare(Object,Object)",1,0,13,1,2,5,2
"xml.completion.EntityDecl.EntityDecl(int,String,String)",0,0,7,0,3,3,1
"xml.completion.EntityDecl.EntityDecl(int,String,String,String)",0,0,8,0,4,4,1
"xml.completion.EntityDecl.toString()",4,0,11,0,0,5,3
"xml.completion.IDDecl.Compare.compare(Object,Object)",1,0,8,0,2,3,1
"xml.completion.IDDecl.IDDecl(String,String,String,int,int)",0,2,9,0,5,5,1
"xml.completion.IDDecl.toString()",0,0,5,0,0,1,1
"xml.completion.XmlCompletion.XmlCompletion(View,List,String,XmlParsedData,String)",1,0,9,0,5,4,1
"xml.completion.XmlCompletion.getRenderer()",0,0,5,0,0,1,1
"xml.completion.XmlCompletion.getTokenLength()",1,0,5,0,0,1,1
"xml.completion.XmlCompletion.handleKeystroke(int,char)",9,0,30,2,2,23,8
"xml.completion.XmlCompletion.insert(Object,char)",44,2,4,5,2,56,18
"xml.completion.XmlCompletion.insert(int)",2,0,5,0,1,1,1
"xml.completion.XsdElementDecl.XsdElementDecl(XSElementDeclaration,CompletionInfo,String,String)",1,1,6,0,4,2,1
"xml.completion.XsdElementDecl.findReplacements(String)",10,0,23,2,1,12,7
"xml.completion.XsdElementDecl.isAbstract()",1,1,3,0,0,1,1
"xml.options.CatalogsOptionPane.ActionHandler.actionPerformed(ActionEvent)",7,0,20,2,1,11,5
"xml.options.CatalogsOptionPane.CatalogsOptionPane()",1,0,4,0,0,1,1
"xml.options.CatalogsOptionPane.ListHandler.valueChanged(ListSelectionEvent)",1,0,4,0,1,1,1
"xml.options.CatalogsOptionPane._init()",38,0,33,1,0,26,2
"xml.options.CatalogsOptionPane._save()",4,0,10,1,0,6,2
"xml.options.CatalogsOptionPane.updateEnabled()",2,3,5,0,0,2,1
"xml.options.GeneralOptionPane.GeneralOptionPane()",1,0,5,0,0,1,1
"xml.options.GeneralOptionPane._init()",48,0,41,0,0,23,1
"xml.options.GeneralOptionPane._save()",18,0,17,0,0,9,1
"xml.parser.SAXParserImpl.Handler.Handler(Buffer,String,DefaultErrorSource,XmlParsedData,XMLGrammarPoolImpl)",2,1,13,0,5,8,1
"xml.parser.SAXParserImpl.Handler.addError(int,String,int,String)",2,3,6,0,4,1,1
"xml.parser.SAXParserImpl.Handler.attributeDecl(String,String,String,String,String)",16,0,31,2,5,16,5
"xml.parser.SAXParserImpl.Handler.characters(char[],int,int)",1,0,8,0,3,3,2
"xml.parser.SAXParserImpl.Handler.elementDecl(String,String)",5,0,13,1,2,6,2
"xml.parser.SAXParserImpl.Handler.endDocument()",3,0,11,1,0,5,3
"xml.parser.SAXParserImpl.Handler.endElement(String,String,String)",20,0,38,2,3,19,5
"xml.parser.SAXParserImpl.Handler.endPrefixMapping(String)",6,0,24,2,1,11,5
"xml.parser.SAXParserImpl.Handler.error(SAXParseException)",7,1,10,0,1,4,2
"xml.parser.SAXParserImpl.Handler.externalEntityDecl(String,String,String)",3,0,10,0,3,3,2
"xml.parser.SAXParserImpl.Handler.fatalError(SAXParseException)",6,0,11,0,1,4,2
"xml.parser.SAXParserImpl.Handler.findTagStart(int)",1,1,10,1,1,6,3
"xml.parser.SAXParserImpl.Handler.getGrammarForNamespace(String)",3,2,8,0,1,4,1
"xml.parser.SAXParserImpl.Handler.grammarToCompletionInfo(Grammar)",11,2,22,1,1,17,4
"xml.parser.SAXParserImpl.Handler.internalEntityDecl(String,String)",3,0,9,0,2,3,2
"xml.parser.SAXParserImpl.Handler.resolveEntity(String,String)",17,0,39,1,2,13,4
"xml.parser.SAXParserImpl.Handler.setDocumentLocator(Locator)",0,0,5,0,1,1,1
"xml.parser.SAXParserImpl.Handler.startElement(String,String,String,Attributes)",35,0,55,2,4,27,8
"xml.parser.SAXParserImpl.Handler.startPrefixMapping(String,String)",1,0,5,0,2,1,1
"xml.parser.SAXParserImpl.Handler.warning(SAXParseException)",7,0,10,0,1,4,2
"xml.parser.SAXParserImpl.SAXParserImpl()",1,0,5,0,0,1,1
"xml.parser.SAXParserImpl.SAXParserImpl(String)",1,0,3,0,1,1,1
"xml.parser.SAXParserImpl.StoppedException.StoppedException()",1,3,4,0,0,1,1
"xml.parser.SAXParserImpl.parse(Buffer,DefaultErrorSource)",51,0,93,2,2,44,11
"xml.parser.SAXParserImpl.xsElementToElementDecl(CompletionInfo,XSElementDeclaration,ElementDecl)",22,2,46,2,3,31,9
"xml.parser.SAXParserImpl.xsTermToElementDecl(CompletionInfo,XSTerm,ElementDecl)",6,2,20,2,3,9,4
"xml.parser.TagParser.Tag.Tag(int,int)",0,1,5,0,2,2,1
"xml.parser.TagParser.Tag.toString()",1,0,14,1,0,9,5
"xml.parser.TagParser.findEndTag(String,Tag)",11,1,65,4,2,33,20
"xml.parser.TagParser.findLastOpenTag(String,int,XmlParsedData)",21,8,89,6,3,45,30
"xml.parser.TagParser.findStartTag(String,Tag)",10,1,63,4,2,33,23
"xml.parser.TagParser.getMatchingTag(String,Tag)",2,1,9,0,2,5,3
"xml.parser.TagParser.getTagAtOffset(String,int)",12,8,48,2,2,33,18
"xml.parser.TagParser.isInsideTag(String,int)",2,3,19,1,2,11,5
"xml.parser.XercesParserImpl.Handler.Handler(Buffer,String,DefaultErrorSource,XmlParsedData)",2,1,12,0,4,7,1
"xml.parser.XercesParserImpl.Handler.addError(int,String,int,String)",2,3,6,0,4,1,1
"xml.parser.XercesParserImpl.Handler.attributeDecl(String,String,String,String,String)",16,0,31,2,5,16,5
"xml.parser.XercesParserImpl.Handler.characters(char[],int,int)",1,0,8,0,3,3,2
"xml.parser.XercesParserImpl.Handler.elementDecl(String,String)",5,0,13,1,2,6,2
"xml.parser.XercesParserImpl.Handler.endDocument()",3,0,11,1,0,5,3
"xml.parser.XercesParserImpl.Handler.endElement(String,String,String)",20,0,38,2,3,19,5
"xml.parser.XercesParserImpl.Handler.endPrefixMapping(String)",6,0,24,2,1,11,5
"xml.parser.XercesParserImpl.Handler.error(SAXParseException)",7,0,10,0,1,4,2
"xml.parser.XercesParserImpl.Handler.externalEntityDecl(String,String,String)",3,0,10,0,3,3,2
"xml.parser.XercesParserImpl.Handler.fatalError(SAXParseException)",6,0,11,0,1,4,2
"xml.parser.XercesParserImpl.Handler.findTagStart(int)",1,1,10,1,1,6,3
"xml.parser.XercesParserImpl.Handler.getModelForNamespace(String)",5,2,12,1,1,8,3
"xml.parser.XercesParserImpl.Handler.internalEntityDecl(String,String)",3,0,9,0,2,3,2
"xml.parser.XercesParserImpl.Handler.modelToCompletionInfo(XSModel)",10,2,19,1,1,14,3
"xml.parser.XercesParserImpl.Handler.resolveEntity(XMLResourceIdentifier)",15,0,38,1,1,13,3
"xml.parser.XercesParserImpl.Handler.setDocumentLocator(Locator)",0,0,5,0,1,1,1
"xml.parser.XercesParserImpl.Handler.startElement(String,String,String,Attributes)",35,0,55,2,4,27,8
"xml.parser.XercesParserImpl.Handler.startPrefixMapping(String,String)",1,0,5,0,2,1,1
"xml.parser.XercesParserImpl.Handler.warning(SAXParseException)",7,0,10,0,1,4,2
"xml.parser.XercesParserImpl.StoppedException.StoppedException()",1,3,4,0,0,1,1
"xml.parser.XercesParserImpl.XercesParserImpl()",1,0,5,0,0,1,1
"xml.parser.XercesParserImpl.parse(Buffer,DefaultErrorSource)",50,0,94,2,2,44,11
"xml.parser.XercesParserImpl.xsElementToElementDecl(XSNamedMap,CompletionInfo,XSElementDeclaration,ElementDecl)",35,2,56,3,4,42,16
"xml.parser.XercesParserImpl.xsTermToElementDecl(XSNamedMap,CompletionInfo,XSTerm,ElementDecl)",6,2,20,2,4,9,4
"xml.parser.XmlParser.XmlParser(String)",2,0,6,0,1,2,1
"xml.parser.XmlParser.activate(EditPane)",3,0,6,0,1,2,2
"xml.parser.XmlParser.complete(EditPane,int)",53,0,129,4,2,89,41
"xml.parser.XmlParser.deactivate(EditPane)",2,0,5,0,1,1,1
"xml.parser.XmlParser.getInstantCompletionTriggers()",0,0,5,0,0,1,1
"xml.parser.XmlParser.stop()",0,0,9,0,0,1,1
"xml.parser.XmlParser.supportsCompletion()",0,0,5,0,0,1,1
"xml.parser.XmlTag.XmlTag(String,Position,Attributes)",16,0,32,2,3,24,5
"xml.parser.XmlTag.getIcon()",0,0,6,0,0,1,2
"xml.parser.XmlTag.getLongString()",0,0,5,0,0,1,1
"xml.parser.XmlTag.getShortString()",1,0,16,1,0,10,5
"xml.parser.XmlTag.toString()",0,0,5,0,0,1,1

