Package,v(G)avg,v(G)tot
"java.org.apache.cassandra.auth","1,94",388
"java.org.apache.cassandra.batchlog","2,17",115
"java.org.apache.cassandra.cache","1,68",232
"java.org.apache.cassandra.client","2,60",13
"java.org.apache.cassandra.concurrent","1,88",263
"java.org.apache.cassandra.config","1,83",845
"java.org.apache.cassandra.cql3","2,01",1.632
"java.org.apache.cassandra.cql3.functions","2,49",551
"java.org.apache.cassandra.cql3.restrictions","1,74",533
"java.org.apache.cassandra.cql3.selection","1,73",223
"java.org.apache.cassandra.cql3.statements","2,71",1.394
"java.org.apache.cassandra.db","2,32",3.595
"java.org.apache.cassandra.db.columniterator","2,65",191
"java.org.apache.cassandra.db.commitlog","2,72",454
"java.org.apache.cassandra.db.compaction","2,62",974
"java.org.apache.cassandra.db.compaction.writers","1,34",39
"java.org.apache.cassandra.db.context","3,59",158
"java.org.apache.cassandra.db.filter","2,13",497
"java.org.apache.cassandra.db.lifecycle","1,76",471
"java.org.apache.cassandra.db.marshal","2,06",1.059
"java.org.apache.cassandra.db.partitions","1,90",296
"java.org.apache.cassandra.db.rows","2,49",975
"java.org.apache.cassandra.db.transform","1,71",144
"java.org.apache.cassandra.db.view","3,38",291
"java.org.apache.cassandra.dht","1,85",505
"java.org.apache.cassandra.dht.tokenallocator","2,07",126
"java.org.apache.cassandra.exceptions","1,02",44
"java.org.apache.cassandra.gms","2,19",474
"java.org.apache.cassandra.hadoop","1,27",123
"java.org.apache.cassandra.hadoop.cql3","1,78",438
"java.org.apache.cassandra.hints","1,65",376
"java.org.apache.cassandra.index","2,03",128
"java.org.apache.cassandra.index.internal","2,04",145
"java.org.apache.cassandra.index.internal.composites","2,19",79
"java.org.apache.cassandra.index.internal.keys","2,56",23
"java.org.apache.cassandra.index.transactions","1,00",13
"java.org.apache.cassandra.io","1,25",10
"java.org.apache.cassandra.io.compress","1,89",180
"java.org.apache.cassandra.io.sstable","2,07",598
"java.org.apache.cassandra.io.sstable.format","2,05",367
"java.org.apache.cassandra.io.sstable.format.big","1,94",182
"java.org.apache.cassandra.io.sstable.metadata","2,01",145
"java.org.apache.cassandra.io.util","1,69",805
"java.org.apache.cassandra.locator","2,53",503
"java.org.apache.cassandra.metrics","1,63",293
"java.org.apache.cassandra.net","2,30",375
"java.org.apache.cassandra.notifications","1,00",6
"java.org.apache.cassandra.repair","2,22",244
"java.org.apache.cassandra.repair.messages","1,66",101
"java.org.apache.cassandra.scheduler","1,75",28
"java.org.apache.cassandra.schema","1,89",823
"java.org.apache.cassandra.security","2,17",13
"java.org.apache.cassandra.serializers","2,33",319
"java.org.apache.cassandra.service","2,58",1.843
"java.org.apache.cassandra.service.pager","2,26",147
"java.org.apache.cassandra.service.paxos","1,79",68
"java.org.apache.cassandra.streaming","1,84",414
"java.org.apache.cassandra.streaming.compress","2,72",49
"java.org.apache.cassandra.streaming.management","2,21",31
"java.org.apache.cassandra.streaming.messages","1,82",91
"java.org.apache.cassandra.thrift","3,76",864
"java.org.apache.cassandra.tools","2,28",580
"java.org.apache.cassandra.tools.nodetool","3,17",320
"java.org.apache.cassandra.tracing","1,53",75
"java.org.apache.cassandra.transport","2,20",595
"java.org.apache.cassandra.transport.messages","1,99",277
"java.org.apache.cassandra.triggers","3,27",49
"java.org.apache.cassandra.utils","1,99",1.530
"java.org.apache.cassandra.utils.btree","2,08",508
"java.org.apache.cassandra.utils.concurrent","2,16",324
"java.org.apache.cassandra.utils.memory","1,97",345
"java.org.apache.cassandra.utils.obs","2,32",146
"java.org.apache.cassandra.utils.progress","1,18",13
"java.org.apache.cassandra.utils.progress.jmx","1,83",11
"java.org.apache.cassandra.utils.vint","1,31",17

