Package,C(rec),LOC(rec),METH(rec)
"",398,37.209,2.005
"org",398,37.200,2.005
"org.apache",398,37.200,2.005
"org.apache.nutch",398,37.200,2.005
"org.apache.nutch.crawl",62,6.435,293
"org.apache.nutch.fetcher",12,1.884,82
"org.apache.nutch.indexer",17,1.689,86
"org.apache.nutch.metadata",8,789,33
"org.apache.nutch.net",10,859,36
"org.apache.nutch.net.protocols",3,203,15
"org.apache.nutch.parse",26,3.150,183
"org.apache.nutch.plugin",11,1.700,91
"org.apache.nutch.protocol",9,1.068,75
"org.apache.nutch.scoring",36,3.650,191
"org.apache.nutch.scoring.webgraph",32,3.235,160
"org.apache.nutch.segment",22,1.855,65
"org.apache.nutch.service",32,2.354,201
"org.apache.nutch.service.impl",8,934,51
"org.apache.nutch.service.model",11,544,84
"org.apache.nutch.service.model.request",6,321,45
"org.apache.nutch.service.model.response",5,223,39
"org.apache.nutch.service.resources",8,597,34
"org.apache.nutch.tools",27,4.211,198
"org.apache.nutch.tools.arc",3,710,20
"org.apache.nutch.tools.warc",2,300,9
"org.apache.nutch.util",44,3.746,185
"org.apache.nutch.util.domain",11,537,32
"org.apache.nutch.webui",82,3.810,286
"org.apache.nutch.webui.client",19,860,109
"org.apache.nutch.webui.client.impl",8,464,48
"org.apache.nutch.webui.client.model",8,312,51
"org.apache.nutch.webui.config",4,229,20
"org.apache.nutch.webui.model",4,277,36
"org.apache.nutch.webui.pages",45,1.817,79
"org.apache.nutch.webui.pages.assets",1,165,2
"org.apache.nutch.webui.pages.components",4,137,11
"org.apache.nutch.webui.pages.crawls",8,338,16
"org.apache.nutch.webui.pages.instances",7,253,14
"org.apache.nutch.webui.pages.menu",1,71,1
"org.apache.nutch.webui.pages.seed",9,358,18
"org.apache.nutch.webui.pages.settings",2,92,4
"org.apache.nutch.webui.service",8,413,34
"org.apache.nutch.webui.service.impl",4,312,19

