Chidamber-Kemerer metrics,Seg, 11 dez 2017 13:52:19 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"fr.jayasoft.ivy.ant.IvyTask",51,1,6,19,69,49
"fr.jayasoft.ivy.ant.IvyVar",3,2,1,0,26,19
"fr.jayasoft.ivy.ant.PackageMapping",2,1,2,0,10,9
"fr.jayasoft.ivy.circular.AbstractCircularDependencyStrategy",4,1,1,3,3,3
"fr.jayasoft.ivy.circular.CircularDependencyException",5,4,1,0,4,2
"fr.jayasoft.ivy.circular.CircularDependencyHelper",7,1,1,0,8,5
"fr.jayasoft.ivy.circular.CircularDependencyStrategy",n/a,n/a,n/a,n/a,2,n/a
"fr.jayasoft.ivy.circular.ErrorCircularDependencyStrategy",6,2,2,0,5,3
"fr.jayasoft.ivy.circular.IgnoreCircularDependencyStrategy",7,2,2,0,6,3
"fr.jayasoft.ivy.circular.WarnCircularDependencyStrategy",7,2,2,0,6,3
"fr.jayasoft.ivy.conflict.AbstractConflictManager",8,1,2,5,5,5
"fr.jayasoft.ivy.conflict.FixedConflictManager",5,2,1,0,14,5
"fr.jayasoft.ivy.conflict.LatestConflictManager",9,2,1,0,32,17
"fr.jayasoft.ivy.conflict.LatestConflictManager.IvyNodeArtifactInfo",4,1,1,0,7,4
"fr.jayasoft.ivy.conflict.NoConflictManager",4,2,1,0,3,2
"fr.jayasoft.ivy.conflict.RegexpConflictManager",5,2,1,0,27,15
"fr.jayasoft.ivy.conflict.StrictConflictException",4,4,0,0,8,4
"fr.jayasoft.ivy.conflict.StrictConflictManager",6,2,1,0,11,4
"fr.jayasoft.ivy.event.AbstractTrigger",8,1,1,2,13,10
"fr.jayasoft.ivy.event.FilteredIvyListener",4,1,1,0,6,5
"fr.jayasoft.ivy.event.IvyEvent",22,1,3,5,30,14
"fr.jayasoft.ivy.event.IvyEventFilter",13,1,2,0,17,17
"fr.jayasoft.ivy.event.IvyListener",n/a,n/a,n/a,n/a,1,n/a
"fr.jayasoft.ivy.event.Trigger",n/a,n/a,n/a,n/a,1,n/a
