Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.lucene.queryParser.standard.config.FieldDateResolutionMapAttribute",0,2,3,2,3
"org.apache.lucene.queryParser.standard.config.FuzzyAttribute",0,1,1,2,3
"org.apache.lucene.queryParser.standard.config.LocaleAttribute",0,1,1,2,3
"org.apache.lucene.queryParser.standard.config.LowercaseExpandedTermsAttribute",0,1,1,2,3
"org.apache.lucene.queryParser.standard.config.MultiFieldAttribute",0,1,1,1,2
"org.apache.lucene.queryParser.standard.config.MultiTermRewriteMethodAttribute",0,3,458,2,3
"org.apache.lucene.queryParser.standard.config.PositionIncrementsAttribute",0,1,1,2,3
"org.apache.lucene.queryParser.standard.config.RangeCollatorAttribute",0,1,1,2,3
"org.apache.lucene.queryParser.standard.parser.StandardSyntaxParserConstants",0,0,0,0,0
"org.apache.lucene.queryParser.surround.parser.CharStream",0,0,0,0,0
"org.apache.lucene.queryParser.surround.parser.QueryParserConstants",0,0,0,0,0
"org.apache.lucene.queryParser.surround.query.DistanceSubQuery",0,0,0,0,0
"org.apache.lucene.queryParser.surround.query.SimpleTerm.MatchingTermVisitor",0,1,7,1,1
"org.apache.lucene.search.FieldCache",220,13,418,80,2.858
"org.apache.lucene.search.FieldCache.ByteParser",0,1,1,8,2.859
"org.apache.lucene.search.FieldCache.DoubleParser",0,1,1,9,2.861
"org.apache.lucene.search.FieldCache.FloatParser",0,1,1,8,2.859
"org.apache.lucene.search.FieldCache.IntParser",0,1,1,10,2.859
"org.apache.lucene.search.FieldCache.LongParser",0,1,1,10,2.861
"org.apache.lucene.search.FieldCache.Parser",0,0,0,15,2.869
"org.apache.lucene.search.FieldCache.ShortParser",0,1,1,8,2.859
"org.apache.lucene.search.NRTManager.WaitingListener",0,0,0,2,3
"org.apache.lucene.search.RMIRemoteSearchable",0,1,419,1,5
"org.apache.lucene.search.Searchable",220,12,418,17,2.858
"org.apache.lucene.search.SearcherLifetimeManager.Pruner",0,1,419,3,4
"org.apache.lucene.search.TermCollectingRewrite.TermCollector",0,1,7,2,823
"org.apache.lucene.search.TestBoolean2.Callback",0,1,419,4,4
"org.apache.lucene.search.highlight.Encoder",0,0,0,6,15
"org.apache.lucene.search.highlight.Formatter",0,0,0,2,2
"org.apache.lucene.search.highlight.Fragmenter",0,1,25,4,4
"org.apache.lucene.search.highlight.Scorer",0,1,25,0,0
"org.apache.lucene.search.regex.RegexCapabilities",0,0,0,0,0
"org.apache.lucene.search.regex.RegexQueryCapable",0,0,0,0,0
"org.apache.lucene.search.spell.Dictionary",0,1,20,6,26
"org.apache.lucene.search.spell.StringDistance",0,0,0,5,558
"org.apache.lucene.search.spell.TermFreqIterator",0,1,20,15,28
"org.apache.lucene.search.suggest.fst.BytesRefSorter",0,2,20,0,0
"org.apache.lucene.search.vectorhighlight.BoundaryScanner",0,0,0,7,11
"org.apache.lucene.search.vectorhighlight.FragListBuilder",0,0,0,4,8
"org.apache.lucene.search.vectorhighlight.FragmentsBuilder",0,2,420,4,8
"org.apache.lucene.spatial.geometry.shape.Geometry2D",0,0,0,0,0
"org.apache.lucene.spatial.tier.projections.IProjector",0,0,0,2,2
"org.apache.lucene.util.Attribute",0,0,0,51,3.586
"org.apache.lucene.util.AttributeReflector",0,1,1,12,3.547
"org.apache.lucene.util.Bits",0,0,0,18,2.869
"org.apache.lucene.util.BytesRefIterator",0,1,19,28,58
"org.apache.lucene.util.TwoPhaseCommit",0,0,0,21,2.884
"org.apache.lucene.util.collections.DoubleIterator",0,0,0,1,1
"org.apache.lucene.util.collections.FloatIterator",0,0,0,2,2
"org.apache.lucene.util.collections.IntIterator",0,0,0,6,63
"org.apache.lucene.util.fst.Builder.Node",0,0,0,4,49
"org.apache.lucene.util.packed.PackedInts.Mutable",0,1,1,10,2.870
"org.apache.lucene.util.packed.PackedInts.Reader",0,0,0,7,2.871
"org.apache.lucene.xmlparser.FilterBuilder",0,1,419,7,9
"org.apache.lucene.xmlparser.QueryBuilder",0,1,419,13,15
"org.apache.lucene.xmlparser.builders.SpanQueryBuilder",0,3,425,0,0
"org.apache.solr.analysis.CharFilterFactory",0,1,1,3,557
"org.apache.solr.analysis.MultiTermAwareComponent",0,0,0,0,0
"org.apache.solr.analysis.TokenFilterFactory",0,1,25,5,557
"org.apache.solr.analysis.TokenizerFactory",0,1,27,3,557
"org.apache.solr.client.solrj.request.JavaBinUpdateRequestCodec.StreamingUpdateHandler",0,1,1,2,10
"org.apache.solr.common.ResourceLoader",0,0,0,57,597
"org.apache.solr.common.params.AnalysisParams",0,0,0,5,6
"org.apache.solr.common.params.CommonParams",0,0,0,68,583
"org.apache.solr.common.params.CoreAdminParams",0,0,0,8,174
"org.apache.solr.common.params.DisMaxParams",0,0,0,3,5
"org.apache.solr.common.params.EventParams",0,0,0,2,2
"org.apache.solr.common.params.FacetParams",0,0,0,13,561
"org.apache.solr.common.params.GroupParams",0,0,0,4,8
"org.apache.solr.common.params.HighlightParams",0,0,0,13,565
"org.apache.solr.common.params.MoreLikeThisParams",0,0,0,4,4
"org.apache.solr.common.params.QueryElevationParams",0,0,0,2,3
"org.apache.solr.common.params.ShardParams",0,0,0,9,557
"org.apache.solr.common.params.SpatialParams",0,0,0,2,557
"org.apache.solr.common.params.SpellingParams",0,0,0,7,10
"org.apache.solr.common.params.StatsParams",0,0,0,5,12
"org.apache.solr.common.params.TermVectorParams",0,0,0,2,2
"org.apache.solr.common.params.TermsParams",0,0,0,2,9
"org.apache.solr.common.params.UpdateParams",0,0,0,17,585
"org.apache.solr.common.util.ContentStream",0,0,0,52,593
"org.apache.solr.common.util.JavaBinCodec.ObjectResolver",1,1,4,2,34
"org.apache.solr.core.SolrEventListener",0,2,818,2,7
"org.apache.solr.core.SolrInfoMBean",0,2,2,20,568
"org.apache.solr.handler.AnalysisRequestHandlerBase.TokenTrackingAttribute",0,1,1,2,2
"org.apache.solr.handler.clustering.ClusteringParams",0,0,0,0,0
"org.apache.solr.handler.clustering.carrot2.CarrotParams",0,0,0,0,0
"org.apache.solr.handler.component.StatsValues",0,1,1,4,557
"org.apache.solr.handler.dataimport.DIHCache",0,0,0,0,0
"org.apache.solr.handler.dataimport.DIHPropertiesWriter",0,0,0,0,0
"org.apache.solr.handler.dataimport.DIHWriter",0,1,1,0,0
"org.apache.solr.handler.dataimport.EventListener",0,0,0,0,0
"org.apache.solr.handler.dataimport.MailEntityProcessor.CustomFilter",0,0,0,3,4
"org.apache.solr.handler.dataimport.XPathRecordReader.Handler",0,0,0,2,2
"org.apache.solr.handler.extraction.ExtractingMetadataConstants",0,0,0,0,0
"org.apache.solr.handler.extraction.ExtractingParams",0,0,0,1,1
"org.apache.solr.highlight.SolrEncoder",0,5,11,0,0
"org.apache.solr.highlight.SolrFormatter",0,5,11,0,0
"org.apache.solr.highlight.SolrFragListBuilder",0,5,11,0,0
"org.apache.solr.highlight.SolrFragmenter",0,5,35,0,0
"org.apache.solr.request.BinaryQueryResponseWriter",0,0,0,0,0
"org.apache.solr.request.QueryResponseWriter",0,0,0,0,0
"org.apache.solr.request.SolrQueryRequest",59,5,817,187,556
"org.apache.solr.request.SolrRequestHandler",0,3,5,23,558
"org.apache.solr.response.BinaryQueryResponseWriter",0,1,818,4,40
"org.apache.solr.response.QueryResponseWriter",59,3,817,13,556
"org.apache.solr.response.XMLWriter.DocumentListInfo",0,0,0,1,557
"org.apache.solr.schema.ExchangeRateProvider",0,2,3,0,0
"org.apache.solr.schema.SchemaAware",0,0,0,0,0
"org.apache.solr.schema.SpatialQueryable",0,3,819,1,1
"org.apache.solr.search.CacheRegenerator",0,0,0,0,0
"org.apache.solr.search.DocIterator",0,0,0,13,557
"org.apache.solr.search.DocList",0,0,0,21,557
"org.apache.solr.search.DocSet",0,2,419,8,562
"org.apache.solr.search.ExtendedDismaxQParser.DMP",0,1,1,1,3
"org.apache.solr.search.ExtendedQuery",0,0,0,0,0
"org.apache.solr.search.IdGenerator",0,1,419,1,2
"org.apache.solr.search.PostFilter",0,1,419,0,0
"org.apache.solr.search.SolrCache",0,2,4,0,0
"org.apache.solr.search.SolrSortField",0,2,419,1,580
"org.apache.solr.search.TestRangeQuery.DocProcessor",0,1,1,1,1
"org.apache.solr.search.grouping.Command",0,2,419,5,14
"org.apache.solr.search.grouping.distributed.ShardRequestFactory",0,2,819,4,7
"org.apache.solr.search.grouping.distributed.ShardResponseProcessor",0,2,819,4,7
"org.apache.solr.search.grouping.distributed.shardresultserializer.ShardResultTransformer",0,2,420,1,6
"org.apache.solr.search.grouping.endresulttransformer.EndResultTransformer",0,2,819,1,4
"org.apache.solr.search.grouping.endresulttransformer.EndResultTransformer.SolrDocumentSource",0,2,2,2,5
"org.apache.solr.servlet.SolrRequestParser",0,2,8,5,27
"org.apache.solr.uima.processor.ae.AEProvider",0,0,0,1,1
"org.apache.solr.update.processor.LangIdParams",0,0,0,0,0
"org.apache.solr.util.ConcurrentLFUCache.EvictionListener",0,0,0,1,4
"org.apache.solr.util.ConcurrentLRUCache.EvictionListener",0,0,0,1,560
"org.apache.solr.util.ContentStream",0,0,0,0,0
"org.apache.solr.util.UpdateParams",0,0,0,0,0
"org.apache.solr.util.plugin.MapInitializedPlugin",0,0,0,0,0
"org.apache.solr.util.plugin.NamedListInitializedPlugin",0,1,1,18,568
"org.apache.solr.util.plugin.PluginInfoInitialized",0,1,5,7,558
"org.apache.solr.util.plugin.ResourceLoaderAware",0,1,1,27,581
"org.apache.solr.util.plugin.SolrCoreAware",59,1,817,17,556

