Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.tools.ant.types.selectors.modifiedselector.Cache",0,0,0,2,2
"org.apache.tools.ant.util.FileNameMapper",0,0,0,33,1.170
"org.apache.tools.ant.util.ResourceUtils.ResourceSelectorProvider",227,2,303,2,1.167
"org.apache.tools.ant.util.Retryable",0,0,0,4,19
"org.apache.tools.ant.util.TimeoutObserver",0,0,0,2,1.168
"org.apache.tools.ant.util.Tokenizer",0,0,0,2,1.168
"org.apache.tools.ant.util.depend.DependencyAnalyzer",0,1,304,3,3
"org.apache.tools.ant.util.regexp.Regexp",227,1,303,9,1.167
"org.apache.tools.ant.util.regexp.RegexpMatcher",227,1,303,3,1.167
"org.apache.tools.bzip2.BZip2Constants",0,0,0,0,0
"org.apache.tools.tar.TarConstants",0,0,0,1,2
"org.apache.tools.zip.CentralDirectoryParsingZipExtraField",0,0,0,0,0
"org.apache.tools.zip.UnixStat",0,0,0,3,16
"org.apache.tools.zip.ZipEncoding",0,0,0,4,12
"org.apache.tools.zip.ZipExtraField",0,0,0,4,12

