Package,v(G)avg,v(G)tot
"backwards.src.test-framework.java.org.apache.lucene.analysis","2,33",156
"backwards.src.test-framework.java.org.apache.lucene.index","2,82",183
"backwards.src.test-framework.java.org.apache.lucene.queryParser","1,38",84
"backwards.src.test-framework.java.org.apache.lucene.search","2,59",150
"backwards.src.test-framework.java.org.apache.lucene.store","1,92",192
"backwards.src.test-framework.java.org.apache.lucene.util","2,87",457
"backwards.src.test.org.apache.lucene","1,84",57
"backwards.src.test.org.apache.lucene.analysis","1,63",409
"backwards.src.test.org.apache.lucene.analysis.tokenattributes","1,63",44
"backwards.src.test.org.apache.lucene.collation","1,27",14
"backwards.src.test.org.apache.lucene.document","1,95",41
"backwards.src.test.org.apache.lucene.index","2,96",2.899
"backwards.src.test.org.apache.lucene.queryParser","1,44",46
"backwards.src.test.org.apache.lucene.search","1,72",1.504
"backwards.src.test.org.apache.lucene.search.function","1,69",120
"backwards.src.test.org.apache.lucene.search.payloads","1,59",89
"backwards.src.test.org.apache.lucene.search.spans","1,21",234
"backwards.src.test.org.apache.lucene.store","2,13",211
"backwards.src.test.org.apache.lucene.util","2,32",539
"backwards.src.test.org.apache.lucene.util.packed","2,62",34
"contrib.analysis-extras.src.java.org.apache.solr.analysis","2,94",53
"contrib.analysis-extras.src.test.org.apache.solr.analysis","1,00",28
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.ar","1,96",49
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.bg","4,90",49
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.br","10,39",343
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.ca","1,40",7
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.charfilter","6,76",223
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.cjk","3,64",91
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.cn","2,33",28
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.compound","1,82",73
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.compound.hyphenation","2,64",264
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.cz","5,47",82
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.da","1,20",6
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.de","4,82",164
"contrib.analyzers.common.src.java.org.apache.lucene.analysis.el","11,64",454
