Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.argouml.application.notation.NotationProviderFactory",0,3,12,15,0,0,0,5,84,73,0,0,0,"1,67",5,12,20
"org.argouml.application.security.ArgoAwtExceptionHandler",1,0,2,2,0,0,0,1,31,11,0,0,0,"1,50",0,2,3
"org.argouml.application.security.ArgoClassLoader",0,1,2,3,0,0,0,1,51,30,0,0,0,"2,00",1,2,4
"org.argouml.application.security.ArgoJarClassLoader",1,1,3,4,0,0,0,2,64,31,0,0,0,"1,67",1,3,5
"org.argouml.application.security.ArgoSecurityException",0,1,3,4,0,0,0,1,19,14,0,0,0,"1,00",1,3,3
"org.argouml.application.security.ArgoSecurityManager",1,2,5,7,0,0,0,2,66,34,0,0,0,"2,20",2,5,11
"org.argouml.cognitive.Decision",0,3,7,10,0,0,0,2,26,18,0,0,0,"1,14",4,7,8
"org.argouml.cognitive.DecisionModel",0,1,10,11,0,0,0,1,76,49,0,0,0,"1,50",3,10,15
"org.argouml.cognitive.Design",0,1,10,11,0,0,0,1,78,48,0,0,0,"1,60",5,10,16
"org.argouml.cognitive.DesignMaterial",0,6,43,49,0,0,0,7,263,169,0,0,0,"1,51",18,43,65
"org.argouml.cognitive.Designer",0,26,64,90,0,0,0,26,379,253,0,0,0,"1,19",28,64,76
"org.argouml.cognitive.Goal",0,3,7,10,0,0,0,2,27,18,0,0,0,"1,14",4,7,8
"org.argouml.cognitive.GoalModel",0,1,8,9,0,0,0,1,52,28,0,0,0,"1,25",2,8,10
"org.argouml.cognitive.Poster",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a
"org.argouml.cognitive.ToDoItem",1,11,30,41,0,0,0,4,192,126,0,0,0,"1,33",17,30,40
"org.argouml.cognitive.ToDoList",1,12,40,52,1,0,0,5,356,283,0,0,0,"1,73",15,40,69
"org.argouml.cognitive.ToDoListEvent",0,1,3,4,0,0,0,1,6,6,0,0,0,"1,00",1,3,3
"org.argouml.cognitive.ToDoListListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.argouml.cognitive.checklist.CheckItem",0,4,14,18,0,0,0,4,63,33,0,0,0,"1,07",8,14,15
