Package,v(G)avg,v(G)tot
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo","2,61",198
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.columns","1,91",109
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.mr","2,59",96
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.predicate","3,27",134
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.predicate.compare","1,04",74
"accumulo-handler.src.java.org.apache.hadoop.hive.accumulo.serde","1,91",122
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo","1,16",37
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.columns","1,14",41
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.mr","1,86",52
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.predicate","2,00",70
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.predicate.compare","1,14",42
"accumulo-handler.src.test.org.apache.hadoop.hive.accumulo.serde","1,43",50
"ant.src.org.apache.hadoop.hive.ant","2,17",280
"beeline.src.java.org.apache.hive.beeline","2,58",1.041
"beeline.src.java.org.apache.hive.beeline.util","1,36",34
"beeline.src.test.org.apache.hive.beeline","2,00",44
"cli.src.java.org.apache.hadoop.hive.cli","4,74",199
"cli.src.test.org.apache.hadoop.hive.cli","1,86",69
"common.src.java.org.apache.hadoop.hive.ant","2,22",20
"common.src.java.org.apache.hadoop.hive.common","2,59",189
"common.src.java.org.apache.hadoop.hive.common.classification","1,00",1
"common.src.java.org.apache.hadoop.hive.common.cli","2,30",23
"common.src.java.org.apache.hadoop.hive.common.io","1,57",66
"common.src.java.org.apache.hadoop.hive.common.metrics","2,25",63
"common.src.java.org.apache.hadoop.hive.common.type","2,44",889
"common.src.java.org.apache.hadoop.hive.conf","1,86",208
"common.src.java.org.apache.hive.common","1,75",7
"common.src.java.org.apache.hive.common.util","2,29",174
"common.src.test.org.apache.hadoop.hive.common.metrics","1,86",13
"common.src.test.org.apache.hadoop.hive.common.type","1,63",173
"common.src.test.org.apache.hadoop.hive.conf","1,29",22
"common.src.test.org.apache.hive.common.util","1,00",1
"contrib.src.java.org.apache.hadoop.hive.contrib.fileformat.base64","1,94",35
"contrib.src.java.org.apache.hadoop.hive.contrib.genericudf.example","5,00",15
"contrib.src.java.org.apache.hadoop.hive.contrib.metastore.hooks","1,50",3
"contrib.src.java.org.apache.hadoop.hive.contrib.mr","1,43",30
"contrib.src.java.org.apache.hadoop.hive.contrib.mr.example","1,25",5
"contrib.src.java.org.apache.hadoop.hive.contrib.serde2","5,53",83
"contrib.src.java.org.apache.hadoop.hive.contrib.serde2.s3","2,11",19
"contrib.src.java.org.apache.hadoop.hive.contrib.udaf.example","1,80",175
"contrib.src.java.org.apache.hadoop.hive.contrib.udf","1,00",2
"contrib.src.java.org.apache.hadoop.hive.contrib.udf.example","3,00",18
"contrib.src.java.org.apache.hadoop.hive.contrib.udtf.example","1,43",10
"contrib.src.java.org.apache.hadoop.hive.contrib.util.typedbytes","1,89",339
"contrib.src.test.org.apache.hadoop.hive.contrib.mr","1,67",15
"contrib.src.test.org.apache.hadoop.hive.contrib.serde2","1,50",3
"hbase-handler.src.java.org.apache.hadoop.hive.hbase","2,71",518
"hbase-handler.src.test.org.apache.hadoop.hive.hbase","2,59",176
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.cli","6,60",66
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.cli.SemanticAnalysis","5,83",105
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.common","2,24",177
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.data","3,55",373
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.data.schema","1,94",128
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.data.transfer","1,12",36
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.data.transfer.impl","1,89",53
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.data.transfer.state","1,50",3
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.har","1,57",11
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.mapreduce","2,35",674
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.oozie","1,00",1
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.rcfile","1,73",19
"hcatalog.core.src.main.java.org.apache.hive.hcatalog.storagehandler","1,00",10
"hcatalog.core.src.test.java.org.apache.hive.hcatalog","1,81",38
"hcatalog.core.src.test.java.org.apache.hive.hcatalog.cli","1,47",47
"hcatalog.core.src.test.java.org.apache.hive.hcatalog.common","1,40",28
"hcatalog.core.src.test.java.org.apache.hive.hcatalog.data","1,54",86
"hcatalog.core.src.test.java.org.apache.hive.hcatalog.data.schema","2,33",21
"hcatalog.core.src.test.java.org.apache.hive.hcatalog.mapreduce","2,05",211
"hcatalog.core.src.test.java.org.apache.hive.hcatalog.rcfile","2,00",18
"hcatalog.hcatalog-pig-adapter.src.main.java.org.apache.hive.hcatalog.pig","4,27",312
"hcatalog.hcatalog-pig-adapter.src.test.java.org.apache.hive.hcatalog.pig","1,97",260
"hcatalog.server-extensions.src.main.java.org.apache.hive.hcatalog.listener","2,22",51
"hcatalog.server-extensions.src.main.java.org.apache.hive.hcatalog.messaging","1,95",39
"hcatalog.server-extensions.src.main.java.org.apache.hive.hcatalog.messaging.jms","2,50",5
"hcatalog.server-extensions.src.main.java.org.apache.hive.hcatalog.messaging.json","1,22",79
"hcatalog.server-extensions.src.test.java.org.apache.hive.hcatalog.listener","2,43",17
"hcatalog.src.test.e2e.hcatalog.tools.generate.java.org.apache.hadoop.hive.tools.generate","2,36",26
"hcatalog.src.test.e2e.hcatalog.udfs.java.org.apache.hive.hcatalog.utils","2,71",217
"hcatalog.streaming.src.java.org.apache.hive.hcatalog.streaming","2,40",199
"hcatalog.streaming.src.test.org.apache.hive.hcatalog.streaming","2,40",84
"hcatalog.webhcat.java-client.src.main.java.org.apache.hive.hcatalog.api","2,10",432
"hcatalog.webhcat.java-client.src.test.java.org.apache.hive.hcatalog.api","1,96",49
"hcatalog.webhcat.svr.src.main.java.org.apache.hive.hcatalog.templeton","2,30",688
"hcatalog.webhcat.svr.src.main.java.org.apache.hive.hcatalog.templeton.tool","2,47",418
