Class,OCavg,WMC
"org.apache.lucene.analysis.TestMockAnalyzer","1,43",10
"org.apache.lucene.analysis.TestMockCharFilter","1,00",3
"org.apache.lucene.analysis.TestNumericTokenStream","2,33",7
"org.apache.lucene.analysis.TestPerFieldAnalzyerWrapper","1,00",1
"org.apache.lucene.analysis.TestPorterStemFilter","1,00",6
"org.apache.lucene.analysis.TestStandardAnalyzer","1,00",32
"org.apache.lucene.analysis.TestStopAnalyzer","2,00",8
"org.apache.lucene.analysis.TestStopFilter","2,50",20
"org.apache.lucene.analysis.TestStopFilter.MockSynonymFilter","2,00",6
"org.apache.lucene.analysis.TestTeeSinkTokenFilter","3,17",19
"org.apache.lucene.analysis.TestTeeSinkTokenFilter.ModuloSinkFilter","1,00",2
"org.apache.lucene.analysis.TestTeeSinkTokenFilter.ModuloTokenFilter","1,50",3
"org.apache.lucene.analysis.TestToken","1,60",16
"org.apache.lucene.analysis.TestToken.SenselessAttributeImpl","1,00",4
"org.apache.lucene.analysis.TestTypeTokenFilter","2,00",10
"org.apache.lucene.analysis.TestUAX29URLEmailAnalyzer","1,00",32
"org.apache.lucene.analysis.TestUAX29URLEmailTokenizer","1,38",54
"org.apache.lucene.analysis.TestUAX29URLEmailTokenizer.EmailFilter","2,00",4
"org.apache.lucene.analysis.TestUAX29URLEmailTokenizer.URLFilter","2,00",4
"org.apache.lucene.analysis.TestWordlistLoader","1,00",4
"org.apache.lucene.analysis.Token","1,32",50
"org.apache.lucene.analysis.Token.TokenAttributeFactory","1,75",7
"org.apache.lucene.analysis.TokenFilter","1,00",4
"org.apache.lucene.analysis.TokenStream","1,14",8
"org.apache.lucene.analysis.TokenStreamToDot","3,00",18
"org.apache.lucene.analysis.Tokenizer","1,22",11
"org.apache.lucene.analysis.TypeTokenFilter","1,00",3
"org.apache.lucene.analysis.VocabularyAssert","1,75",7
"org.apache.lucene.analysis.WhitespaceAnalyzer","1,00",3
"org.apache.lucene.analysis.WhitespaceTokenizer","1,00",7
"org.apache.lucene.analysis.WordBreakTestUnicode_6_0_0","1,00",1
"org.apache.lucene.analysis.WordlistLoader","2,12",17
"org.apache.lucene.analysis.ar.ArabicAnalyzer","1,25",10
"org.apache.lucene.analysis.ar.ArabicAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.ar.ArabicLetterTokenizer","1,00",7
"org.apache.lucene.analysis.ar.ArabicNormalizationFilter","1,50",3
"org.apache.lucene.analysis.ar.ArabicNormalizer","7,00",7
"org.apache.lucene.analysis.ar.ArabicStemFilter","2,00",4
"org.apache.lucene.analysis.ar.ArabicStemmer","3,20",16
"org.apache.lucene.analysis.ar.TestArabicAnalyzer","1,00",7
"org.apache.lucene.analysis.ar.TestArabicLetterTokenizer","1,00",2
"org.apache.lucene.analysis.ar.TestArabicNormalizationFilter","1,00",17
"org.apache.lucene.analysis.ar.TestArabicStemFilter","1,00",25
"org.apache.lucene.analysis.bg.BulgarianAnalyzer","1,20",6
"org.apache.lucene.analysis.bg.BulgarianAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.bg.BulgarianStemFilter","2,00",4
"org.apache.lucene.analysis.bg.BulgarianStemmer","9,00",27
"org.apache.lucene.analysis.bg.TestBulgarianAnalyzer","1,00",7
"org.apache.lucene.analysis.bg.TestBulgarianStemmer","1,00",8
"org.apache.lucene.analysis.br.BrazilianAnalyzer","1,09",12
"org.apache.lucene.analysis.br.BrazilianAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.br.BrazilianStemFilter","2,00",6
"org.apache.lucene.analysis.br.BrazilianStemmer","12,63",240
"org.apache.lucene.analysis.br.TestBrazilianStemmer","1,00",13
"org.apache.lucene.analysis.ca.CatalanAnalyzer","1,40",7
"org.apache.lucene.analysis.ca.CatalanAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.ca.TestCatalanAnalyzer","1,00",5
"org.apache.lucene.analysis.charfilter.HTMLStripCharFilter","7,44",201
"org.apache.lucene.analysis.charfilter.HTMLStripCharFilter.TextSegment","1,00",6
"org.apache.lucene.analysis.charfilter.HTMLStripCharFilterTest","2,11",78
"org.apache.lucene.analysis.cjk.CJKAnalyzer","1,20",6
"org.apache.lucene.analysis.cjk.CJKAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.cjk.CJKBigramFilter","2,90",29
"org.apache.lucene.analysis.cjk.CJKTokenizer","4,43",31
"org.apache.lucene.analysis.cjk.CJKWidthFilter","3,33",10
"org.apache.lucene.analysis.cjk.TestCJKAnalyzer","1,00",21
"org.apache.lucene.analysis.cjk.TestCJKAnalyzer.FakeStandardTokenizer","1,50",3
"org.apache.lucene.analysis.cjk.TestCJKTokenizer","1,12",18
"org.apache.lucene.analysis.cjk.TestCJKTokenizer.TestToken",n/a,0
"org.apache.lucene.analysis.cjk.TestCJKWidthFilter","1,00",6
"org.apache.lucene.analysis.cn.ChineseAnalyzer","1,00",1
"org.apache.lucene.analysis.cn.ChineseFilter","3,50",7
"org.apache.lucene.analysis.cn.ChineseTokenizer","2,22",20
"org.apache.lucene.analysis.cn.TestChineseTokenizer","1,20",6
"org.apache.lucene.analysis.cn.TestChineseTokenizer.JustChineseFilterAnalyzer","1,00",1
"org.apache.lucene.analysis.cn.TestChineseTokenizer.JustChineseTokenizerAnalyzer","1,00",1
"org.apache.lucene.analysis.cn.smart.AnalyzerProfile","4,00",8
"org.apache.lucene.analysis.cn.smart.CharType",n/a,0
"org.apache.lucene.analysis.cn.smart.SentenceTokenizer","1,86",13
"org.apache.lucene.analysis.cn.smart.SmartChineseAnalyzer","1,83",11
"org.apache.lucene.analysis.cn.smart.SmartChineseAnalyzer.DefaultSetHolder","1,00",1
"org.apache.lucene.analysis.cn.smart.SmartChineseAnalyzer.SavedStreams",n/a,0
"org.apache.lucene.analysis.cn.smart.TestSmartChineseAnalyzer","1,23",27
"org.apache.lucene.analysis.cn.smart.Utility","9,00",27
"org.apache.lucene.analysis.cn.smart.WordSegmenter","3,00",6
"org.apache.lucene.analysis.cn.smart.WordTokenFilter","2,33",7
"org.apache.lucene.analysis.cn.smart.WordType",n/a,0
"org.apache.lucene.analysis.cn.smart.hhmm.AbstractDictionary","1,67",10
"org.apache.lucene.analysis.cn.smart.hhmm.BiSegGraph","2,88",23
"org.apache.lucene.analysis.cn.smart.hhmm.BigramDictionary","2,82",31
"org.apache.lucene.analysis.cn.smart.hhmm.HHMMSegmenter","7,67",23
"org.apache.lucene.analysis.cn.smart.hhmm.PathNode","3,33",10
"org.apache.lucene.analysis.cn.smart.hhmm.SegGraph","2,29",16
"org.apache.lucene.analysis.cn.smart.hhmm.SegToken","4,33",13
"org.apache.lucene.analysis.cn.smart.hhmm.SegTokenFilter","10,00",10
"org.apache.lucene.analysis.cn.smart.hhmm.SegTokenPair","3,67",11
"org.apache.lucene.analysis.cn.smart.hhmm.WordDictionary","3,37",64
"org.apache.lucene.analysis.compound.CompoundWordTokenFilterBase","1,40",21
"org.apache.lucene.analysis.compound.CompoundWordTokenFilterBase.CompoundToken","2,00",2
"org.apache.lucene.analysis.compound.DictionaryCompoundWordTokenFilter","1,89",17
"org.apache.lucene.analysis.compound.HyphenationCompoundWordTokenFilter","1,93",29
"org.apache.lucene.analysis.compound.TestCompoundWordTokenFilter","1,06",19
"org.apache.lucene.analysis.compound.TestCompoundWordTokenFilter.MockRetainAttributeFilter","1,50",3
"org.apache.lucene.analysis.compound.TestCompoundWordTokenFilter.MockRetainAttributeImpl","1,00",4
"org.apache.lucene.analysis.compound.hyphenation.ByteVector","1,36",15
"org.apache.lucene.analysis.compound.hyphenation.CharVector","1,31",17
"org.apache.lucene.analysis.compound.hyphenation.Hyphen","1,33",4
"org.apache.lucene.analysis.compound.hyphenation.Hyphenation","1,00",3
"org.apache.lucene.analysis.compound.hyphenation.HyphenationException","1,00",1
"org.apache.lucene.analysis.compound.hyphenation.HyphenationTree","3,73",56
"org.apache.lucene.analysis.compound.hyphenation.PatternParser","3,05",64
"org.apache.lucene.analysis.compound.hyphenation.TernaryTree","2,35",54
"org.apache.lucene.analysis.compound.hyphenation.TernaryTree.Iterator","3,71",26
"org.apache.lucene.analysis.compound.hyphenation.TernaryTree.Iterator.Item","1,00",3
"org.apache.lucene.analysis.cz.CzechAnalyzer","1,44",13
"org.apache.lucene.analysis.cz.CzechAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.cz.CzechStemFilter","2,00",4
"org.apache.lucene.analysis.cz.CzechStemmer","4,50",18
"org.apache.lucene.analysis.cz.TestCzechAnalyzer","1,00",8
"org.apache.lucene.analysis.cz.TestCzechAnalyzer.UnreliableInputStream","1,00",1
"org.apache.lucene.analysis.cz.TestCzechStemmer","1,00",10
"org.apache.lucene.analysis.da.DanishAnalyzer","1,20",6
"org.apache.lucene.analysis.da.DanishAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.da.TestDanishAnalyzer","1,00",4
"org.apache.lucene.analysis.de.GermanAnalyzer","1,27",14
"org.apache.lucene.analysis.de.GermanAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.de.GermanLightStemFilter","2,00",4
"org.apache.lucene.analysis.de.GermanLightStemmer","4,75",19
"org.apache.lucene.analysis.de.GermanMinimalStemFilter","2,00",4
"org.apache.lucene.analysis.de.GermanMinimalStemmer","17,00",17
"org.apache.lucene.analysis.de.GermanNormalizationFilter","8,00",16
"org.apache.lucene.analysis.de.GermanStemFilter","1,80",9
"org.apache.lucene.analysis.de.GermanStemmer","6,29",44
"org.apache.lucene.analysis.de.TestGermanAnalyzer","1,00",8
"org.apache.lucene.analysis.de.TestGermanLightStemFilter","1,00",5
"org.apache.lucene.analysis.de.TestGermanMinimalStemFilter","1,00",6
"org.apache.lucene.analysis.de.TestGermanNormalizationFilter","1,00",7
"org.apache.lucene.analysis.de.TestGermanStemFilter","1,00",6
"org.apache.lucene.analysis.el.GreekAnalyzer","1,33",8
"org.apache.lucene.analysis.el.GreekAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.el.GreekAnalyzerTest","1,00",5
"org.apache.lucene.analysis.el.GreekLowerCaseFilter","4,00",16
"org.apache.lucene.analysis.el.GreekStemFilter","2,00",4
"org.apache.lucene.analysis.el.GreekStemmer","4,89",132
"org.apache.lucene.analysis.el.TestGreekStemmer","1,00",8
"org.apache.lucene.analysis.en.EnglishAnalyzer","1,40",7
"org.apache.lucene.analysis.en.EnglishAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.en.EnglishMinimalStemFilter","2,00",4
"org.apache.lucene.analysis.en.EnglishMinimalStemmer","7,00",7
"org.apache.lucene.analysis.en.EnglishPossessiveFilter","1,67",5
"org.apache.lucene.analysis.en.KStemData1","1,00",1
"org.apache.lucene.analysis.en.KStemData2","1,00",1
"org.apache.lucene.analysis.en.KStemData3","1,00",1
"org.apache.lucene.analysis.en.KStemData4","1,00",1
"org.apache.lucene.analysis.en.KStemData5","1,00",1
"org.apache.lucene.analysis.en.KStemData6","1,00",1
"org.apache.lucene.analysis.en.KStemData7","1,00",1
"org.apache.lucene.analysis.en.KStemData8","1,00",1
"org.apache.lucene.analysis.en.KStemFilter","2,00",4
"org.apache.lucene.analysis.en.KStemmer","5,26",226
"org.apache.lucene.analysis.en.KStemmer.DictEntry","1,00",1
"org.apache.lucene.analysis.en.TestEnglishAnalyzer","1,00",4
"org.apache.lucene.analysis.en.TestEnglishMinimalStemFilter","1,00",5
"org.apache.lucene.analysis.en.TestKStemmer","1,00",5
"org.apache.lucene.analysis.es.SpanishAnalyzer","1,40",7
"org.apache.lucene.analysis.es.SpanishAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.es.SpanishLightStemFilter","2,00",4
"org.apache.lucene.analysis.es.SpanishLightStemmer","13,00",13
"org.apache.lucene.analysis.es.TestSpanishAnalyzer","1,00",4
"org.apache.lucene.analysis.es.TestSpanishLightStemFilter","1,00",5
"org.apache.lucene.analysis.eu.BasqueAnalyzer","1,20",6
"org.apache.lucene.analysis.eu.BasqueAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.eu.TestBasqueAnalyzer","1,00",4
"org.apache.lucene.analysis.fa.PersianAnalyzer","1,25",10
"org.apache.lucene.analysis.fa.PersianAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.fa.PersianCharFilter","2,50",5
"org.apache.lucene.analysis.fa.PersianNormalizationFilter","1,50",3
"org.apache.lucene.analysis.fa.PersianNormalizer","7,00",7
"org.apache.lucene.analysis.fa.TestPersianAnalyzer","1,00",8
"org.apache.lucene.analysis.fa.TestPersianNormalizationFilter","1,00",9
"org.apache.lucene.analysis.fi.FinnishAnalyzer","1,20",6
"org.apache.lucene.analysis.fi.FinnishAnalyzer.DefaultSetHolder",n/a,0
"org.apache.lucene.analysis.fi.FinnishLightStemFilter","2,00",4
"org.apache.lucene.analysis.fi.FinnishLightStemmer","7,71",54
"org.apache.lucene.analysis.fi.TestFinnishAnalyzer","1,00",4
"org.apache.lucene.analysis.fi.TestFinnishLightStemFilter","1,00",5
