Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"xml.XmlParsedData",10,3,7,10,6,0,0,1,185,159,0,0,0,"4,29",5,13,30
"xml.XmlPlugin",4,1,5,6,2,0,0,3,124,106,0,0,0,"4,00",2,5,20
"xml.XmlPlugin.TagMouseHandler",1,0,1,1,0,0,0,1,30,26,0,0,0,"2,00",0,1,4
"xml.completion.AntCompleteTask",1,5,11,16,1,0,0,1,393,284,0,0,0,"3,73",3,11,41
"xml.completion.CompletionInfo",5,9,12,21,0,0,0,3,215,195,0,0,0,"2,08",5,12,25
"xml.completion.CompletionInfoHandler",0,3,6,9,0,0,0,2,119,111,0,0,0,"2,83",2,6,17
"xml.completion.ElementDecl",9,7,11,18,1,0,0,1,203,176,0,0,0,"3,18",7,11,35
"xml.completion.ElementDecl.AttributeDecl",8,5,2,7,0,0,0,0,37,36,0,0,0,"2,00",1,2,4
"xml.completion.ElementDecl.Compare",2,0,1,1,2,0,0,1,10,9,0,0,0,"1,00",1,1,1
"xml.completion.EntityDecl",3,7,3,10,0,0,0,0,36,33,0,0,0,"1,67",1,3,5
"xml.completion.EntityDecl.Compare",1,0,1,1,1,0,0,1,17,16,0,0,0,"2,00",1,1,2
"xml.completion.IDDecl",3,5,2,7,0,0,0,0,22,20,0,0,0,"1,00",1,2,2
"xml.completion.IDDecl.Compare",3,0,1,1,1,0,0,1,12,11,0,0,0,"1,00",1,1,1
"xml.completion.XmlCompletion",7,2,6,8,13,0,0,3,168,152,0,0,0,"4,00",3,9,28
"xml.completion.XsdElementDecl",1,1,3,4,0,0,0,1,43,32,0,0,0,"2,00",2,3,6
"xml.options.CatalogsOptionPane",2,4,4,8,3,0,0,1,60,58,0,0,0,"1,50",0,4,6
"xml.options.CatalogsOptionPane.ActionHandler",2,0,1,1,3,0,0,1,23,23,0,0,0,"5,00",0,2,5
"xml.options.CatalogsOptionPane.ListHandler",1,0,1,1,3,0,0,1,7,7,0,0,0,"1,00",0,2,1
"xml.options.GeneralOptionPane",1,9,3,12,3,0,0,1,77,72,0,0,0,"1,00",0,9,3
"xml.parser.SAXParserImpl",8,0,5,5,19,0,0,2,173,162,0,0,0,"4,00",1,13,20
"xml.parser.SAXParserImpl.Handler",10,9,20,29,19,0,0,1,351,323,0,0,0,"2,65",4,38,53
"xml.parser.SAXParserImpl.StoppedException",2,0,1,1,0,0,0,0,8,7,0,0,0,"1,00",0,1,1
"xml.parser.TagParser",6,3,6,9,6,0,0,2,301,274,0,0,0,"11,67",6,8,70
"xml.parser.TagParser.Tag",4,2,2,4,6,0,0,0,25,24,0,0,0,"3,00",1,2,6
"xml.parser.XercesParserImpl",7,0,4,4,17,0,0,2,191,170,0,0,0,"5,75",1,12,23
"xml.parser.XercesParserImpl.Handler",10,9,20,29,17,0,0,1,351,317,0,0,0,"2,65",4,39,53
"xml.parser.XercesParserImpl.StoppedException",2,0,1,1,0,0,0,0,8,7,0,0,0,"1,00",0,1,1
"xml.parser.XmlParser",3,6,7,13,7,0,0,5,183,152,0,0,0,"5,14",3,8,36
"xml.parser.XmlTag",1,4,5,9,5,0,0,2,73,66,0,0,0,"2,60",4,5,13

