Class,OCavg,WMC
"org.hsqldb.jdbc.JDBCCallableStatement","1,08",124
"org.hsqldb.jdbc.JDBCClob","2,40",48
"org.hsqldb.jdbc.JDBCClobClient","1,00",14
"org.hsqldb.jdbc.JDBCColumnMetaData","2,00",4
"org.hsqldb.jdbc.JDBCConnection","2,06",128
"org.hsqldb.jdbc.JDBCDataSource","1,20",18
"org.hsqldb.jdbc.JDBCDataSourceFactory","2,00",2
"org.hsqldb.jdbc.JDBCDatabaseMetaData","1,24",225
"org.hsqldb.jdbc.JDBCDriver","2,00",18
"org.hsqldb.jdbc.JDBCNClob","1,00",2
"org.hsqldb.jdbc.JDBCParameterMetaData","1,73",26
"org.hsqldb.jdbc.JDBCPreparedStatement","2,12",239
"org.hsqldb.jdbc.JDBCResultSet","1,57",333
"org.hsqldb.jdbc.JDBCResultSetMetaData","1,54",43
"org.hsqldb.jdbc.JDBCRowId","1,38",11
"org.hsqldb.jdbc.JDBCSQLXML","1,57",96
"org.hsqldb.jdbc.JDBCSQLXML.Exceptions","1,00",10
"org.hsqldb.jdbc.JDBCSQLXML.SAX2DOMBuilder","1,33",28
"org.hsqldb.jdbc.JDBCSQLXML.SAX2XMLStreamWriter","1,32",25
"org.hsqldb.jdbc.JDBCSQLXML.SAX2XMLStreamWriter.QualifiedName","1,00",1
"org.hsqldb.jdbc.JDBCSavepoint","2,00",10
"org.hsqldb.jdbc.JDBCStatement","1,55",68
"org.hsqldb.jdbc.StatementBase","2,89",26
"org.hsqldb.jdbc.Util","1,40",28
"org.hsqldb.jdbc.pool.BaseConnectionWrapper","1,04",51
"org.hsqldb.jdbc.pool.ConnectionDefaults","1,08",14
"org.hsqldb.jdbc.pool.JDBCConnectionPoolDataSource","1,16",29
"org.hsqldb.jdbc.pool.JDBCPooledConnection","1,00",7
"org.hsqldb.jdbc.pool.JDBCXAConnection","1,00",2
"org.hsqldb.jdbc.pool.JDBCXAConnectionWrapper","1,11",10
"org.hsqldb.jdbc.pool.JDBCXADataSource","1,25",10
"org.hsqldb.jdbc.pool.JDBCXAResource","1,94",33
"org.hsqldb.jdbc.pool.LifeTimeConnectionWrapper","1,45",16
"org.hsqldb.jdbc.pool.ManagedPoolDataSource","1,51",109
"org.hsqldb.jdbc.pool.SessionConnectionWrapper","1,00",5
"org.hsqldb.jdbc.pool.WrapperInvocationHandler","3,43",72
"org.hsqldb.jdbc.pool.WrapperInvocationHandler.StatementKey","2,60",13
"org.hsqldb.jdbcDriver",n/a,0
"org.hsqldb.lib.AppendableException","1,83",11
"org.hsqldb.lib.ArrayCounter","4,67",14
"org.hsqldb.lib.ArrayListIdentity","3,00",3
"org.hsqldb.lib.ArrayUtil","3,53",166
"org.hsqldb.lib.AsciiStringInputStream","1,00",3
"org.hsqldb.lib.BaseList","2,25",18
"org.hsqldb.lib.BaseList.BaseListIterator","1,50",9
"org.hsqldb.lib.CharArrayWriter","1,33",12
"org.hsqldb.lib.ClosableByteArrayOutputStream","1,45",32
"org.hsqldb.lib.ClosableCharArrayWriter","1,64",36
"org.hsqldb.lib.CountUpDownLatch","2,00",12
"org.hsqldb.lib.CountdownInputStream","2,14",15
"org.hsqldb.lib.DataOutputStream","1,43",20
"org.hsqldb.lib.DoubleIntIndex","2,97",101
"org.hsqldb.lib.FileArchiver","11,50",23
"org.hsqldb.lib.FileUtil","1,29",31
"org.hsqldb.lib.FileUtil.FileSync","1,00",2
"org.hsqldb.lib.HashMap","1,36",15
"org.hsqldb.lib.HashMap.KeySet","1,11",10
"org.hsqldb.lib.HashMap.Values","1,00",8
"org.hsqldb.lib.HashMappedList","1,83",33
"org.hsqldb.lib.HashSet","1,79",25
"org.hsqldb.lib.HsqlArrayHeap","2,70",27
"org.hsqldb.lib.HsqlArrayList","2,52",53
"org.hsqldb.lib.HsqlByteArrayInputStream","1,68",42
"org.hsqldb.lib.HsqlByteArrayOutputStream","1,35",46
"org.hsqldb.lib.HsqlDeque","2,44",44
"org.hsqldb.lib.HsqlLinkedList","2,18",24
"org.hsqldb.lib.HsqlLinkedList.Node","1,00",3
"org.hsqldb.lib.HsqlTaskQueue","1,40",14
"org.hsqldb.lib.HsqlTaskQueue.TaskRunner","4,00",4
"org.hsqldb.lib.HsqlThreadFactory","1,40",7
"org.hsqldb.lib.HsqlTimer","2,40",60
"org.hsqldb.lib.HsqlTimer.Task","1,57",11
"org.hsqldb.lib.HsqlTimer.TaskQueue","1,38",11
"org.hsqldb.lib.HsqlTimer.TaskRunner","3,00",3
"org.hsqldb.lib.InOutUtil","2,00",6
"org.hsqldb.lib.IntKeyHashMap","1,45",16
"org.hsqldb.lib.IntKeyHashMap.KeySet","1,00",9
"org.hsqldb.lib.IntKeyHashMap.Values","1,00",8
"org.hsqldb.lib.IntKeyHashMapConcurrent","1,45",16
"org.hsqldb.lib.IntKeyHashMapConcurrent.KeySet","1,00",9
"org.hsqldb.lib.IntKeyHashMapConcurrent.Values","1,00",8
"org.hsqldb.lib.IntKeyIntValueHashMap","1,50",15
"org.hsqldb.lib.IntKeyIntValueHashMap.KeySet","1,00",9
"org.hsqldb.lib.IntKeyIntValueHashMap.Values","1,00",8
"org.hsqldb.lib.IntKeyLongValueHashMap","1,38",11
"org.hsqldb.lib.IntValueHashMap","1,85",24
"org.hsqldb.lib.IntValueHashMap.KeySet","1,11",10
"org.hsqldb.lib.LongDeque","2,62",42
"org.hsqldb.lib.LongKeyHashMap","1,45",16
"org.hsqldb.lib.LongKeyHashMap.KeySet","1,00",9
"org.hsqldb.lib.LongKeyHashMap.Values","1,00",8
"org.hsqldb.lib.LongKeyIntValueHashMap","1,45",16
"org.hsqldb.lib.LongKeyIntValueHashMap.KeySet","1,00",9
"org.hsqldb.lib.LongKeyIntValueHashMap.Values","1,00",8
"org.hsqldb.lib.LongKeyLongValueHashMap","1,45",16
"org.hsqldb.lib.LongKeyLongValueHashMap.KeySet","1,00",9
"org.hsqldb.lib.LongKeyLongValueHashMap.Values","1,00",8
"org.hsqldb.lib.LongValueHashMap","1,92",23
"org.hsqldb.lib.LongValueHashMap.KeySet","1,11",10
"org.hsqldb.lib.MultiValueHashMap","1,27",14
"org.hsqldb.lib.MultiValueHashMap.KeySet","1,00",9
"org.hsqldb.lib.MultiValueHashMap.Values","1,00",8
"org.hsqldb.lib.OrderedHashSet","1,80",18
"org.hsqldb.lib.OrderedIntHashSet","1,67",15
"org.hsqldb.lib.RCData","5,08",61
"org.hsqldb.lib.RefCapablePropertyResourceBundle","4,07",61
"org.hsqldb.lib.SimpleLog","2,10",21
"org.hsqldb.lib.Sort","6,50",13
"org.hsqldb.lib.StopWatch","1,36",15
"org.hsqldb.lib.StringComparator","4,00",4
"org.hsqldb.lib.StringConverter","4,28",77
"org.hsqldb.lib.StringInputStream","1,67",5
"org.hsqldb.lib.StringUtil","3,33",40
"org.hsqldb.lib.ValidatingResourceBundle","1,23",32
"org.hsqldb.lib.WrapperIterator","2,27",25
"org.hsqldb.lib.java.JavaSystem","1,33",16
"org.hsqldb.lib.tar.DbBackup","4,67",42
"org.hsqldb.lib.tar.PIFData","3,00",6
"org.hsqldb.lib.tar.PIFGenerator","2,00",16
"org.hsqldb.lib.tar.RB","6,00",12
"org.hsqldb.lib.tar.TarFileInputStream","2,22",20
"org.hsqldb.lib.tar.TarFileOutputStream","2,00",30
"org.hsqldb.lib.tar.TarGenerator","3,12",25
"org.hsqldb.lib.tar.TarGenerator.TarEntrySupplicant","2,22",40
"org.hsqldb.lib.tar.TarHeaderFields","2,00",6
"org.hsqldb.lib.tar.TarMalformatException","1,00",1
"org.hsqldb.lib.tar.TarReader","9,83",59
"org.hsqldb.lib.tar.TarReader.TarEntryHeader","2,27",34
"org.hsqldb.lib.tar.TarReader.TarEntryHeader.MissingField","1,00",2
"org.hsqldb.navigator.RowSetNavigator","1,47",44
"org.hsqldb.navigator.RowSetNavigatorClient","1,73",26
"org.hsqldb.navigator.RowSetNavigatorData","2,35",73
"org.hsqldb.navigator.RowSetNavigatorLinkedList","1,56",14
"org.hsqldb.persist.Cache","1,82",20
"org.hsqldb.persist.Cache.CachedObjectComparator","2,00",6
"org.hsqldb.persist.DataFileBlockManager","1,80",18
"org.hsqldb.persist.DataFileCache","2,30",85
"org.hsqldb.persist.DataFileCacheSession","1,12",9
"org.hsqldb.persist.DataFileDefrag","4,00",28
"org.hsqldb.persist.HsqlDatabaseProperties","2,67",48
"org.hsqldb.persist.HsqlProperties","1,80",63
"org.hsqldb.persist.LockFile","2,23",67
"org.hsqldb.persist.LockFile.BaseException","1,50",6
"org.hsqldb.persist.LockFile.FileCanonicalizationException","1,00",3
"org.hsqldb.persist.LockFile.FileSecurityException","1,00",3
"org.hsqldb.persist.LockFile.HeartbeatRunner","1,00",1
"org.hsqldb.persist.LockFile.LockHeldExternallyException","1,00",4
"org.hsqldb.persist.LockFile.UnexpectedEndOfFileException","1,00",3
"org.hsqldb.persist.LockFile.UnexpectedFileIOException","1,00",3
"org.hsqldb.persist.LockFile.UnexpectedFileNotFoundException","1,00",3
"org.hsqldb.persist.LockFile.WrongLengthException","1,00",3
"org.hsqldb.persist.LockFile.WrongMagicException","1,67",5
"org.hsqldb.persist.Log","2,27",102
"org.hsqldb.persist.Logger","2,15",58
"org.hsqldb.persist.NIOLockFile","1,86",13
"org.hsqldb.persist.PersistentStoreCollectionDatabase","1,50",6
"org.hsqldb.persist.PersistentStoreCollectionSession","3,38",27
"org.hsqldb.persist.RowStoreCached","1,22",22
"org.hsqldb.persist.RowStoreHybrid","2,05",41
"org.hsqldb.persist.RowStoreMemory","1,06",18
"org.hsqldb.persist.RowStoreText","1,36",15
"org.hsqldb.persist.ScaledRAFile","2,29",48
"org.hsqldb.persist.ScaledRAFileHybrid","1,20",24
"org.hsqldb.persist.ScaledRAFileInJar","1,55",31
"org.hsqldb.persist.ScaledRAFileNIO","1,78",32
"org.hsqldb.persist.ScriptRunner","17,00",17
"org.hsqldb.persist.TextCache","3,36",84
"org.hsqldb.persist.TextCache.ByteArray","1,20",6
"org.hsqldb.resources.BundleHandler","2,00",14
"org.hsqldb.result.Result","2,11",179
"org.hsqldb.result.ResultLob","1,84",46
"org.hsqldb.result.ResultMetaData","2,41",53
"org.hsqldb.rights.Grantee","2,47",173
"org.hsqldb.rights.GranteeManager","2,73",90
"org.hsqldb.rights.Right","6,29",195
"org.hsqldb.rights.User","1,27",14
"org.hsqldb.rights.UserManager","2,73",30
"org.hsqldb.rowio.RowInputBase","3,44",31
"org.hsqldb.rowio.RowInputBinary","1,33",36
"org.hsqldb.rowio.RowInputBinaryNet","1,00",3
"org.hsqldb.rowio.RowInputText","2,52",78
"org.hsqldb.rowio.RowInputTextLog","1,68",52
"org.hsqldb.rowio.RowInputTextQuoted","5,00",15
"org.hsqldb.rowio.RowOutputBase","4,00",32
"org.hsqldb.rowio.RowOutputBinary","1,72",62
"org.hsqldb.rowio.RowOutputBinaryNet","1,00",3
"org.hsqldb.rowio.RowOutputText","1,40",49
"org.hsqldb.rowio.RowOutputTextLog","1,19",37
"org.hsqldb.rowio.RowOutputTextQuoted","2,00",6
"org.hsqldb.sample.ConnectionTypesSample","1,00",1
"org.hsqldb.sample.DatabaseManagerSample",n/a,0
"org.hsqldb.sample.FindFile","2,75",11
"org.hsqldb.sample.SqlFileEmbedder","2,00",8
"org.hsqldb.sample.Testdb","1,50",9
"org.hsqldb.sample.TriggerSample","2,31",37
"org.hsqldb.scriptio.ScriptReaderBase","1,17",14
"org.hsqldb.scriptio.ScriptReaderBinary","2,30",23
"org.hsqldb.scriptio.ScriptReaderText","3,57",25
"org.hsqldb.scriptio.ScriptReaderZipped","1,50",3
"org.hsqldb.scriptio.ScriptWriterBase","2,10",42
"org.hsqldb.scriptio.ScriptWriterBinary","1,00",13
"org.hsqldb.scriptio.ScriptWriterText","1,67",25
"org.hsqldb.scriptio.ScriptWriterZipped","1,00",4
"org.hsqldb.server.HsqlServerFactory","2,00",4
"org.hsqldb.server.HsqlSocketFactory","1,40",14
"org.hsqldb.server.HsqlSocketFactorySecure","2,00",22
"org.hsqldb.server.Server","2,50",190
"org.hsqldb.server.Server.ServerThread","1,00",2
"org.hsqldb.server.ServerAcl","3,82",42
"org.hsqldb.server.ServerAcl.AclEntry","3,25",13
"org.hsqldb.server.ServerAcl.AclFormatException","1,00",1
"org.hsqldb.server.ServerAcl.InternalException",n/a,0
"org.hsqldb.server.ServerConfiguration","3,50",28
"org.hsqldb.server.ServerConnection","3,33",30
"org.hsqldb.server.ServerProperties","5,00",35
