Method,ev(G),iv(G),v(G)
"org.apache.felix.gogo.commands.converter.DefaultConverter.unwrap(Class)",1,1,2
"org.apache.felix.gogo.commands.converter.GenericType.GenericType(Class,GenericType...)",1,1,1
"org.apache.felix.gogo.commands.converter.GenericType.GenericType(Type)",1,1,1
"org.apache.felix.gogo.commands.converter.GenericType.collapse(Type)",6,7,8
"org.apache.felix.gogo.commands.converter.GenericType.getActualTypeArgument(int)",2,2,2
"org.apache.felix.gogo.commands.converter.GenericType.getConcreteClass(Type)",3,2,3
"org.apache.felix.gogo.commands.converter.GenericType.parametersOf(Type)",6,5,7
"org.apache.felix.gogo.commands.converter.GenericType.parse(String,Object)",7,7,8
"org.apache.felix.gogo.commands.converter.GenericType.size()",1,1,1
"org.apache.felix.gogo.commands.converter.GenericType.toString()",4,6,6
"org.apache.felix.gogo.commands.converter.ReifiedType.ReifiedType(Class)",1,1,1
"org.apache.felix.gogo.commands.converter.ReifiedType.getActualTypeArgument(int)",1,1,1
"org.apache.felix.gogo.commands.converter.ReifiedType.getRawClass()",1,1,1
"org.apache.felix.gogo.commands.converter.ReifiedType.size()",1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.JaasSecurityProvider()",1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.authenticate(HttpServletRequest,HttpServletResponse)",5,6,8
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.authenticate(String,String)",1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.authorize(Object,String)",1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.base64Decode(String)",1,1,2
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.doAuthenticate(String,String)",8,12,14
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.getRealm()",1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.getRole()",1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.getString(Dictionary<String, ?>,String,String)",3,3,3
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.setRealm(String)",1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.setRole(String)",1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.updated(Dictionary<String, ?>)",1,1,2
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManager.KarafOsgiManager(BundleContext)",1,1,1
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManager.doService(HttpServletRequest,HttpServletResponse)",1,1,1
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManager.service(ServletRequest,ServletResponse)",4,3,5
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManagerActivator.start(BundleContext)",1,1,1
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManagerActivator.stop(BundleContext)",1,3,3
"org.apache.karaf.bundle.command.BundleCommand.execute()",1,1,1
"org.apache.karaf.bundle.command.BundleCommand.setBundleService(BundleService)",1,1,1
"org.apache.karaf.bundle.command.BundlesCommand.doExecute(List<Bundle>)",2,3,4
"org.apache.karaf.bundle.command.BundlesCommand.execute()",1,1,1
"org.apache.karaf.bundle.command.BundlesCommand.setBundleContext(BundleContext)",1,1,1
"org.apache.karaf.bundle.command.BundlesCommand.setBundleService(BundleService)",1,1,1
"org.apache.karaf.bundle.command.Capabilities.aggregateCapabilities(Pattern,List<BundleWire>)",1,4,4
"org.apache.karaf.bundle.command.Capabilities.doExecute(List<Bundle>)",1,6,6
"org.apache.karaf.bundle.command.Capabilities.executeOnBundle(Bundle)",1,1,1
"org.apache.karaf.bundle.command.Capabilities.getVersionFromCapability(BundleCapability)",1,3,3
"org.apache.karaf.bundle.command.Capabilities.matchNamespace(Pattern,String)",1,1,1
"org.apache.karaf.bundle.command.Capabilities.printMatchingCapabilities(BundleWiring,Pattern)",1,7,7
"org.apache.karaf.bundle.command.Capabilities.printServiceCapabilities(Bundle)",1,8,10
"org.apache.karaf.bundle.command.Classes.executeOnBundle(Bundle)",1,6,6
"org.apache.karaf.bundle.command.Diag.executeOnBundle(Bundle)",1,5,5
"org.apache.karaf.bundle.command.DynamicImport.doExecute(Bundle)",1,2,2
"org.apache.karaf.bundle.command.FindClass.execute()",1,1,1
"org.apache.karaf.bundle.command.FindClass.findResource()",1,5,5
"org.apache.karaf.bundle.command.Headers.checkBundle(String,String)",4,4,6
"org.apache.karaf.bundle.command.Headers.checkPackage(String,String)",5,6,8
"org.apache.karaf.bundle.command.Headers.executeOnBundle(Bundle)",1,3,3
"org.apache.karaf.bundle.command.Headers.formatClause(Clause,ClauseFormatter,StringBuilder,int)",1,3,3
"org.apache.karaf.bundle.command.Headers.formatClause(Clause,StringBuilder,int)",1,12,15
"org.apache.karaf.bundle.command.Headers.formatClauses(Clause[],ClauseFormatter,StringBuilder,int)",1,3,3
"org.apache.karaf.bundle.command.Headers.formatHeader(String,ClauseFormatter,StringBuilder,int)",1,1,1
"org.apache.karaf.bundle.command.Headers.generateFormattedOutput(Bundle)",1,18,22
"org.apache.karaf.bundle.command.Headers.getAttribute(BundleCapability,String)",1,2,2
"org.apache.karaf.bundle.command.Headers.getTermWidth()",1,1,1
"org.apache.karaf.bundle.command.Id.doExecute(Bundle)",1,1,1
"org.apache.karaf.bundle.command.Info.executeOnBundle(Bundle)",1,1,1
"org.apache.karaf.bundle.command.Install.execute()",4,14,15
"org.apache.karaf.bundle.command.List.determineBundleLevelThreshold()",1,2,2
"org.apache.karaf.bundle.command.List.doExecute(List<Bundle>)",4,11,13
"org.apache.karaf.bundle.command.List.executeOnBundle(Bundle)",1,1,1
"org.apache.karaf.bundle.command.List.getNameHeader()",1,1,5
"org.apache.karaf.bundle.command.List.getNameToShow(BundleInfo)",5,8,8
"org.apache.karaf.bundle.command.List.getStateString(BundleState)",1,2,2
"org.apache.karaf.bundle.command.List.printFragments(BundleInfo)",2,2,4
"org.apache.karaf.bundle.command.List.printHosts(BundleInfo)",2,2,4
"org.apache.karaf.bundle.command.ListServicesTest.ListServicesTest()",1,1,1
"org.apache.karaf.bundle.command.ListServicesTest.listAllLong()",1,1,1
"org.apache.karaf.bundle.command.ListServicesTest.listAllLongServiceUse()",1,1,1
"org.apache.karaf.bundle.command.ListServicesTest.listAllShort()",1,1,1
"org.apache.karaf.bundle.command.LoadTest.confirm(Session)",4,2,4
"org.apache.karaf.bundle.command.LoadTest.execute()",12,20,25
"org.apache.karaf.bundle.command.Refresh.Refresh()",1,1,1
"org.apache.karaf.bundle.command.Refresh.doExecute(List<Bundle>)",1,2,3
"org.apache.karaf.bundle.command.Refresh.executeOnBundle(Bundle)",1,1,1
"org.apache.karaf.bundle.command.Requirements.aggregateRequirements(Pattern,List<BundleWire>)",1,4,4
"org.apache.karaf.bundle.command.Requirements.doExecute(List<Bundle>)",1,6,6
"org.apache.karaf.bundle.command.Requirements.executeOnBundle(Bundle)",1,1,1
"org.apache.karaf.bundle.command.Requirements.getVersionFromCapability(BundleCapability)",1,3,3
"org.apache.karaf.bundle.command.Requirements.matchNamespace(Pattern,String)",1,1,1
"org.apache.karaf.bundle.command.Requirements.printMatchingRequirements(BundleWiring,Pattern)",1,6,6
"org.apache.karaf.bundle.command.Requirements.printServiceRequirements(Bundle)",1,4,5
"org.apache.karaf.bundle.command.Resolve.doExecute(List<Bundle>)",1,2,3
"org.apache.karaf.bundle.command.Resolve.executeOnBundle(Bundle)",1,1,1
"org.apache.karaf.bundle.command.Restart.Restart()",1,1,1
"org.apache.karaf.bundle.command.Restart.doExecute(List<Bundle>)",2,6,6
"org.apache.karaf.bundle.command.Restart.executeOnBundle(Bundle)",1,1,1
"org.apache.karaf.bundle.command.Services.executeOnBundle(Bundle)",1,2,2
"org.apache.karaf.bundle.command.Services.isCommandOrCompleter(String[])",3,2,3
"org.apache.karaf.bundle.command.Services.printProperties(ServiceReference<?>)",1,2,2
"org.apache.karaf.bundle.command.Services.printServices(Bundle,ServiceReference<?>[],boolean)",2,7,10
"org.apache.karaf.bundle.command.ShowBundleTree.createNode(Node<Bundle>)",1,4,4
"org.apache.karaf.bundle.command.ShowBundleTree.createNodeForImport(Node<Bundle>,Bundle,Clause)",1,10,10
"org.apache.karaf.bundle.command.ShowBundleTree.createNodesForImports(Node<Bundle>,Bundle)",4,4,5
"org.apache.karaf.bundle.command.ShowBundleTree.createTree(Bundle)",1,2,2
"org.apache.karaf.bundle.command.ShowBundleTree.doExecute(Bundle)",1,1,1
"org.apache.karaf.bundle.command.ShowBundleTree.getAttribute(BundleCapability,String)",1,2,2
"org.apache.karaf.bundle.command.ShowBundleTree.getState(Bundle)",8,2,8
"org.apache.karaf.bundle.command.ShowBundleTree.printDuplicatePackages(Tree<Bundle>)",1,10,10
"org.apache.karaf.bundle.command.ShowBundleTree.printHeader(Bundle)",1,1,1
"org.apache.karaf.bundle.command.ShowBundleTree.printTree(Tree<Bundle>)",2,2,2
"org.apache.karaf.bundle.command.Start.Start()",1,1,1
"org.apache.karaf.bundle.command.Start.executeOnBundle(Bundle)",1,1,2
"org.apache.karaf.bundle.command.StartLevel.doExecute(Bundle)",4,4,5
"org.apache.karaf.bundle.command.Stop.Stop()",1,1,1
"org.apache.karaf.bundle.command.Stop.executeOnBundle(Bundle)",1,1,2
"org.apache.karaf.bundle.command.TestBundleFactory.addRegisteredServices(Bundle,ServiceReference<?>...)",1,2,2
"org.apache.karaf.bundle.command.TestBundleFactory.addUsedServices(Bundle,ServiceReference<?>...)",1,1,1
"org.apache.karaf.bundle.command.TestBundleFactory.createBundle(long,String)",1,1,1
