Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.qpid.qmf2.common.SchemaClass",5,2,7,9,0,0,0,1,97,59,0,0,0,"1,14",2,7,8
"org.apache.qpid.qmf2.common.SchemaClassId",8,4,12,16,0,0,0,1,160,92,0,0,0,"1,50",6,12,18
"org.apache.qpid.qmf2.common.SchemaEventClass",10,1,16,17,0,0,0,3,215,113,0,0,0,"1,69",7,16,27
"org.apache.qpid.qmf2.common.SchemaMethod",4,1,16,17,0,0,0,2,226,127,0,0,0,"1,81",7,16,29
"org.apache.qpid.qmf2.common.SchemaObjectClass",16,3,22,25,1,0,0,3,316,171,0,0,0,"1,82",11,22,40
"org.apache.qpid.qmf2.common.SchemaProperty",5,0,19,19,0,0,0,2,305,193,0,0,0,"2,53",14,19,48
"org.apache.qpid.qmf2.common.WorkItem",31,3,4,7,1,0,0,3,340,25,10,0,0,"1,00",3,4,4
"org.apache.qpid.qmf2.common.WorkItem.WorkItemType",20,17,0,17,0,n/a,0,0,25,20,n/a,0,0,n/a,0,0,0
"org.apache.qpid.qmf2.common.WorkQueue",2,1,4,5,0,0,0,1,75,45,0,0,0,"1,25",3,4,5
"org.apache.qpid.qmf2.console.Agent",17,10,50,60,6,1,0,3,409,224,0,16,1,"1,61",17,40,50
"org.apache.qpid.qmf2.console.AgentAccessWorkItem",4,3,7,10,5,1,0,2,46,22,0,3,0,"1,33",2,5,4
"org.apache.qpid.qmf2.console.AgentAddedWorkItem",2,0,1,1,0,0,0,0,25,7,0,0,0,"1,00",0,1,1
"org.apache.qpid.qmf2.console.AgentDeletedWorkItem",0,0,1,1,0,0,0,0,26,7,0,0,0,"1,00",0,1,1
"org.apache.qpid.qmf2.console.AgentHeartbeatWorkItem",6,0,1,1,0,0,0,0,24,7,0,0,0,"1,00",0,1,1
"org.apache.qpid.qmf2.console.AgentProxy",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.apache.qpid.qmf2.console.AgentRestartedWorkItem",3,0,1,1,0,0,0,0,22,7,0,0,0,"1,00",0,1,1
"org.apache.qpid.qmf2.console.Console",38,28,52,80,21,0,0,12,2.010,1.187,0,0,0,"3,50",33,81,189
"org.apache.qpid.qmf2.console.EventReceivedWorkItem",8,0,2,2,2,0,0,1,33,12,0,0,0,"1,00",1,2,2
"org.apache.qpid.qmf2.console.MethodResponseWorkItem",6,3,6,9,3,1,0,1,34,11,0,3,0,"1,00",1,4,2
"org.apache.qpid.qmf2.console.MethodResult",9,4,25,29,2,1,0,2,113,67,0,17,0,"2,50",5,12,15
"org.apache.qpid.qmf2.console.ObjectUpdateWorkItem",6,3,6,9,3,1,0,1,34,11,0,3,0,"1,00",1,4,2
