Class,CBO,Command,CSA,CSO,CSOA,Cyclic,DIT,Dpt,Inner,Inner,LCOM,LOC,MPC,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,Query,RFC,STAT,SUB,WMC
"org.apache.tools.ant.DynamicObjectAttribute",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.Evaluable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.Executor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a
"org.apache.tools.ant.ExitException",4,0,7,55,62,0,5,4,0,1,1,37,2,2,5,15,1,0,26,0,0,"1,00",1,"1,00","1,67",2,1,4,5,0,3
"org.apache.tools.ant.ExitStatusException",7,0,8,63,71,294,5,5,0,1,1,44,3,2,6,19,1,0,30,0,0,"1,00",1,"1,50","1,75",2,1,7,7,0,4
"org.apache.tools.ant.ExtensionPoint",6,2,11,45,56,294,2,2,0,1,1,34,1,1,10,17,0,0,35,2,0,"1,00",1,"0,75","0,75",1,0,6,3,0,4
"org.apache.tools.ant.FileScanner",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,n/a,n/a,n/a
"org.apache.tools.ant.IntrospectionHelper",35,7,13,55,68,294,1,10,6,0,3,1.385,15,13,0,777,42,0,11,0,0,"2,76",6,"1,88","6,71",22,35,122,389,0,160
"org.apache.tools.ant.IntrospectionHelper.AddNestedCreator",5,2,5,23,28,294,2,1,0,0,2,43,8,4,1,42,2,0,13,2,0,"2,00",5,"2,00","2,80",7,2,11,14,0,10
"org.apache.tools.ant.IntrospectionHelper.AttributeSetter",3,2,2,15,17,294,1,1,0,0,1,34,n/a,2,0,30,1,11,11,0,0,"3,00",5,"2,67","6,00",10,0,11,12,11,6
"org.apache.tools.ant.IntrospectionHelper.CreateNestedCreator",3,0,1,20,21,294,2,1,0,0,1,10,3,0,1,10,1,0,15,0,0,"1,00",1,"2,00","1,00",1,1,5,2,0,2
"org.apache.tools.ant.IntrospectionHelper.Creator",7,2,5,17,22,294,1,3,0,0,1,100,9,5,0,65,4,0,11,0,0,"2,20",6,"0,80","6,20",18,2,15,31,0,11
"org.apache.tools.ant.IntrospectionHelper.MethodAndObject",1,0,2,13,15,0,1,1,0,0,0,8,0,2,0,8,0,0,11,0,0,"1,00",1,"2,00","2,00",2,0,1,2,0,1
"org.apache.tools.ant.IntrospectionHelper.NestedCreator",5,1,1,18,19,294,1,4,0,0,5,25,n/a,1,0,20,4,4,11,0,0,"1,00",1,"1,00","0,80",1,4,6,4,4,5
"org.apache.tools.ant.Location",36,0,6,22,28,294,1,35,0,1,3,137,21,6,0,62,3,0,8,3,0,"1,60",4,"0,60","2,70",8,6,24,27,0,16
"org.apache.tools.ant.MagicNames",30,0,36,13,49,0,1,29,0,0,0,235,0,36,0,45,0,0,11,0,0,"1,00",1,"0,00","0,00",0,0,1,0,0,1
"org.apache.tools.ant.Main",32,17,25,46,71,294,1,8,0,1,1,1.142,340,25,0,785,31,1,11,0,0,"4,41",49,"1,39","14,65",134,14,164,498,1,150
"org.apache.tools.ant.NoBannerLogger",6,3,6,46,52,0,2,2,0,3,1,69,10,1,5,28,1,1,25,3,0,"1,40",3,"0,80","2,00",7,1,13,10,2,7
"org.apache.tools.ant.PathTokenizer",3,0,4,15,19,294,1,2,0,0,1,130,28,4,0,66,2,0,11,0,0,"5,00",11,"0,33","10,67",25,2,13,32,0,15
"org.apache.tools.ant.Project",596,76,33,138,171,294,1,579,1,1,30,2.232,10,33,0,925,124,1,11,0,0,"1,72",3,"1,41","3,63",8,48,294,458,1,217
"org.apache.tools.ant.Project.AntRefTable",2,0,9,89,98,294,3,1,0,3,1,40,5,1,8,19,1,0,52,1,0,"1,33",2,"0,67","2,67",6,2,7,8,0,4
"org.apache.tools.ant.ProjectComponent",385,5,3,22,25,294,1,384,0,1,3,137,n/a,3,0,43,8,34,10,1,0,"1,20",3,"0,60","1,50",4,4,13,15,448,12
"org.apache.tools.ant.ProjectHelper",48,11,14,42,56,294,1,35,1,0,22,564,62,14,0,203,29,4,11,0,0,"1,62",9,"1,40","2,69",22,18,78,86,4,52
"org.apache.tools.ant.ProjectHelper.OnMissingExtensionPoint",4,0,5,16,21,0,1,3,0,0,1,43,2,5,0,32,2,0,10,1,0,"1,75",4,"0,50","2,75",8,3,7,11,0,7
"org.apache.tools.ant.ProjectHelperRepository",11,4,5,24,29,294,1,7,1,0,2,247,5,5,0,171,11,0,11,0,0,"2,50",1,"0,58","6,83",1,7,48,82,0,30
"org.apache.tools.ant.ProjectHelperRepository.ConstructingIterator",3,1,2,20,22,294,1,1,0,1,2,29,5,2,0,28,2,0,12,1,0,"1,25",2,"0,25","2,75",8,2,10,11,0,5
"org.apache.tools.ant.PropertyHelper",32,15,10,59,69,294,1,23,3,1,2,1.015,152,10,0,415,45,0,11,0,0,"2,18",8,"1,52","4,06",23,30,95,203,0,109
"org.apache.tools.ant.PropertyHelper.Delegate",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a
"org.apache.tools.ant.PropertyHelper.PropertyEvaluator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.PropertyHelper.PropertySetter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a
"org.apache.tools.ant.RuntimeConfigurable",30,15,12,40,52,294,1,14,2,1,2,493,88,12,0,261,27,0,11,0,0,"2,68",16,"0,96","4,64",35,12,96,130,0,75
"org.apache.tools.ant.RuntimeConfigurable.AttributeComponentInformation",1,0,2,15,17,0,1,1,0,0,2,19,0,2,0,14,2,0,11,0,0,"1,00",1,"0,67","1,33",2,2,3,4,0,3
"org.apache.tools.ant.RuntimeConfigurable.EnableAttributeConsumer",2,1,0,13,13,294,1,1,0,0,1,5,0,0,0,4,1,0,11,0,0,"1,00",1,"1,00","0,00",0,0,1,0,0,1
"org.apache.tools.ant.SubBuildListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a
"org.apache.tools.ant.Target",48,16,10,42,52,294,1,38,2,1,2,421,4,10,0,209,26,1,10,1,0,"1,79",2,"0,72","3,48",3,11,65,101,1,52
"org.apache.tools.ant.Target.IfStringCondition",4,0,1,15,16,294,1,1,0,1,1,14,4,1,0,11,1,0,11,0,0,"1,00",1,"0,50","2,00",3,1,6,4,0,2
"org.apache.tools.ant.Target.UnlessStringCondition",4,0,1,15,16,294,1,1,0,1,1,14,4,1,0,11,1,0,11,0,0,"1,00",1,"0,50","2,00",3,1,6,4,0,2
"org.apache.tools.ant.Task",286,20,9,51,60,294,2,283,0,1,6,421,n/a,6,3,170,26,143,18,2,0,"1,38",3,"0,76","2,79",20,8,59,81,251,40
"org.apache.tools.ant.TaskAdapter",12,4,10,63,73,294,3,5,0,2,1,146,27,1,9,74,4,0,45,1,0,"1,57",3,"0,71","4,86",17,1,21,34,0,11
"org.apache.tools.ant.TaskConfigurationChecker",3,3,2,16,18,0,1,0,0,0,1,82,15,2,0,30,3,0,11,0,0,"1,75",3,"1,00","3,75",11,0,14,15,0,7
"org.apache.tools.ant.TaskContainer",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.TypeAdapter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a
"org.apache.tools.ant.UnknownElement",35,13,15,82,97,294,3,28,0,1,1,619,198,6,9,374,21,0,37,9,0,"2,90",14,"1,00","6,81",29,17,113,211,0,90
"org.apache.tools.ant.UnsupportedAttributeException",4,0,8,61,69,294,5,3,0,1,1,26,1,2,6,11,1,0,30,0,0,"1,00",1,"1,00","1,50",2,1,3,3,0,2
"org.apache.tools.ant.UnsupportedElementException",3,0,8,61,69,294,5,2,0,1,1,35,1,2,6,11,1,0,30,0,0,"1,00",1,"1,00","1,50",2,1,3,3,0,2
"org.apache.tools.ant.XmlLogger",15,12,18,40,58,0,1,1,1,3,4,376,106,18,0,236,16,0,11,0,0,"2,71",10,"1,00","8,53",37,4,66,145,0,46
"org.apache.tools.ant.XmlLogger.TimedElement",1,0,2,13,15,0,1,1,0,0,0,13,2,2,0,7,0,0,10,1,0,"1,00",1,"0,00","1,00",1,1,3,1,0,1
"org.apache.tools.ant.attribute.AttributeNamespace",1,0,0,12,12,0,1,1,0,0,0,8,0,0,0,2,0,0,11,0,0,n/a,n/a,"0,00",n/a,n/a,0,0,0,0,0
"org.apache.tools.ant.attribute.BaseIfAttribute",11,1,4,27,31,0,2,6,0,2,2,54,n/a,1,3,29,4,3,20,0,0,"1,75",3,"0,75","3,75",12,3,19,15,6,7
"org.apache.tools.ant.attribute.EnableAttribute",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.attribute.IfBlankAttribute",3,0,4,28,32,0,3,1,1,2,1,13,3,0,4,5,1,1,24,0,0,"1,00",1,"2,00","1,00",1,1,3,1,1,1
"org.apache.tools.ant.attribute.IfBlankAttribute.Unless",2,0,4,28,32,0,4,0,0,2,0,4,1,0,4,3,0,0,25,0,0,n/a,n/a,"0,00",n/a,n/a,0,1,1,0,0
"org.apache.tools.ant.attribute.IfSetAttribute",5,0,4,28,32,0,3,1,1,2,1,13,4,0,4,5,1,1,24,0,0,"1,00",1,"2,00","1,00",1,1,4,1,1,1
"org.apache.tools.ant.attribute.IfSetAttribute.Unless",2,0,4,28,32,0,4,0,0,2,0,4,1,0,4,3,0,0,25,0,0,n/a,n/a,"0,00",n/a,n/a,0,1,1,0,0
"org.apache.tools.ant.attribute.IfTrueAttribute",4,0,4,28,32,0,3,1,1,2,1,13,3,0,4,5,1,1,24,0,0,"1,00",1,"2,00","1,00",1,1,3,1,1,1
"org.apache.tools.ant.attribute.IfTrueAttribute.Unless",2,0,4,28,32,0,4,0,0,2,0,4,1,0,4,3,0,0,25,0,0,n/a,n/a,"0,00",n/a,n/a,0,1,1,0,0
"org.apache.tools.ant.dispatch.DispatchTask",4,1,10,55,65,0,3,2,0,2,2,35,n/a,1,9,12,3,2,46,0,0,"1,00",1,"0,33","1,00",1,2,3,3,2,3
"org.apache.tools.ant.dispatch.DispatchUtils",6,1,0,13,13,294,1,3,0,0,1,98,30,0,0,89,1,0,11,0,0,"15,00",15,"1,00","50,00",50,0,16,50,0,15
"org.apache.tools.ant.dispatch.Dispatchable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.filters.BaseFilterReader",21,2,6,46,52,294,3,19,0,3,5,156,n/a,3,3,69,6,7,24,2,0,"1,90",4,"0,70","3,60",10,6,20,36,21,19
"org.apache.tools.ant.filters.BaseParamFilterReader",17,1,6,51,57,294,4,14,0,4,1,46,n/a,1,5,18,2,14,35,0,0,"1,00",1,"0,50","1,25",2,1,7,5,14,4
"org.apache.tools.ant.filters.ChainableReader",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.filters.ClassConstants",5,0,7,51,58,294,4,1,0,4,2,130,16,2,5,73,1,0,33,1,0,"3,00",9,"0,50","9,00",32,2,18,36,0,12
"org.apache.tools.ant.filters.ConcatFilter",6,3,10,61,71,0,5,0,0,5,1,175,31,4,6,86,6,0,35,1,0,"2,67",9,"0,44","5,22",19,4,28,47,0,24
"org.apache.tools.ant.filters.EscapeUnicode",5,1,7,57,64,294,5,1,0,5,2,92,11,1,6,41,2,0,35,1,0,"1,80",5,"0,40","4,20",14,2,15,21,0,9
"org.apache.tools.ant.filters.ExpandProperties",10,1,9,52,61,294,4,1,0,4,1,104,15,4,5,57,2,0,33,1,0,"2,00",6,"0,60","4,17",11,2,18,25,0,12
"org.apache.tools.ant.filters.FixCrLfFilter",14,7,17,70,87,3,5,5,9,5,1,333,20,11,6,119,15,0,35,1,0,"1,67",2,"0,50","2,94",3,9,34,53,0,30
"org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove",3,0,5,26,31,0,2,2,0,0,3,54,12,3,2,35,4,0,15,2,0,"1,50",4,"0,33","2,33",7,6,10,14,0,9
"org.apache.tools.ant.filters.FixCrLfFilter.AddEofFilter",2,0,6,44,50,3,3,1,0,3,1,19,2,1,5,18,0,0,31,1,0,"2,00",3,"0,50","4,00",7,1,4,8,0,4
"org.apache.tools.ant.filters.FixCrLfFilter.AddTabFilter",2,0,7,44,51,0,3,1,0,3,1,72,8,2,5,71,0,0,31,1,0,"8,50",16,"1,00","27,50",53,1,7,55,0,17
"org.apache.tools.ant.filters.FixCrLfFilter.CrLf",3,0,9,26,35,0,2,2,0,0,3,63,20,7,2,41,4,0,15,2,0,"1,67",5,"0,33","2,67",9,6,10,16,0,10
"org.apache.tools.ant.filters.FixCrLfFilter.MaskJavaTabLiteralsFilter",2,0,14,45,59,0,3,1,0,3,1,112,3,9,5,99,0,0,30,2,0,"10,00",28,"0,33","24,67",71,2,6,74,0,30
"org.apache.tools.ant.filters.FixCrLfFilter.NormalizeEolFilter",3,0,9,44,53,3,3,1,0,3,1,76,14,4,5,69,0,0,31,1,0,"8,50",16,"1,50","24,00",45,1,7,48,0,17
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveEofFilter",2,0,6,44,50,3,3,1,0,3,1,22,3,1,5,20,0,0,31,1,0,"1,50",2,"0,50","5,00",6,1,5,10,0,3
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveTabFilter",2,0,7,44,51,0,3,1,0,3,1,30,4,2,5,30,0,0,31,1,0,"3,50",6,"1,00","10,00",18,1,6,20,0,7
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader",7,7,6,42,48,0,2,6,0,3,1,82,15,4,2,66,7,6,12,7,0,"1,27",3,"0,87","1,80",6,7,23,27,6,19
"org.apache.tools.ant.filters.HeadFilter",7,3,16,62,78,294,5,1,0,5,1,176,25,10,6,93,7,0,35,1,0,"2,30",6,"0,50","4,90",16,5,23,49,0,23
"org.apache.tools.ant.filters.LineContains",8,4,11,62,73,294,5,1,1,5,1,173,0,5,6,79,7,0,35,1,0,"2,10",5,"0,50","4,40",9,4,29,44,0,21
"org.apache.tools.ant.filters.LineContains.Contains",1,1,1,14,15,0,1,1,0,0,1,24,0,1,0,9,2,0,11,0,0,"1,00",1,"0,50","1,00",1,1,2,2,0,2
"org.apache.tools.ant.filters.LineContainsRegExp",12,5,13,63,76,294,5,2,0,5,1,194,41,7,6,95,8,0,35,1,0,"2,09",8,"0,55","4,73",25,4,35,52,0,23
"org.apache.tools.ant.filters.PrefixLines",6,2,9,59,68,294,5,1,0,5,1,128,18,3,6,64,4,0,35,1,0,"2,29",7,"0,43","4,86",18,3,19,34,0,16
"org.apache.tools.ant.filters.ReplaceTokens",9,7,16,68,84,294,5,1,1,5,1,269,0,10,6,150,13,0,35,1,0,"2,31",2,"0,56","5,06",6,7,52,81,0,37
"org.apache.tools.ant.filters.ReplaceTokens.Token",1,2,2,16,18,0,1,1,0,0,2,41,0,2,0,16,4,0,11,0,0,"1,00",1,"0,50","1,00",1,2,4,4,0,4
"org.apache.tools.ant.filters.SortFilter",6,5,13,63,76,0,5,0,0,5,1,325,38,7,6,127,8,0,35,1,0,"2,17",8,"0,45","5,42",25,4,36,65,0,26
"org.apache.tools.ant.filters.StringInputStream",1,0,4,35,39,0,3,0,0,2,0,23,2,0,4,8,0,0,26,0,0,"1,00",1,"1,50","1,00",1,0,5,2,0,2
"org.apache.tools.ant.filters.StripJavaComments",3,0,8,51,59,294,4,1,0,4,2,113,9,3,5,62,1,0,33,1,0,"4,00",13,"0,50","8,50",30,2,7,34,0,16
"org.apache.tools.ant.filters.StripLineBreaks",6,2,9,59,68,294,5,1,0,5,1,120,15,3,6,55,4,0,35,1,0,"2,00",5,"0,43","4,00",11,3,17,28,0,14
"org.apache.tools.ant.filters.StripLineComments",7,3,9,60,69,294,5,1,1,5,1,155,1,3,6,74,5,0,35,1,0,"2,38",4,"0,50","5,12",7,3,26,41,0,19
"org.apache.tools.ant.filters.StripLineComments.Comment",1,2,1,15,16,0,1,1,0,0,1,36,1,1,0,15,3,0,11,0,0,"1,33",2,"0,67","1,67",3,1,4,5,0,4
"org.apache.tools.ant.filters.SuffixLines",6,2,9,59,68,294,5,1,0,5,1,138,23,3,6,73,4,0,35,1,0,"2,57",9,"0,43","5,57",23,3,21,39,0,18
"org.apache.tools.ant.filters.TabsToSpaces",6,2,10,59,69,294,5,1,0,5,1,119,14,4,6,57,4,0,35,1,0,"2,00",5,"0,43","4,14",12,3,17,29,0,14
"org.apache.tools.ant.filters.TailFilter",7,3,16,62,78,294,5,1,0,5,1,197,36,10,6,108,7,0,35,1,0,"2,90",12,"0,50","6,00",22,5,28,60,0,29
"org.apache.tools.ant.filters.TokenFilter",19,13,10,66,76,294,4,5,11,4,2,241,13,5,5,104,16,0,33,1,0,"1,53",1,"0,89","2,53",1,4,36,48,0,29
"org.apache.tools.ant.filters.TokenFilter.ChainableReaderFilter",12,1,4,26,30,294,2,7,0,3,1,30,n/a,1,3,15,2,7,20,0,0,"1,50",2,"1,00","3,00",5,1,5,6,7,3
"org.apache.tools.ant.filters.TokenFilter.ContainsRegex",9,4,12,31,43,294,3,2,0,3,1,64,10,8,4,47,5,0,22,0,0,"2,00",4,"0,80","4,20",12,1,16,21,0,10
"org.apache.tools.ant.filters.TokenFilter.ContainsString",4,1,4,25,29,294,2,1,0,2,1,30,1,1,3,16,2,0,20,0,0,"2,00",3,"1,00","3,00",5,1,4,6,0,4
"org.apache.tools.ant.filters.TokenFilter.DeleteCharacters",5,1,4,28,32,294,2,2,0,3,1,71,11,1,3,41,4,0,20,0,0,"2,40",4,"1,00","4,40",8,3,11,22,0,12
"org.apache.tools.ant.filters.TokenFilter.FileTokenizer",3,0,3,26,29,294,3,2,0,2,0,6,0,0,3,3,0,0,22,0,0,n/a,n/a,"0,00",n/a,n/a,0,0,0,0,0
"org.apache.tools.ant.filters.TokenFilter.Filter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.filters.TokenFilter.IgnoreBlank",3,0,4,27,31,294,3,2,0,3,1,13,2,0,4,8,1,0,22,0,0,"2,00",2,"1,00","3,00",3,1,3,3,0,2
"org.apache.tools.ant.filters.TokenFilter.ReplaceRegex",9,4,12,31,43,294,3,2,0,3,1,62,10,8,4,44,5,0,22,0,0,"1,80",4,"0,80","3,80",12,1,16,19,0,9
"org.apache.tools.ant.filters.TokenFilter.ReplaceString",4,2,6,29,35,294,3,2,0,3,1,55,11,2,4,32,3,0,22,0,0,"2,67",6,"1,00","5,67",15,1,11,17,0,8
"org.apache.tools.ant.filters.TokenFilter.StringTokenizer",2,0,9,31,40,294,3,1,0,2,0,11,0,0,9,3,0,0,26,0,0,n/a,n/a,"0,00",n/a,n/a,0,0,0,0,0
"org.apache.tools.ant.filters.TokenFilter.Trim",3,0,4,27,31,294,3,2,0,3,1,10,1,0,4,5,1,0,22,0,0,"1,00",1,"1,00","1,00",1,1,2,1,0,1
"org.apache.tools.ant.filters.UniqFilter",1,0,5,27,32,0,3,0,0,3,1,16,1,1,4,7,1,0,22,0,0,"2,00",2,"1,00","1,00",1,1,2,1,0,2
"org.apache.tools.ant.filters.util.ChainReaderHelper",20,6,5,22,27,294,1,7,0,0,2,227,43,5,0,158,10,0,11,0,0,"2,67",9,"1,00","7,67",37,4,41,92,0,32
"org.apache.tools.ant.filters.util.JavaClassHelper",1,0,1,13,14,0,1,0,0,0,1,41,14,1,0,28,1,0,11,0,0,"5,00",5,"1,00","20,00",20,1,10,20,0,5
"org.apache.tools.ant.helper.AntXMLContext",13,14,14,43,57,294,1,7,0,0,9,332,36,14,0,152,30,0,11,0,0,"1,29",2,"0,55","2,00",8,16,60,62,0,40
"org.apache.tools.ant.helper.DefaultExecutor",5,1,1,16,17,294,1,1,0,1,2,32,2,1,0,24,2,0,11,0,0,"2,50",4,"1,00","6,00",11,1,4,12,0,5
