Class,CBO,Command,CSA,CSO,CSOA,Cyclic,DIT,Dpt,Inner,Inner,LCOM,LOC,MPC,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,Query,RFC,STAT,SUB,WMC
"org.apache.tools.ant.AntClassLoader",56,27,30,131,161,294,2,42,1,3,9,1.384,267,18,12,721,50,3,34,6,0,"2,71",12,"1,27","6,21",38,29,173,385,3,168
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration",2,1,3,18,21,294,1,1,0,1,1,79,5,3,0,33,3,0,11,0,0,"1,50",2,"0,25","4,00",7,2,8,16,0,6
"org.apache.tools.ant.AntTypeDefinition",16,8,7,34,41,294,1,12,0,0,1,341,56,7,0,199,22,2,11,0,0,"1,91",6,"0,95","3,77",14,14,41,83,2,42
"org.apache.tools.ant.ArgumentProcessor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a
"org.apache.tools.ant.ArgumentProcessorRegistry",4,4,5,22,27,294,1,1,0,0,2,123,38,5,0,107,9,0,11,0,0,"1,70",5,"0,60","4,80",17,5,36,48,0,17
"org.apache.tools.ant.BuildEvent",38,2,8,26,34,294,2,35,0,1,5,169,6,7,1,52,8,0,13,0,0,"1,00",1,"0,55","1,91",4,6,15,21,0,11
"org.apache.tools.ant.BuildException",663,1,7,59,66,294,4,662,0,1,2,120,10,2,5,40,3,4,24,1,0,"1,00",1,"1,09","1,27",2,3,18,14,4,11
"org.apache.tools.ant.BuildListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a,n/a,n/a
"org.apache.tools.ant.BuildLogger",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a
"org.apache.tools.ant.ComponentHelper",29,18,17,58,75,294,1,15,0,0,3,988,278,17,0,601,45,0,11,0,0,"2,43",10,"1,11","8,07",86,27,165,371,0,112
"org.apache.tools.ant.DefaultDefinitions",3,4,4,17,21,294,1,1,0,0,1,49,24,4,0,38,4,0,11,0,0,"1,00",1,"1,40","4,40",7,0,14,22,0,5
"org.apache.tools.ant.DefaultLogger",26,14,7,43,50,294,1,17,0,3,6,317,75,7,0,167,19,9,11,0,0,"1,85",10,"1,00","4,45",40,5,51,89,11,37
"org.apache.tools.ant.DemuxInputStream",2,0,2,27,29,294,2,1,0,2,1,45,2,2,0,17,1,0,18,1,0,"1,33",2,"1,33","2,00",4,2,4,6,0,4
"org.apache.tools.ant.DemuxOutputStream",4,8,7,31,38,294,2,2,1,3,1,187,29,7,0,97,6,0,12,3,0,"1,90",5,"0,80","5,60",16,1,24,56,0,19
"org.apache.tools.ant.DemuxOutputStream.BufferInfo",1,0,2,12,14,0,1,1,0,0,0,15,0,2,0,4,0,0,11,0,0,n/a,n/a,"0,00",n/a,n/a,0,0,0,0,0
"org.apache.tools.ant.Diagnostics",11,20,8,47,55,294,1,2,0,0,3,608,223,8,0,425,34,0,11,0,0,"1,92",8,"0,86","7,36",50,14,107,265,0,69
"org.apache.tools.ant.DirectoryScanner",75,28,37,101,138,294,1,59,0,3,7,1.710,277,37,0,857,70,4,11,0,0,"2,72",24,"1,14","6,32",54,42,163,449,6,193
"org.apache.tools.ant.DynamicAttribute",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.DynamicAttributeNS",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.DynamicConfigurator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a
"org.apache.tools.ant.DynamicConfiguratorNS",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a
"org.apache.tools.ant.DynamicElement",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
"org.apache.tools.ant.DynamicElementNS",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
