Package,C(rec),LOC(rec),METH(rec)
"",713,63.640,4.731
"common",54,2.455,201
"controller",151,8.508,687
"controller.color",4,302,8
"controller.filter",50,3.514,267
"controller.filter.condition",19,1.520,97
"controller.filter.util",7,509,57
"controller.printpreview",5,304,22
"extensions",27,2.011,154
"main",58,9.892,601
"modes",321,29.808,2.363
"modes.attributes",2,130,16
"modes.browsemode",17,1.343,103
"modes.common",30,2.217,145
"modes.common.actions",6,444,22
"modes.common.dialogs",10,698,56
"modes.common.listeners",6,400,23
"modes.common.plugins",4,378,31
"modes.filemode",9,665,57
"modes.mindmapmode",196,16.107,1.030
"modes.mindmapmode.actions",136,9.467,642
"modes.mindmapmode.actions.xml",65,5.472,393
"modes.mindmapmode.actions.xml.actors",54,4.838,348
"modes.mindmapmode.dialogs",8,668,26
"modes.mindmapmode.hooks",5,481,26
"modes.mindmapmode.listeners",3,569,29
"modes.viewmodes",3,211,13
"preferences",21,2.371,80
"preferences.layout",19,2.307,78
"swing",1,464,35
"view",80,8.131,610
"view.mindmapview",77,7.893,587

