Package,C(rec),LOC(rec),METH(rec)
"",603,195.346,8.451
"org",603,195.346,8.451
"org.hsqldb",603,195.346,8.451
"org.hsqldb.cmdline",20,8.538,167
"org.hsqldb.cmdline.sqltool",4,1.481,56
"org.hsqldb.dbinfo",7,10.818,228
"org.hsqldb.index",7,2.099,125
"org.hsqldb.jdbc",46,37.605,1.269
"org.hsqldb.jdbc.pool",15,3.565,249
"org.hsqldb.lib",103,14.888,1.041
"org.hsqldb.lib.java",1,171,12
"org.hsqldb.lib.tar",13,3.017,98
"org.hsqldb.lib.tar.rb",n/a,47,n/a
"org.hsqldb.navigator",6,1.047,104
"org.hsqldb.persist",39,9.028,490
"org.hsqldb.resources",1,2.185,7
"org.hsqldb.result",5,2.388,132
"org.hsqldb.rights",6,2.771,156
"org.hsqldb.rowio",14,2.591,291
"org.hsqldb.sample",6,1.053,31
"org.hsqldb.scriptio",8,1.319,97
"org.hsqldb.server",17,4.989,163
"org.hsqldb.store",11,2.412,127
"org.hsqldb.test",86,15.218,507
"org.hsqldb.types",30,9.057,693
"org.hsqldb.util",87,16.314,645
"org.hsqldb.util.preprocessor",14,2.294,126

