Class,OCavg,WMC
"org.apache.karaf.deployer.features.FeatureURLHandler","1,50",3
"org.apache.karaf.deployer.features.FeatureURLHandler.Connection","1,00",3
"org.apache.karaf.deployer.features.osgi.Activator","2,00",4
"org.apache.karaf.deployer.kar.KarArtifactInstaller","1,71",12
"org.apache.karaf.deployer.kar.KarArtifactInstallerTest","1,00",5
"org.apache.karaf.deployer.kar.osgi.Activator","2,00",2
"org.apache.karaf.deployer.spring.SpringDeploymentListener","3,33",10
"org.apache.karaf.deployer.spring.SpringDeploymentListenerTest","1,00",2
"org.apache.karaf.deployer.spring.SpringTransformer","4,20",21
"org.apache.karaf.deployer.spring.SpringURLHandler","2,00",2
"org.apache.karaf.deployer.spring.SpringURLHandler.Connection","1,00",3
"org.apache.karaf.deployer.spring.osgi.Activator","1,00",1
"org.apache.karaf.deployer.wrap.WrapDeploymentListener","2,00",4
"org.apache.karaf.deployer.wrap.osgi.Activator","1,00",1
"org.apache.karaf.diagnostic.command.DumpCommand","4,00",4
"org.apache.karaf.diagnostic.common.FeaturesDumpProvider","3,00",6
"org.apache.karaf.diagnostic.common.LogDumpProvider","3,00",6
"org.apache.karaf.diagnostic.common.TextDumpProvider","1,00",2
"org.apache.karaf.diagnostic.core.Dump","1,50",6
"org.apache.karaf.diagnostic.core.common.ClosingEntryOutputStreamWrapper","1,00",5
"org.apache.karaf.diagnostic.core.common.DirectoryDumpDestination","1,50",6
"org.apache.karaf.diagnostic.core.common.TextDumpProvider","1,00",2
"org.apache.karaf.diagnostic.core.common.ZipDumpDestination","1,00",5
"org.apache.karaf.diagnostic.core.internal.Activator","1,67",5
"org.apache.karaf.diagnostic.core.internal.DumpHandler","1,00",3
"org.apache.karaf.diagnostic.core.providers.BundleDumpProvider","1,50",3
"org.apache.karaf.diagnostic.core.providers.EnvironmentDumpProvider","3,31",43
"org.apache.karaf.diagnostic.core.providers.HeapDumpProvider","5,00",5
"org.apache.karaf.diagnostic.core.providers.MemoryDumpProvider","1,00",2
"org.apache.karaf.diagnostic.core.providers.ThreadDumpProvider","6,33",19
"org.apache.karaf.diagnostic.demo.ScreenshotDumpProvider","2,00",2
"org.apache.karaf.diagnostic.internal.Activator","1,43",10
"org.apache.karaf.diagnostic.management.internal.DiagnosticDumpMBeanImpl","1,75",7
"org.apache.karaf.features.AppendTest","1,00",1
"org.apache.karaf.features.ConditionalTest","1,00",1
"org.apache.karaf.features.EventConstants","1,00",1
"org.apache.karaf.features.FeatureEvent","1,00",5
"org.apache.karaf.features.FeatureEvent.EventType",n/a,0
"org.apache.karaf.features.FeatureState",n/a,0
"org.apache.karaf.features.FeatureTest","1,00",1
"org.apache.karaf.features.FeaturesService.Option",n/a,0
"org.apache.karaf.features.FeaturesServiceTest","1,17",7
"org.apache.karaf.features.FeaturesServiceTest.Storage","1,00",2
"org.apache.karaf.features.RepositoryEvent","1,00",4
"org.apache.karaf.features.RepositoryEvent.EventType",n/a,0
"org.apache.karaf.features.RepositoryTest","1,00",5
"org.apache.karaf.features.Slf4jResolverLog","3,00",6
"org.apache.karaf.features.TestBase","1,30",13
"org.apache.karaf.features.command.FeatureExport","4,00",16
"org.apache.karaf.features.command.FeaturesCommandSupport","2,00",8
"org.apache.karaf.features.command.InfoFeatureCommand","6,00",54
"org.apache.karaf.features.command.InstallFeatureCommand","1,00",1
"org.apache.karaf.features.command.ListFeatureVersionsCommand","4,00",4
"org.apache.karaf.features.command.ListFeaturesCommand","6,50",13
"org.apache.karaf.features.command.ListFeaturesCommand.FeatureComparator","1,00",1
"org.apache.karaf.features.command.ListFeaturesCommandTest","1,00",2
"org.apache.karaf.features.command.RegionInfoCommand","6,67",20
"org.apache.karaf.features.command.RepoAddCommand","2,00",2
"org.apache.karaf.features.command.RepoListCommand","3,00",6
"org.apache.karaf.features.command.RepoRefreshCommand","8,00",8
"org.apache.karaf.features.command.RepoRemoveCommand","7,00",7
"org.apache.karaf.features.command.RequirementAdd","1,00",1
"org.apache.karaf.features.command.RequirementList","3,00",3
"org.apache.karaf.features.command.RequirementRemove","1,00",1
"org.apache.karaf.features.command.StartFeaturesCommand","2,00",2
"org.apache.karaf.features.command.StopFeaturesCommand","2,00",2
"org.apache.karaf.features.command.UninstallFeatureCommand","1,00",1
"org.apache.karaf.features.command.completers.AllFeatureCompleter","1,00",1
"org.apache.karaf.features.command.completers.AvailableFeatureCompleter","1,00",1
"org.apache.karaf.features.command.completers.AvailableRepoNameCompleter","1,00",2
"org.apache.karaf.features.command.completers.FeatureCompleterSupport","1,67",5
"org.apache.karaf.features.command.completers.InstalledRepoNameCompleter","1,50",3
"org.apache.karaf.features.command.completers.InstalledRepoUriCompleter","1,50",3
"org.apache.karaf.features.command.completers.RequiredFeatureCompleter","1,00",1
"org.apache.karaf.features.command.completers.ResolvedFeatureCompleter","1,00",2
"org.apache.karaf.features.command.completers.StartedFeatureCompleter","1,00",2
"org.apache.karaf.features.internal.download.DownloadManagers","1,00",3
"org.apache.karaf.features.internal.download.impl.AbstractDownloadTask","1,67",10
"org.apache.karaf.features.internal.download.impl.AbstractRetryableDownloadTask","1,17",7
"org.apache.karaf.features.internal.download.impl.DefaultFuture","2,32",44
"org.apache.karaf.features.internal.download.impl.DownloadManagerHelper","2,50",10
"org.apache.karaf.features.internal.download.impl.MavenDownloadManager","1,00",5
