Package,v(G)avg,v(G)tot
"org.hsqldb","4,25",9.079
"org.hsqldb.cmdline","10,51",1.167
"org.hsqldb.cmdline.sqltool","4,07",224
"org.hsqldb.dbinfo","4,03",919
"org.hsqldb.index","2,85",308
"org.hsqldb.jdbc","1,82",1.843
"org.hsqldb.jdbc.pool","1,74",424
"org.hsqldb.lib","2,09",1.799
"org.hsqldb.lib.java","1,58",19
"org.hsqldb.lib.tar","3,32",325
"org.hsqldb.navigator","2,05",174
"org.hsqldb.persist","2,52",1.149
"org.hsqldb.resources","2,86",20
"org.hsqldb.result","2,19",289
"org.hsqldb.rights","3,65",569
"org.hsqldb.rowio","1,91",420
"org.hsqldb.sample","2,52",78
"org.hsqldb.scriptio","2,08",173
"org.hsqldb.server","3,20",515
"org.hsqldb.store","3,89",494
"org.hsqldb.test","3,17",1.587
"org.hsqldb.types","3,40",2.151
"org.hsqldb.util","4,14",2.049
"org.hsqldb.util.preprocessor","2,85",353

