Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.hadoop.hive.ql.exec.vector.expressions.StringUnaryUDF.IUDFUnaryString",0,0,0,3,1.649
"org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpressionWriter",467,4,1.734,17,1.647
"org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpressionWriterFactory.ListOIDClosure",0,1,2,1,1.648
"org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpressionWriterFactory.SingleOIDClosure",0,1,2,1,1.648
"org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorAggregateExpression.AggregationBuffer",0,0,0,7,1.651
"org.apache.hadoop.hive.ql.exec.vector.util.FakeCaptureOutputOperator.OutputInspector",0,1,1.735,2,2
"org.apache.hadoop.hive.ql.exec.vector.util.FakeVectorRowBatchFromObjectIterables.ColumnVectorAssign",0,1,1,1,3
"org.apache.hadoop.hive.ql.history.HiveHistory",467,3,1.734,8,1.647
"org.apache.hadoop.hive.ql.history.HiveHistory.Listener",0,1,1,2,4
"org.apache.hadoop.hive.ql.hooks.ExecuteWithHookContext",0,0,0,6,1.648
"org.apache.hadoop.hive.ql.hooks.Hook",0,0,0,4,1.650
"org.apache.hadoop.hive.ql.hooks.PostExecute",467,1,1.734,1,1.647
"org.apache.hadoop.hive.ql.hooks.PreExecute",467,1,1.734,1,1.647
"org.apache.hadoop.hive.ql.index.HiveIndexHandler",467,9,1.734,5,1.647
"org.apache.hadoop.hive.ql.index.IndexPredicateAnalyzer.FieldValidator",467,1,1.734,2,1.647
"org.apache.hadoop.hive.ql.index.bitmap.BitmapQuery",0,0,0,2,2
"org.apache.hadoop.hive.ql.io.AcidInputFormat",0,4,7,3,1.657
"org.apache.hadoop.hive.ql.io.AcidInputFormat.AcidRecordReader",0,0,0,1,1.649
"org.apache.hadoop.hive.ql.io.AcidInputFormat.RawReader",0,1,2,6,1.662
"org.apache.hadoop.hive.ql.io.AcidInputFormat.RowReader",0,1,2,5,1.659
"org.apache.hadoop.hive.ql.io.AcidOutputFormat",0,2,4,4,21
"org.apache.hadoop.hive.ql.io.AcidUtils.Directory",0,1,1,7,1.670
"org.apache.hadoop.hive.ql.io.ContentSummaryInputFormat",0,0,0,2,1.648
"org.apache.hadoop.hive.ql.io.FlatFileInputFormat.SerializationContext",0,0,0,2,3
"org.apache.hadoop.hive.ql.io.HiveOutputFormat",0,1,1,21,1.653
"org.apache.hadoop.hive.ql.io.HivePartitioner",0,0,0,2,1.648
"org.apache.hadoop.hive.ql.io.InputFormatChecker",0,1,15,3,1.648
"org.apache.hadoop.hive.ql.io.RecordUpdater",0,1,1,7,1.659
"org.apache.hadoop.hive.ql.io.ReworkMapredInputFormat",467,2,1.734,1,1.647
"org.apache.hadoop.hive.ql.io.StatsProvidingRecordReader",0,1,1,3,1.648
"org.apache.hadoop.hive.ql.io.StatsProvidingRecordWriter",0,2,2,3,1.650
"org.apache.hadoop.hive.ql.io.StorageFormatDescriptor",0,0,0,2,6
"org.apache.hadoop.hive.ql.io.orc.BinaryColumnStatistics",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.BooleanColumnStatistics",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.ColumnStatistics",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.CompressionCodec",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.DateColumnStatistics",0,1,51,0,0
"org.apache.hadoop.hive.ql.io.orc.DecimalColumnStatistics",0,1,1,0,0
"org.apache.hadoop.hive.ql.io.orc.DirectDecompressionCodec",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.DoubleColumnStatistics",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.IntegerColumnStatistics",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.IntegerReader",0,1,1,0,0
"org.apache.hadoop.hive.ql.io.orc.IntegerWriter",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.MemoryManager.Callback",0,0,0,2,2
"org.apache.hadoop.hive.ql.io.orc.OrcFile.WriterCallback",0,1,1,1,5
"org.apache.hadoop.hive.ql.io.orc.OrcFile.WriterContext",0,0,0,1,6
"org.apache.hadoop.hive.ql.io.orc.OrcProto.BinaryStatisticsOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.BucketStatisticsOrBuilder",0,0,0,1,2
"org.apache.hadoop.hive.ql.io.orc.OrcProto.ColumnEncodingOrBuilder",0,0,0,1,2
