Class,OCavg,WMC
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.AudioScrobblerPanel","1,00",5
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.DevicePanel","1,00",3
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.EditPreferencesDialog","1,11",10
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.GeneralPanel","1,00",9
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.InternetPanel","2,11",19
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.LastFmPanel","1,50",6
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.NavigatorPanel","1,00",6
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.OSDPanel","1,00",4
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.PlayerPanel","1,00",3
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.PodcastFeedPanel","1,00",3
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.PreferencesPanel","1,00",1
"net.sourceforge.atunes.gui.views.dialogs.editPreferences.RepositoryPanel","1,00",3
"net.sourceforge.atunes.gui.views.dialogs.fullScreen.FullScreenDialog","1,59",70
"net.sourceforge.atunes.gui.views.dialogs.properties.AudioFilePropertiesDialog","1,40",7
"net.sourceforge.atunes.gui.views.dialogs.properties.PodcastFeedEntryPropertiesDialog","1,40",7
"net.sourceforge.atunes.gui.views.dialogs.properties.PropertiesDialog","1,67",5
"net.sourceforge.atunes.gui.views.dialogs.properties.RadioPropertiesDialog","1,00",5
"net.sourceforge.atunes.gui.views.menu.ApplicationMenuBar","1,00",73
"net.sourceforge.atunes.gui.views.panels.AudioScrobblerPanel","1,03",33
"net.sourceforge.atunes.gui.views.panels.EqualizerPanel","1,00",4
"net.sourceforge.atunes.gui.views.panels.FilePropertiesPanel","1,08",13
"net.sourceforge.atunes.gui.views.panels.NavigationPanel","1,08",70
"net.sourceforge.atunes.gui.views.panels.PlayListControlsPanel","1,00",21
"net.sourceforge.atunes.gui.views.panels.PlayListFilterPanel","1,00",5
"net.sourceforge.atunes.gui.views.panels.PlayListPanel","1,00",6
"net.sourceforge.atunes.gui.views.panels.PlayerControlsPanel","1,18",45
"net.sourceforge.atunes.kernel.ControllerProxy","1,88",30
"net.sourceforge.atunes.kernel.Kernel","1,50",15
"net.sourceforge.atunes.kernel.controllers.DragAndDropListener","3,67",22
"net.sourceforge.atunes.kernel.controllers.audioScrobbler.AudioScrobblerController","1,91",42
"net.sourceforge.atunes.kernel.controllers.audioScrobbler.AudioScrobblerListener","1,50",3
"net.sourceforge.atunes.kernel.controllers.coverNavigator.CoverNavigatorController","1,82",20
"net.sourceforge.atunes.kernel.controllers.editPreferencesDialog.EditPreferencesDialogController","1,22",28
"net.sourceforge.atunes.kernel.controllers.editTagDialog.EditTagDialogActionListener","2,00",4
"net.sourceforge.atunes.kernel.controllers.editTagDialog.EditTagDialogController","4,33",26
"net.sourceforge.atunes.kernel.controllers.editTitlesDialog.EditTitlesDialogActionListener","3,00",6
"net.sourceforge.atunes.kernel.controllers.editTitlesDialog.EditTitlesDialogController","1,00",8
"net.sourceforge.atunes.kernel.controllers.editTitlesDialog.EditTitlesTableModel","1,50",15
"net.sourceforge.atunes.kernel.controllers.exportOptionsDialog.ExportOptionsDialogActionListener","6,00",12
"net.sourceforge.atunes.kernel.controllers.exportOptionsDialog.ExportOptionsDialogController","1,77",23
"net.sourceforge.atunes.kernel.controllers.fileProperties.FilePropertiesController","1,53",23
"net.sourceforge.atunes.kernel.controllers.menu.AppMenuListener","36,00",72
"net.sourceforge.atunes.kernel.controllers.menu.MenuController","1,00",16
"net.sourceforge.atunes.kernel.controllers.model.Controller","1,00",1
"net.sourceforge.atunes.kernel.controllers.model.DialogController","1,00",1
"net.sourceforge.atunes.kernel.controllers.model.FrameController","1,00",1
"net.sourceforge.atunes.kernel.controllers.model.PanelController","1,00",1
"net.sourceforge.atunes.kernel.controllers.model.ToolBarController","1,00",1
"net.sourceforge.atunes.kernel.controllers.navigation.DeviceViewRefresher","11,00",11
"net.sourceforge.atunes.kernel.controllers.navigation.FavoriteViewRefresher","1,67",5
"net.sourceforge.atunes.kernel.controllers.navigation.FileViewRefresher","1,00",1
"net.sourceforge.atunes.kernel.controllers.navigation.NavigationController","1,32",41
"net.sourceforge.atunes.kernel.controllers.navigation.NavigationControllerState","1,00",10
"net.sourceforge.atunes.kernel.controllers.navigation.NavigationControllerState.ViewMode",n/a,0
"net.sourceforge.atunes.kernel.controllers.navigation.NavigationControllerViews",n/a,0
"net.sourceforge.atunes.kernel.controllers.navigation.NodeToSongsTranslator","4,00",28
"net.sourceforge.atunes.kernel.controllers.navigation.PodcastFeedViewRefresher","2,50",5
"net.sourceforge.atunes.kernel.controllers.navigation.RadioViewRefresher","2,50",5
"net.sourceforge.atunes.kernel.controllers.navigation.RefreshUtils","4,00",4
"net.sourceforge.atunes.kernel.controllers.navigation.TagViewRefresher","7,00",14
"net.sourceforge.atunes.kernel.controllers.navigation.listeners.NavigationMenusActionListener","16,40",82
"net.sourceforge.atunes.kernel.controllers.navigation.listeners.NavigationTabbedPaneChangeListener","6,00",12
"net.sourceforge.atunes.kernel.controllers.navigation.listeners.NavigationTableControlsActionListener","5,00",10
"net.sourceforge.atunes.kernel.controllers.navigation.listeners.NavigationTableMouseListener","7,50",15
"net.sourceforge.atunes.kernel.controllers.navigation.listeners.NavigationTreeControlsActionListener","7,00",14
"net.sourceforge.atunes.kernel.controllers.navigation.listeners.NavigationTreeMouseListener","12,00",48
"net.sourceforge.atunes.kernel.controllers.navigation.listeners.NavigationTreeSelectionListener","4,00",12
"net.sourceforge.atunes.kernel.controllers.navigation.listeners.NavigationTreeToolTipListener","3,25",13
"net.sourceforge.atunes.kernel.controllers.playList.PlayListController","1,47",50
"net.sourceforge.atunes.kernel.controllers.playList.PlayListListener","11,25",45
"net.sourceforge.atunes.kernel.controllers.playListControls.PlayListControlsController","1,00",6
"net.sourceforge.atunes.kernel.controllers.playListControls.PlayListControlsListener","9,50",19
"net.sourceforge.atunes.kernel.controllers.playListFilter.PlayListFilterController","1,25",10
"net.sourceforge.atunes.kernel.controllers.playerControls.PlayerControlsController","1,45",16
"net.sourceforge.atunes.kernel.controllers.playerControls.PlayerControlsListener","4,60",23
"net.sourceforge.atunes.kernel.controllers.stats.StatsDialogController","1,67",30
"net.sourceforge.atunes.kernel.controllers.toolbar.ToolBarController","1,00",7
"net.sourceforge.atunes.kernel.controllers.toolbar.ToolBarListener","5,00",10
"net.sourceforge.atunes.kernel.executors.BackgroundExecutor","1,23",27
"net.sourceforge.atunes.kernel.executors.ImportProcess","1,50",15
"net.sourceforge.atunes.kernel.executors.processes.ChangeTagsProcess","4,00",12
"net.sourceforge.atunes.kernel.executors.processes.ChangeTitlesProcess","1,75",7
"net.sourceforge.atunes.kernel.executors.processes.ClearTagsProcess","1,33",4
"net.sourceforge.atunes.kernel.executors.processes.ExportFilesProcess","1,60",16
"net.sourceforge.atunes.kernel.executors.processes.GetCoversFromAmazonProcess","2,00",6
"net.sourceforge.atunes.kernel.executors.processes.SetAlbumNamesProcess","2,00",6
"net.sourceforge.atunes.kernel.executors.processes.SetGenresProcess","2,00",6
"net.sourceforge.atunes.kernel.executors.processes.SetTrackNumberProcess","1,33",4
"net.sourceforge.atunes.kernel.handlers.ApplicationDataHandler","1,80",27
"net.sourceforge.atunes.kernel.handlers.AudioScrobblerServiceHandler","2,15",73
"net.sourceforge.atunes.kernel.handlers.DesktopHandler","1,83",11
"net.sourceforge.atunes.kernel.handlers.DeviceHandler","1,65",43
"net.sourceforge.atunes.kernel.handlers.FavoritesHandler","1,38",18
"net.sourceforge.atunes.kernel.handlers.MultipleInstancesHandler","1,60",8
"net.sourceforge.atunes.kernel.handlers.MultipleInstancesHandler.SocketListener","3,00",6
"net.sourceforge.atunes.kernel.handlers.MultipleInstancesHandler.SongsQueue","1,50",6
"net.sourceforge.atunes.kernel.handlers.PlayListHandler","1,96",47
"net.sourceforge.atunes.kernel.handlers.PlayerHandler","1,00",18
"net.sourceforge.atunes.kernel.handlers.PodcastFeedHandler","1,62",13
"net.sourceforge.atunes.kernel.handlers.RadioHandler","1,12",9
"net.sourceforge.atunes.kernel.handlers.RepositoryHandler","2,50",160
"net.sourceforge.atunes.kernel.handlers.RepositoryHandler.SortType",n/a,0
"net.sourceforge.atunes.kernel.handlers.RipperHandler","1,62",52
"net.sourceforge.atunes.kernel.handlers.SystemTrayHandler","1,63",49
"net.sourceforge.atunes.kernel.handlers.VisualHandler","1,54",146
"net.sourceforge.atunes.kernel.modules.amazon.AmazonAlbum","2,17",13
"net.sourceforge.atunes.kernel.modules.amazon.AmazonDisc","1,00",2
"net.sourceforge.atunes.kernel.modules.amazon.AmazonService","2,20",11
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerAlbum","1,20",18
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerAlbumCoverRunnable","1,33",4
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerAlbumsRunnable","3,00",33
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerArtist","1,00",7
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerCoversRunnable","1,80",9
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerRunnable","2,50",10
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerService","1,33",16
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerSimilarArtists","1,50",6
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerSimilarArtistsRunnable","2,00",12
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerTrack","1,00",3
"net.sourceforge.atunes.kernel.modules.audioscrobbler.AudioScrobblerWikiParser","1,33",4
"net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter.Submitter","2,30",23
"net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter.SubmitterException","1,00",1
"net.sourceforge.atunes.kernel.modules.castor.CastorMappings","2,00",2
"net.sourceforge.atunes.kernel.modules.cdripper.CdRipper","2,26",43
"net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav.Cdda2wav","7,45",82
"net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav.model.CDInfo","1,00",15
"net.sourceforge.atunes.kernel.modules.cdripper.encoders.FlacEncoder","2,00",24
"net.sourceforge.atunes.kernel.modules.cdripper.encoders.LameEncoder","2,17",26
"net.sourceforge.atunes.kernel.modules.cdripper.encoders.OggEncoder","2,08",25
"net.sourceforge.atunes.kernel.modules.device.DeviceConnectionMonitor","2,40",12
"net.sourceforge.atunes.kernel.modules.device.DeviceDisconnectionMonitor","2,20",11
"net.sourceforge.atunes.kernel.modules.favorites.Favorites","1,25",10
"net.sourceforge.atunes.kernel.modules.lyrics.LyrcEngine","5,67",17
"net.sourceforge.atunes.kernel.modules.lyrics.LyricWikiEngine","1,00",3
"net.sourceforge.atunes.kernel.modules.lyrics.LyricsEngine","1,00",3
"net.sourceforge.atunes.kernel.modules.lyrics.LyricsService","3,50",7
"net.sourceforge.atunes.kernel.modules.mplayer.MPlayerErrorReader","1,75",7
"net.sourceforge.atunes.kernel.modules.mplayer.MPlayerHandler","2,69",70
"net.sourceforge.atunes.kernel.modules.mplayer.MPlayerOutputReader","2,25",18
"net.sourceforge.atunes.kernel.modules.mplayer.MPlayerPositionThread","1,50",3
"net.sourceforge.atunes.kernel.modules.playlist.PlayListCommonOps","1,00",6
"net.sourceforge.atunes.kernel.modules.playlist.PlayListFilterOps","5,33",16
"net.sourceforge.atunes.kernel.modules.playlist.PlayListIO","2,30",23
"net.sourceforge.atunes.kernel.modules.playlist.PlayListRowOps","4,60",23
"net.sourceforge.atunes.kernel.modules.podcast.FeedType",n/a,0
"net.sourceforge.atunes.kernel.modules.podcast.PodcastFeed","1,27",19
"net.sourceforge.atunes.kernel.modules.podcast.PodcastFeedEntry","1,00",20
"net.sourceforge.atunes.kernel.modules.podcast.PodcastFeedEntryRetriever","3,61",65
"net.sourceforge.atunes.kernel.modules.proxy.Proxy","1,00",6
"net.sourceforge.atunes.kernel.modules.proxy.ProxyBean","1,00",12
"net.sourceforge.atunes.kernel.modules.radio.Radio","1,00",11
"net.sourceforge.atunes.kernel.modules.regexp.RegexpUtils","4,00",4
"net.sourceforge.atunes.kernel.modules.repository.Repository","1,00",13
"net.sourceforge.atunes.kernel.modules.repository.RepositoryAutoRefresher","3,50",7
"net.sourceforge.atunes.kernel.modules.repository.RepositoryLoader","4,15",112
"net.sourceforge.atunes.kernel.modules.repository.RepositoryStats","1,07",15
"net.sourceforge.atunes.kernel.modules.repository.RepositoryStructure","1,00",4
"net.sourceforge.atunes.kernel.modules.repository.SongStats","1,00",7
"net.sourceforge.atunes.kernel.modules.repository.audio.AudioFile","1,51",65
"net.sourceforge.atunes.kernel.modules.repository.tags.reader.ID3v1TagReader","1,50",3
"net.sourceforge.atunes.kernel.modules.repository.tags.reader.ID3v1_1TagReader","2,00",4
"net.sourceforge.atunes.kernel.modules.repository.tags.reader.ID3v2TagReader","5,50",22
"net.sourceforge.atunes.kernel.modules.repository.tags.reader.TagDetector","6,00",6
"net.sourceforge.atunes.kernel.modules.repository.tags.reader.TagReader","1,33",8
"net.sourceforge.atunes.kernel.modules.repository.tags.tag.ID3v1Tag","1,00",2
"net.sourceforge.atunes.kernel.modules.repository.tags.tag.ID3v1_1Tag","1,00",4
"net.sourceforge.atunes.kernel.modules.repository.tags.tag.ID3v2Tag","3,00",21
"net.sourceforge.atunes.kernel.modules.repository.tags.tag.NonMp3Tag","1,33",8
"net.sourceforge.atunes.kernel.modules.repository.tags.tag.Tag","1,47",25
"net.sourceforge.atunes.kernel.modules.repository.tags.writer.TagEditionOperations","2,00",12
"net.sourceforge.atunes.kernel.modules.repository.tags.writer.TagModifier","4,57",32
"net.sourceforge.atunes.kernel.modules.search.SearchFactory","1,17",14
"net.sourceforge.atunes.kernel.modules.state.ApplicationState","1,00",112
"net.sourceforge.atunes.kernel.modules.updates.ApplicationUpdates","2,25",18
"net.sourceforge.atunes.kernel.modules.updates.ApplicationVersion","1,00",11
"net.sourceforge.atunes.kernel.utils.AudioFilePictureUtils","3,77",49
"net.sourceforge.atunes.kernel.utils.ClipboardFacade","1,00",3
"net.sourceforge.atunes.kernel.utils.CryptoUtils","1,00",3
"net.sourceforge.atunes.kernel.utils.FileNameUtils","2,00",10
"net.sourceforge.atunes.kernel.utils.LanguageSelector","2,00",2
"net.sourceforge.atunes.kernel.utils.NetworkUtils","2,00",14
"net.sourceforge.atunes.kernel.utils.PictureExporter","3,00",3
"net.sourceforge.atunes.kernel.utils.SystemProperties","3,33",10
"net.sourceforge.atunes.kernel.utils.SystemProperties.OperatingSystem","1,00",1
"net.sourceforge.atunes.kernel.utils.XMLUtils","1,83",11
"net.sourceforge.atunes.model.info.Album","1,08",14
"net.sourceforge.atunes.model.info.Artist","1,18",13
"net.sourceforge.atunes.model.info.Folder","1,12",19
"net.sourceforge.atunes.model.info.Genre","1,20",12
"net.sourceforge.atunes.model.player.PlayList","2,00",34
"net.sourceforge.atunes.utils.DateUtils","1,20",6
"net.sourceforge.atunes.utils.DateUtils.MailDateFormat","2,29",16
"net.sourceforge.atunes.utils.DateUtils.MailDateFormat.MailDateParser","7,25",87
"net.sourceforge.atunes.utils.ImageUtils","2,75",11
"net.sourceforge.atunes.utils.RankList","1,67",15
"net.sourceforge.atunes.utils.StringUtils","4,00",20
"net.sourceforge.atunes.utils.TimeUtils","2,00",6
"net.sourceforge.atunes.utils.Timer","1,00",2
"net.sourceforge.atunes.utils.language.LanguageSelectorDialog","1,00",6
"net.sourceforge.atunes.utils.language.LanguageTool","2,40",24
"net.sourceforge.atunes.utils.log4j.Log4jPropertiesLoader","4,00",4
"net.sourceforge.atunes.utils.log4j.LogCategories",n/a,0
"net.sourceforge.atunes.utils.log4j.Logger","2,50",20
"net.sourceforge.atunes.utils.log4j.LoggerTimer","1,00",1

