Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.cassandra.config.Config.DiskAccessMode",0,0,0,6,1.604
"org.apache.cassandra.config.Config.DiskFailurePolicy",0,0,0,4,1.604
"org.apache.cassandra.config.Config.DiskOptimizationStrategy",0,0,0,3,1.604
"org.apache.cassandra.config.Config.InternodeCompression",0,0,0,2,1.604
"org.apache.cassandra.config.Config.MemtableAllocationType",0,0,0,1,1.604
"org.apache.cassandra.config.Config.RequestSchedulerId",0,0,0,3,1.604
"org.apache.cassandra.config.Config.UserFunctionTimeoutPolicy",0,0,0,3,1.604
"org.apache.cassandra.config.DatabaseDescriptor",527,18,986,200,1.595
"org.apache.cassandra.config.EncryptionOptions",0,0,0,9,1.606
"org.apache.cassandra.config.EncryptionOptions.ClientEncryptionOptions",0,1,1,10,1.604
"org.apache.cassandra.config.EncryptionOptions.ServerEncryptionOptions",0,2,2,5,1.604
"org.apache.cassandra.config.EncryptionOptions.ServerEncryptionOptions.InternodeEncryption",0,0,0,4,1.605
"org.apache.cassandra.config.ParameterizedClass",0,0,0,5,1.598
"org.apache.cassandra.config.ReadRepairDecision",0,0,0,2,1.596
"org.apache.cassandra.config.RequestSchedulerOptions",0,0,0,2,1.598
"org.apache.cassandra.config.Schema",527,15,986,108,1.595
"org.apache.cassandra.config.ViewDefinition",527,2,986,9,1.595
"org.apache.cassandra.config.YamlConfigurationLoader",0,3,3,1,1
"org.apache.cassandra.config.YamlConfigurationLoader.CustomConstructor",0,0,0,1,2
"org.apache.cassandra.config.YamlConfigurationLoader.MissingPropertiesChecker",0,1,1,1,2
"org.apache.cassandra.cql3.AbstractConditions",0,2,27,0,0
"org.apache.cassandra.cql3.AbstractMarker",0,1,24,1,1
"org.apache.cassandra.cql3.AbstractMarker.INRaw",0,4,989,0,0
"org.apache.cassandra.cql3.AbstractMarker.MultiColumnRaw",0,1,1,0,0
"org.apache.cassandra.cql3.AbstractMarker.Raw",0,3,987,1,1
"org.apache.cassandra.cql3.AssignmentTestable.TestResult",1,1,1,3,1.711
"org.apache.cassandra.cql3.Attributes",0,6,30,4,1.597
"org.apache.cassandra.cql3.Attributes.Raw",0,4,31,0,0
"org.apache.cassandra.cql3.BatchQueryOptions",2,4,989,3,4
"org.apache.cassandra.cql3.BatchQueryOptions.WithPerStatementVariables",2,2,989,1,4
"org.apache.cassandra.cql3.BatchQueryOptions.WithoutPerStatementVariables",2,1,989,1,4
"org.apache.cassandra.cql3.CFName",0,0,0,9,1.596
"org.apache.cassandra.cql3.CQL3Type.Collection",0,1,1,2,1.596
"org.apache.cassandra.cql3.CQL3Type.Custom",0,3,3,1,1.710
"org.apache.cassandra.cql3.CQL3Type.Native",0,1,1,24,1.637
"org.apache.cassandra.cql3.CQL3Type.Raw",527,10,986,11,1.595
"org.apache.cassandra.cql3.CQL3Type.Raw.RawCollection",527,5,986,1,1.595
"org.apache.cassandra.cql3.CQL3Type.Raw.RawTuple",527,5,986,1,1.595
"org.apache.cassandra.cql3.CQL3Type.Raw.RawType",527,5,986,1,1.595
"org.apache.cassandra.cql3.CQL3Type.Raw.RawUT",527,5,986,1,1.595
"org.apache.cassandra.cql3.CQL3Type.Tuple",0,1,1,1,1.596
"org.apache.cassandra.cql3.CQL3Type.UserDefined",0,1,1,1,1.596
"org.apache.cassandra.cql3.ColumnCondition",6,10,994,7,7
"org.apache.cassandra.cql3.ColumnCondition.Bound",0,3,11,7,8
"org.apache.cassandra.cql3.ColumnCondition.CollectionBound",6,4,994,2,7
"org.apache.cassandra.cql3.ColumnCondition.CollectionInBound",6,5,994,1,7
"org.apache.cassandra.cql3.ColumnCondition.ElementAccessBound",6,4,994,2,7
"org.apache.cassandra.cql3.ColumnCondition.ElementAccessInBound",6,4,994,1,7
"org.apache.cassandra.cql3.ColumnCondition.Raw",0,3,995,0,0
"org.apache.cassandra.cql3.ColumnCondition.SimpleBound",6,3,994,1,7
"org.apache.cassandra.cql3.ColumnCondition.SimpleInBound",6,3,994,1,7
"org.apache.cassandra.cql3.ColumnConditions",1,5,998,1,1
"org.apache.cassandra.cql3.ColumnConditions.Builder",1,1,998,1,1
"org.apache.cassandra.cql3.ColumnIdentifier",527,10,986,49,1.595
"org.apache.cassandra.cql3.ColumnIdentifier.ColumnIdentifierValue",0,3,987,0,0
"org.apache.cassandra.cql3.ColumnIdentifier.Literal",0,7,987,0,0
"org.apache.cassandra.cql3.ColumnSpecification",0,2,25,13,1.600
"org.apache.cassandra.cql3.Constants",527,3,986,16,1.595
"org.apache.cassandra.cql3.Constants.Adder",0,3,11,0,0
"org.apache.cassandra.cql3.Constants.Deleter",0,2,5,0,0
"org.apache.cassandra.cql3.Constants.Literal",0,9,988,0,0
"org.apache.cassandra.cql3.Constants.Marker",0,5,987,0,0
"org.apache.cassandra.cql3.Constants.NullLiteral",527,3,986,1,1.595
"org.apache.cassandra.cql3.Constants.Setter",0,3,11,0,0
"org.apache.cassandra.cql3.Constants.Substracter",0,3,11,0,0
"org.apache.cassandra.cql3.Constants.Type",0,0,0,1,1
"org.apache.cassandra.cql3.Constants.Value",0,1,6,24,1.636
"org.apache.cassandra.cql3.CustomPayloadMirroringQueryHandler",0,6,987,0,0
"org.apache.cassandra.cql3.ErrorCollector",0,2,2,0,0
"org.apache.cassandra.cql3.IfExistsCondition",0,2,997,0,0
"org.apache.cassandra.cql3.IfNotExistsCondition",0,2,997,0,0
"org.apache.cassandra.cql3.IndexName",0,0,0,3,4
"org.apache.cassandra.cql3.Json",0,3,5,10,1.607
"org.apache.cassandra.cql3.Json.ColumnValue",0,1,1,1,2
"org.apache.cassandra.cql3.Json.DelayedColumnValue",2,4,37,1,3
"org.apache.cassandra.cql3.Json.Literal",0,6,991,0,0
"org.apache.cassandra.cql3.Json.Marker",0,7,992,0,0
"org.apache.cassandra.cql3.Json.Prepared",0,1,4,5,7
"org.apache.cassandra.cql3.Json.PreparedLiteral",0,3,7,1,1
"org.apache.cassandra.cql3.Json.PreparedMarker",2,7,37,3,3
"org.apache.cassandra.cql3.Json.RawDelayedColumnValue",2,4,37,1,3
"org.apache.cassandra.cql3.KeyspaceElementName",0,0,0,0,0
"org.apache.cassandra.cql3.Lists",527,3,986,4,1.595
"org.apache.cassandra.cql3.Lists.Appender",0,5,987,1,1
"org.apache.cassandra.cql3.Lists.DelayedValue",527,6,986,2,1.595
"org.apache.cassandra.cql3.Lists.Discarder",0,4,987,0,0
"org.apache.cassandra.cql3.Lists.DiscarderByIndex",0,4,987,0,0
"org.apache.cassandra.cql3.Lists.Literal",0,4,987,0,0
"org.apache.cassandra.cql3.Lists.Marker",0,5,987,0,0
"org.apache.cassandra.cql3.Lists.PrecisionTime",0,0,0,1,1
"org.apache.cassandra.cql3.Lists.Prepender",0,6,988,0,0
"org.apache.cassandra.cql3.Lists.Setter",0,4,988,0,0
"org.apache.cassandra.cql3.Lists.SetterByIndex",0,5,987,0,0
"org.apache.cassandra.cql3.Lists.Value",527,5,986,5,1.595
"org.apache.cassandra.cql3.Maps",527,1,986,2,1.595
"org.apache.cassandra.cql3.Maps.DelayedValue",527,6,986,2,1.595
"org.apache.cassandra.cql3.Maps.DiscarderByKey",0,3,37,0,0
"org.apache.cassandra.cql3.Maps.Literal",0,5,987,0,0
"org.apache.cassandra.cql3.Maps.Marker",0,5,987,0,0
