Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"freemind.common.OptionalDontShowMeAgainDialog.DontShowPropertyHandler",0,0,0,2,412
"freemind.common.PropertyControl",0,0,0,5,413
"freemind.common.ScriptEditorProperty.ScriptEditorStarter",0,1,1,1,4
"freemind.common.TextTranslator",0,0,0,9,413
"freemind.controller.Controller.LocalLinkConverter",0,0,0,4,412
"freemind.controller.MapModuleManager.MapModuleChangeObserver",228,2,335,4,411
"freemind.controller.MapModuleManager.MapTitleChangeListener",0,2,336,0,0
"freemind.controller.MapModuleManager.MapTitleContributor",0,2,336,0,0
"freemind.controller.MapMouseMotionListener.MapMouseMotionReceiver",0,0,0,3,413
"freemind.controller.MenuItemEnabledListener",0,0,0,5,413
"freemind.controller.MenuItemSelectedListener",0,0,0,9,412
"freemind.controller.NodeMouseMotionListener.NodeMouseMotionObserver",0,0,0,2,413
"freemind.controller.StructuredMenuHolder.MenuAdder",0,0,0,6,413
"freemind.controller.StructuredMenuHolder.MenuAdderCreator",0,1,1,3,412
"freemind.controller.StructuredMenuHolder.MenuEventSupplier",0,0,0,1,412
"freemind.controller.ZoomListener",0,0,0,1,1
"freemind.controller.filter.Filter",228,2,335,3,411
"freemind.controller.filter.condition.Condition",228,3,335,9,411
"freemind.controller.filter.util.SortedListModel",0,0,0,2,412
"freemind.extensions.DontSaveMarker",0,0,0,2,412
"freemind.extensions.HookFactory",228,2,335,8,411
"freemind.extensions.HookInstanciationMethod.DestinationNodesGetter",228,2,335,4,411
"freemind.extensions.HookRegistration",0,0,0,1,412
"freemind.extensions.MindMapHook",228,2,335,1,411
"freemind.extensions.MindMapHook.PluginBaseClassSearcher",0,0,0,2,412
"freemind.extensions.ModeControllerHook",0,0,0,3,412
"freemind.extensions.NodeHook",228,2,335,11,411
"freemind.extensions.PermanentNodeHook",228,3,335,13,411
"freemind.extensions.UndoEventReceiver",0,0,0,1,412
"freemind.main.FeedBack",0,0,0,0,0
"freemind.main.FreeMindMain",228,5,335,64,411
"freemind.main.FreeMindMain.StartupDoneListener",0,0,0,1,412
"freemind.main.HtmlTools.NodeCreator",228,1,335,3,411
"freemind.main.IFreeMindSplash",0,0,0,0,0
"freemind.main.LogFileLogHandler.LogReceiver",0,0,0,1,1
"freemind.main.Tools.NameMnemonicHolder",0,0,0,3,414
"freemind.main.Tools.ReaderCreator",0,0,0,5,414
"freemind.modes.ExtendedMapFeedback",228,6,335,44,411
"freemind.modes.FreeMindFileDialog",0,1,1,10,412
"freemind.modes.FreeMindFileDialog.DirectoryResultListener",0,0,0,2,413
"freemind.modes.IconInformation",0,0,0,6,412
"freemind.modes.MapFeedback",228,2,335,17,411
"freemind.modes.MindMap",228,6,335,47,411
"freemind.modes.MindMap.AskUserBeforeUpdateCallback",0,0,0,1,412
"freemind.modes.MindMap.MapSourceChangedObserver",228,1,335,2,411
"freemind.modes.MindMapArrowLink",228,2,335,8,411
"freemind.modes.MindMapCloud",0,1,1,2,413
"freemind.modes.MindMapEdge",0,1,1,3,3
"freemind.modes.MindMapLine",0,0,0,0,0
"freemind.modes.MindMapLink",0,0,0,7,412
"freemind.modes.MindMapNode",228,5,335,152,411
"freemind.modes.ModeController",228,13,335,36,411
"freemind.modes.ModeController.NodeLifetimeListener",0,0,0,1,412
"freemind.modes.ModeController.NodeSelectionListener",228,1,335,2,411
"freemind.modes.NodeViewEventListener",0,0,0,0,0
"freemind.modes.ViewAbstraction",228,1,335,7,411
"freemind.modes.attributes.AttributeTableModel",0,1,336,0,0
"freemind.modes.common.CommonNodeKeyListener.EditHandler",0,0,0,1,412
"freemind.modes.mindmapmode.MindMapController.MindMapControllerPlugin",0,0,0,5,413
"freemind.modes.mindmapmode.MindMapController.NewNodeCreator",228,2,335,2,411
"freemind.modes.mindmapmode.actions.ApplyPatternAction.ExternalPatternAction",228,2,335,1,411
"freemind.modes.mindmapmode.actions.HookAction",0,0,0,1,412
"freemind.modes.mindmapmode.actions.MindMapActions",228,7,335,9,411
"freemind.modes.mindmapmode.actions.NodeActorXml",0,4,336,1,1
"freemind.modes.mindmapmode.actions.SingleNodeOperation",0,2,336,0,0
"freemind.modes.mindmapmode.actions.xml.ActionFilter",0,0,0,2,415
"freemind.modes.mindmapmode.actions.xml.ActionFilter.FinalActionFilter",0,1,1,1,413
"freemind.modes.mindmapmode.actions.xml.ActionFilter.FirstActionFilter",0,1,1,1,413
"freemind.modes.mindmapmode.actions.xml.ActionHandler",0,0,0,0,0
"freemind.modes.mindmapmode.actions.xml.ActorXml",0,0,0,5,412
"freemind.modes.mindmapmode.actions.xml.actors.PasteActor.DataFlavorHandler",0,1,336,6,10
"freemind.modes.mindmapmode.dialogs.StylePatternFrame.ValueTransformator",0,0,0,4,4
"freemind.preferences.FreemindPropertyContributor",0,2,2,1,412
"freemind.preferences.FreemindPropertyListener",0,0,0,8,412
"freemind.preferences.layout.OptionPanel.OptionPanelFeedback",0,0,0,1,412
"freemind.view.mindmapview.EditNodeBase.EditControl",0,0,0,1,412
"freemind.view.mindmapview.NodeViewLayout",0,0,0,0,0
"freemind.view.mindmapview.NodeViewVisitor",0,0,0,0,0
"freemind.view.mindmapview.ViewFeedback",228,9,335,6,411
"freemind.view.mindmapview.ViewFeedback.MouseWheelEventHandler",0,0,0,3,412

