Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"net.sourceforge.jvlt.metadata.ExampleMetaData.TextAttribute",0,2,4,1,87
"net.sourceforge.jvlt.metadata.ExampleMetaData.TranslationAttribute",0,2,4,1,87
"net.sourceforge.jvlt.metadata.MetaData",0,6,8,28,103
"net.sourceforge.jvlt.metadata.NumberAttribute",0,1,3,2,104
"net.sourceforge.jvlt.metadata.QuizEntryMetaData",0,6,45,2,86
"net.sourceforge.jvlt.metadata.QuizzableSensesAttribute",0,4,29,1,87
"net.sourceforge.jvlt.metadata.SenseMetaData",0,3,25,2,94
"net.sourceforge.jvlt.model.AbstractModel",2,7,30,11,89
"net.sourceforge.jvlt.model.DictModel",0,31,77,21,85
"net.sourceforge.jvlt.model.JVLTModel",0,21,100,41,84
"net.sourceforge.jvlt.model.ModelException",0,0,0,3,90
"net.sourceforge.jvlt.model.QueryModel",0,8,67,6,85
"net.sourceforge.jvlt.multimedia.AudioFile",61,1,377,4,67
"net.sourceforge.jvlt.multimedia.CustomMultimediaFile",61,2,377,5,67
"net.sourceforge.jvlt.multimedia.ImageFile",61,3,377,4,67
"net.sourceforge.jvlt.multimedia.MultimediaFile",61,4,377,9,67
"net.sourceforge.jvlt.multimedia.MultimediaUtils",61,8,377,6,67
"net.sourceforge.jvlt.os.MacOSController",1,3,379,1,1
"net.sourceforge.jvlt.os.MacOSController.MacAdapter",1,2,379,1,1
"net.sourceforge.jvlt.query.BitmaskQueryItem",0,1,2,1,69
"net.sourceforge.jvlt.query.BooleanQueryItem",0,1,2,1,69
"net.sourceforge.jvlt.query.CalendarQueryItem",0,1,2,1,69
"net.sourceforge.jvlt.query.ChoiceObjectArrayQueryItem",0,3,3,2,69
"net.sourceforge.jvlt.query.ChoiceQueryItem",0,2,3,2,69
"net.sourceforge.jvlt.query.ContainerQueryItem",0,1,2,1,68
"net.sourceforge.jvlt.query.EntryClassQueryItem",0,2,4,1,69
"net.sourceforge.jvlt.query.EntryFilter",61,2,377,9,67
"net.sourceforge.jvlt.query.NumberQueryItem",0,1,2,1,69
"net.sourceforge.jvlt.query.ObjectArrayQueryItem",0,2,2,5,70
"net.sourceforge.jvlt.query.ObjectQuery",61,6,377,16,67
"net.sourceforge.jvlt.query.ObjectQueryItem",0,1,1,19,81
"net.sourceforge.jvlt.query.SenseArrayQueryItem",0,2,15,4,69
"net.sourceforge.jvlt.query.SimpleEntryFilter",61,9,377,1,67
"net.sourceforge.jvlt.query.StringPairQueryItem",0,2,3,2,68
"net.sourceforge.jvlt.query.StringQueryItem",0,1,2,6,70
"net.sourceforge.jvlt.quiz.QueryResult",0,1,14,3,68
"net.sourceforge.jvlt.quiz.QuizDict",61,11,377,2,67
"net.sourceforge.jvlt.quiz.QuizInfo",0,1,1,9,70
"net.sourceforge.jvlt.tools.CSVImportTool",0,9,378,0,0
"net.sourceforge.jvlt.tools.JVLTUtils",0,13,378,0,0
"net.sourceforge.jvlt.tools.Line",0,0,0,2,2
"net.sourceforge.jvlt.tools.PropertiesFile",0,1,1,1,1
"net.sourceforge.jvlt.tools.ResourceBundleUtils",0,4,380,0,0
"net.sourceforge.jvlt.ui.AboutDialog",0,6,8,1,68
"net.sourceforge.jvlt.ui.AboutDialog.ActionEventHandler",0,0,0,1,69
"net.sourceforge.jvlt.ui.DictUpdater",0,2,24,1,68
"net.sourceforge.jvlt.ui.JVLTUI",61,70,377,11,67
"net.sourceforge.jvlt.ui.JVLTUI.AppendingErrorStream",0,0,0,1,68
"net.sourceforge.jvlt.ui.JVLTUI.ChangeHandler",61,3,377,1,67
"net.sourceforge.jvlt.ui.JVLTUI.EntryFilterListener",61,4,377,1,67
"net.sourceforge.jvlt.ui.JVLTUI.ExampleFilterListener",61,4,377,1,67
"net.sourceforge.jvlt.ui.OpenErrorDialog",0,3,5,1,68
"net.sourceforge.jvlt.ui.components.AttributeChoiceInputComponent",0,5,16,2,73
"net.sourceforge.jvlt.ui.components.AttributeChoiceListPanel",0,4,28,1,71
"net.sourceforge.jvlt.ui.components.AttributeSelectionPanel",0,2,29,3,75
"net.sourceforge.jvlt.ui.components.ButtonPanel",0,1,1,8,92
"net.sourceforge.jvlt.ui.components.ChoiceInputComponent",0,4,11,7,81
"net.sourceforge.jvlt.ui.components.ChoiceListPanel",0,4,22,6,77
"net.sourceforge.jvlt.ui.components.CustomTabbedPane",0,2,3,5,74
"net.sourceforge.jvlt.ui.components.CustomTextField",1,3,6,16,107
"net.sourceforge.jvlt.ui.components.CustomTextField.DocumentEventHandler",1,1,6,1,107
"net.sourceforge.jvlt.ui.components.DateChooser",0,3,17,1,71
"net.sourceforge.jvlt.ui.components.DateChooserButton",0,4,24,1,70
"net.sourceforge.jvlt.ui.components.FontChooserComboBox",2,6,13,3,70
"net.sourceforge.jvlt.ui.components.FontChooserComboBox.ActionHandler",2,2,13,1,70
"net.sourceforge.jvlt.ui.components.FontChooserComboBox.Model",2,3,13,1,70
"net.sourceforge.jvlt.ui.components.IndentedComboBox",1,3,10,3,75
"net.sourceforge.jvlt.ui.components.IndentedComboBox.IndentedComboBoxModel",0,1,3,2,76
"net.sourceforge.jvlt.ui.components.IndentedComboBox.IndentedComboBoxRenderer",1,2,10,1,75
"net.sourceforge.jvlt.ui.components.LabeledComboBox",1,2,4,21,114
"net.sourceforge.jvlt.ui.components.LabeledComboBox.DocumentEventHandler",1,1,4,1,114
"net.sourceforge.jvlt.ui.components.LabeledSpinner",0,1,3,2,81
"net.sourceforge.jvlt.ui.components.LanguageComboBox",0,3,6,3,80
"net.sourceforge.jvlt.ui.components.ListeningInputComponent",0,1,1,4,90
"net.sourceforge.jvlt.ui.components.ObjectListEditor",1,7,9,3,71
"net.sourceforge.jvlt.ui.components.ObjectListEditor.ActionHandler",1,1,9,1,71
"net.sourceforge.jvlt.ui.components.ObjectListPanel",3,8,14,9,84
"net.sourceforge.jvlt.ui.components.ObjectListPanel.ActionHandler",3,2,14,1,84
"net.sourceforge.jvlt.ui.components.ObjectListPanel.ChangeHandler",3,1,14,1,84
"net.sourceforge.jvlt.ui.components.ObjectListPanel.ListSelectionHandler",3,1,14,1,84
"net.sourceforge.jvlt.ui.components.ObjectMapEditorPanel",2,5,8,6,72
"net.sourceforge.jvlt.ui.components.ObjectMapEditorPanel.ActionHandler",2,1,8,1,72
"net.sourceforge.jvlt.ui.components.ObjectMapEditorPanel.ChangeHandler",2,1,8,1,72
"net.sourceforge.jvlt.ui.components.ObjectSelectionPanel",2,6,10,6,78
"net.sourceforge.jvlt.ui.components.ObjectSelectionPanel.ActionHandler",2,2,10,1,78
"net.sourceforge.jvlt.ui.components.ObjectSelectionPanel.ListSelectionHandler",2,1,10,1,78
"net.sourceforge.jvlt.ui.components.SortedComboBoxModel",0,0,0,2,83
"net.sourceforge.jvlt.ui.components.StringChooserModel",0,1,1,1,72
"net.sourceforge.jvlt.ui.components.StringChooserPanel",3,8,10,4,71
"net.sourceforge.jvlt.ui.components.StringChooserPanel.ActionHandler",3,1,10,1,71
"net.sourceforge.jvlt.ui.components.StringChooserPanel.ListSelectionHandler",3,1,10,1,71
"net.sourceforge.jvlt.ui.components.StringChooserPanel.TableModelHandler",3,1,10,1,71
"net.sourceforge.jvlt.ui.components.StringInputComponent",0,2,9,3,85
"net.sourceforge.jvlt.ui.components.StringListEditor",0,4,21,1,69
"net.sourceforge.jvlt.ui.components.StringListInputComponent",0,2,15,1,70
"net.sourceforge.jvlt.ui.components.TablePrinterPanel",0,2,15,1,69
"net.sourceforge.jvlt.ui.dialogs.AbstractDialog",0,5,7,21,89
"net.sourceforge.jvlt.ui.dialogs.Browser",2,5,7,3,71
"net.sourceforge.jvlt.ui.dialogs.Browser.ActionEventHandler",2,1,7,1,71
"net.sourceforge.jvlt.ui.dialogs.Browser.LinkFollower",2,1,7,1,71
"net.sourceforge.jvlt.ui.dialogs.BrowserDialog",0,2,8,1,68
"net.sourceforge.jvlt.ui.dialogs.CustomDialog",0,11,20,8,75
"net.sourceforge.jvlt.ui.dialogs.CustomDialog.ComponentReplacementHandler",0,2,2,1,76
"net.sourceforge.jvlt.ui.dialogs.CustomDialog.TooManyInstancesException",0,0,0,1,76
"net.sourceforge.jvlt.ui.dialogs.CustomDialogData",0,5,14,13,88
