,commit,instance,antecedants,support,confidence,lift
37,203e6e7969843fbf2dd53b60495460e75d7b60d4,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
38,1cc0295258cb5c924bf5d2681fd491385cc7fe5c,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
39,25af6e2b18d36f758c03b1d340276ea1b6afd851,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
40,c3319669fda0e0dc2e5369cb42d00cc683bd026e,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
41,0a5c7bb61d7e1f77c2482a4f33d408622874a317,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
42,61385fb2f82fd71f01846ca37ac42afb3e999c46,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
43,f71467c17e54f730a7631a7b30d72d57cfc79c42,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
44,4aa54cafaf77642197aa6be77f6196780cf8f72e,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
45,1cc0295258cb5c924bf5d2681fd491385cc7fe5c,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
46,fc207b7b1c3a238b44acc98611434a689c10f7bd,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
47,1f0cc76322aff64605e6276dffb2c686311ed3f4,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
48,f7f9a0ba4f48f80bcd181eb9c5e435368eb8d66f,org.apache.james.mime4j.util.MimeUtil,org.apache.james.mime4j.util.MimeUtil,0.0410958904109589,0.3333333333333333,5.214285714285714
49,127ebac7c9c7607d2a1b00d5d1961af3b5a3b182,org.apache.james.mime4j.util.MimeUtil,org.apache.james.mime4j.util.MimeUtil,0.0410958904109589,0.3333333333333333,5.214285714285714
50,fee6200c22a7252ca907806fb02fbea140974185,org.apache.james.mime4j.util.MimeUtil,org.apache.james.mime4j.util.MimeUtil,0.0410958904109589,0.3333333333333333,5.214285714285714
51,5e5b63bf221f8c343371f2d050290c91e48dfe9d,org.apache.james.mime4j.util.MimeUtil,org.apache.james.mime4j.util.MimeUtil,0.0410958904109589,0.3333333333333333,5.214285714285714
52,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.util.MimeUtil,org.apache.james.mime4j.util.MimeUtil,0.0410958904109589,0.3333333333333333,5.214285714285714
53,d3f16da0148caa8d8b626b92d0c0b52d0d5e80f4,org.apache.james.mime4j.util.MimeUtil,org.apache.james.mime4j.util.MimeUtil,0.0410958904109589,0.3333333333333333,5.214285714285714
54,42c59dd36d7179601ede6eb05b9a7aa4d0a19551,org.apache.james.mime4j.util.MimeUtil,org.apache.james.mime4j.util.MimeUtil,0.0410958904109589,0.3333333333333333,5.214285714285714
55,8fc586ba646f6f630c7560433ee87a88736755f1,org.apache.james.mime4j.util.MimeUtil,org.apache.james.mime4j.util.MimeUtil,0.0410958904109589,0.3333333333333333,5.214285714285714
56,4a9e578d7651bd2b829613b2a9e5af2fa0591140,org.apache.james.mime4j.util.MimeUtil,org.apache.james.mime4j.util.MimeUtil,0.0410958904109589,0.3333333333333333,5.214285714285714
57,764353092ec375ec27a186f1f70c5098d3415145,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
58,c3319669fda0e0dc2e5369cb42d00cc683bd026e,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
59,0a5c7bb61d7e1f77c2482a4f33d408622874a317,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
60,b1dd73f2e03c602c3380f4bbdd74eab9922a9fca,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
61,316528d2b46815338c65049ddfb8bf33df670f64,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
62,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
63,3b0b19fd99ba347e2883a435375351a98472dd72,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
64,02be12312b78046ecb27190aea45e71fdaed1988,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
65,942fc3eba9c3cd6643b39b2002fe33b4a4e93d85,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
66,e183124e9205688bb8f2eba24fcb44f390669841,org.apache.james.mime4j.message.Multipart,org.apache.james.mime4j.message.Multipart,0.045662100456621,0.4,16.425
67,c83ed25afc1c526e9d9ffc9f1931c898c240cdd2,org.apache.james.mime4j.message.MultipartFormTest,org.apache.james.mime4j.message.MultipartFormTest,0.0410958904109589,0.6666666666666666,24.333333333333332
68,c3319669fda0e0dc2e5369cb42d00cc683bd026e,org.apache.james.mime4j.message.MultipartFormTest,org.apache.james.mime4j.message.MultipartFormTest,0.0410958904109589,0.6666666666666666,24.333333333333332
69,0a5c7bb61d7e1f77c2482a4f33d408622874a317,org.apache.james.mime4j.message.MultipartFormTest,org.apache.james.mime4j.message.MultipartFormTest,0.0410958904109589,0.6666666666666666,24.333333333333332
70,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.message.MultipartFormTest,org.apache.james.mime4j.message.MultipartFormTest,0.0410958904109589,0.6666666666666666,24.333333333333332
71,037460d11c9c1f09bc8ac4da4309e2f525f66182,org.apache.james.mime4j.message.MultipartFormTest,org.apache.james.mime4j.message.MultipartFormTest,0.0410958904109589,0.6666666666666666,24.333333333333332
72,6fce73d9d22035214a6d1ef5d489af7d0dab4e83,org.apache.james.mime4j.message.MultipartFormTest,org.apache.james.mime4j.message.MultipartFormTest,0.0410958904109589,0.6666666666666666,24.333333333333332
73,1cc0295258cb5c924bf5d2681fd491385cc7fe5c,org.apache.james.mime4j.message.MultipartFormTest,org.apache.james.mime4j.message.MultipartFormTest,0.0410958904109589,0.6666666666666666,24.333333333333332
74,e183124e9205688bb8f2eba24fcb44f390669841,org.apache.james.mime4j.message.MultipartFormTest,org.apache.james.mime4j.message.MultipartFormTest,0.0410958904109589,0.6666666666666666,24.333333333333332
75,72d33e6c4e18d7b6c4e945f61acd8811767d0f30,org.apache.james.mime4j.message.MultipartFormTest,org.apache.james.mime4j.message.MultipartFormTest,0.0410958904109589,0.6666666666666666,24.333333333333332
76,c3319669fda0e0dc2e5369cb42d00cc683bd026e,org.apache.james.mime4j.message.MessageTest,org.apache.james.mime4j.message.MessageTest,0.0319634703196347,0.8571428571428571,31.285714285714285
77,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.message.MessageTest,org.apache.james.mime4j.message.MessageTest,0.0319634703196347,0.8571428571428571,31.285714285714285
78,58f474acfe8aa0e8cafdcba74b6bb5fa665f5092,org.apache.james.mime4j.message.MessageTest,org.apache.james.mime4j.message.MessageTest,0.0319634703196347,0.8571428571428571,31.285714285714285
79,6fce73d9d22035214a6d1ef5d489af7d0dab4e83,org.apache.james.mime4j.message.MessageTest,org.apache.james.mime4j.message.MessageTest,0.0319634703196347,0.8571428571428571,31.285714285714285
80,1cc0295258cb5c924bf5d2681fd491385cc7fe5c,org.apache.james.mime4j.message.MessageTest,org.apache.james.mime4j.message.MessageTest,0.0319634703196347,0.8571428571428571,31.285714285714285
81,e183124e9205688bb8f2eba24fcb44f390669841,org.apache.james.mime4j.message.MessageTest,org.apache.james.mime4j.message.MessageTest,0.0319634703196347,0.8571428571428571,31.285714285714285
82,72d33e6c4e18d7b6c4e945f61acd8811767d0f30,org.apache.james.mime4j.message.MessageTest,org.apache.james.mime4j.message.MessageTest,0.0319634703196347,0.8571428571428571,31.285714285714285
83,0a5c7bb61d7e1f77c2482a4f33d408622874a317,org.apache.james.mime4j.message.TempFileBinaryBody,org.apache.james.mime4j.message.TempFileBinaryBody,0.0410958904109589,0.7777777777777778,24.333333333333332
84,fa6ce4d8ecece8219a7830bb7365e2e4f3466cda,org.apache.james.mime4j.message.TempFileBinaryBody,org.apache.james.mime4j.message.TempFileBinaryBody,0.0410958904109589,0.7777777777777778,24.333333333333332
85,153257ad3dd3a47e9951dc98c6bff0eef11d4aa6,org.apache.james.mime4j.message.TempFileBinaryBody,org.apache.james.mime4j.message.TempFileBinaryBody,0.0410958904109589,0.7777777777777778,24.333333333333332
86,42a492b71a753b640da701a495abbb216b19cdfb,org.apache.james.mime4j.message.TempFileBinaryBody,org.apache.james.mime4j.message.TempFileBinaryBody,0.0410958904109589,0.7777777777777778,24.333333333333332
87,6ef0a45a50e53942b06b3a47ba2442b2f610d5b1,org.apache.james.mime4j.message.TempFileBinaryBody,org.apache.james.mime4j.message.TempFileBinaryBody,0.0410958904109589,0.7777777777777778,24.333333333333332
88,b1dd73f2e03c602c3380f4bbdd74eab9922a9fca,org.apache.james.mime4j.message.TempFileBinaryBody,org.apache.james.mime4j.message.TempFileBinaryBody,0.0410958904109589,0.7777777777777778,24.333333333333332
89,316528d2b46815338c65049ddfb8bf33df670f64,org.apache.james.mime4j.message.TempFileBinaryBody,org.apache.james.mime4j.message.TempFileBinaryBody,0.0410958904109589,0.7777777777777778,24.333333333333332
90,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.message.TempFileBinaryBody,org.apache.james.mime4j.message.TempFileBinaryBody,0.0410958904109589,0.7777777777777778,24.333333333333332
91,f71467c17e54f730a7631a7b30d72d57cfc79c42,org.apache.james.mime4j.message.TempFileBinaryBody,org.apache.james.mime4j.message.TempFileBinaryBody,0.0410958904109589,0.7777777777777778,24.333333333333332
92,0a5c7bb61d7e1f77c2482a4f33d408622874a317,org.apache.james.mime4j.message.MessageWriteToTest,org.apache.james.mime4j.message.MessageWriteToTest,0.0136986301369863,1.0,24.333333333333336
93,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.message.MessageWriteToTest,org.apache.james.mime4j.message.MessageWriteToTest,0.0136986301369863,1.0,24.333333333333336
94,6fce73d9d22035214a6d1ef5d489af7d0dab4e83,org.apache.james.mime4j.message.MessageWriteToTest,org.apache.james.mime4j.message.MessageWriteToTest,0.0136986301369863,1.0,24.333333333333336
95,153257ad3dd3a47e9951dc98c6bff0eef11d4aa6,org.apache.james.mime4j.message.TempFileTextBody,org.apache.james.mime4j.message.TempFileTextBody,0.0410958904109589,0.7777777777777778,24.333333333333332
96,23da1fd3e51ba958a95d56190f95a2039b8da91e,org.apache.james.mime4j.message.TempFileTextBody,org.apache.james.mime4j.message.TempFileTextBody,0.0410958904109589,0.7777777777777778,24.333333333333332
97,06176a43f74565d8d9c73ca6665ca5d5aa65a3c1,org.apache.james.mime4j.message.TempFileTextBody,org.apache.james.mime4j.message.TempFileTextBody,0.0410958904109589,0.7777777777777778,24.333333333333332
98,42a492b71a753b640da701a495abbb216b19cdfb,org.apache.james.mime4j.message.TempFileTextBody,org.apache.james.mime4j.message.TempFileTextBody,0.0410958904109589,0.7777777777777778,24.333333333333332
99,6ef0a45a50e53942b06b3a47ba2442b2f610d5b1,org.apache.james.mime4j.message.TempFileTextBody,org.apache.james.mime4j.message.TempFileTextBody,0.0410958904109589,0.7777777777777778,24.333333333333332
