,instance,commit_superclass
48,org.apache.cassandra.cql3.Value,37e9bce381b9daf8e544db475e1a31d70e471e7bTerm.Terminal.Term.TerminalTerm.Terminal.Term.Terminal
49,org.apache.cassandra.cql3.Value,37e9bce381b9daf8e544db475e1a31d70e471e7bTerm.Terminal.Term.TerminalTerm.Terminal.Term.TerminalTerm.Terminal.Term.Terminal
50,org.apache.cassandra.cql3.DelayedValue,37e9bce381b9daf8e544db475e1a31d70e471e7bTerm.NonTerminal.Term.NonTerminal
51,org.apache.cassandra.cql3.DelayedValue,37e9bce381b9daf8e544db475e1a31d70e471e7bTerm.NonTerminal.Term.NonTerminalTerm.NonTerminal.Term.NonTerminal
52,org.apache.cassandra.cql3.DelayedValue,37e9bce381b9daf8e544db475e1a31d70e471e7bTerm.NonTerminal.Term.NonTerminalTerm.NonTerminal.Term.NonTerminalTerm.NonTerminal.Term.NonTerminal
53,org.apache.cassandra.cql3.Marker,37e9bce381b9daf8e544db475e1a31d70e471e7bAbstractMarker
54,org.apache.cassandra.cql3.Marker,37e9bce381b9daf8e544db475e1a31d70e471e7bAbstractMarkerAbstractMarker
55,org.apache.cassandra.cql3.Marker,37e9bce381b9daf8e544db475e1a31d70e471e7bAbstractMarkerAbstractMarkerAbstractMarker
56,org.apache.cassandra.cql3.Setter,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
57,org.apache.cassandra.cql3.Setter,37e9bce381b9daf8e544db475e1a31d70e471e7bOperationOperation
58,org.apache.cassandra.cql3.Setter,37e9bce381b9daf8e544db475e1a31d70e471e7bOperationOperationOperation
59,org.apache.cassandra.cql3.SetterByIndex,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
60,org.apache.cassandra.cql3.Appender,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
61,org.apache.cassandra.cql3.Prepender,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
62,org.apache.cassandra.cql3.Discarder,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
63,org.apache.cassandra.cql3.Discarder,37e9bce381b9daf8e544db475e1a31d70e471e7bOperationOperation
64,org.apache.cassandra.cql3.DiscarderByIndex,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
77,org.apache.cassandra.cql3.SetterByKey,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
78,org.apache.cassandra.cql3.Putter,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
79,org.apache.cassandra.cql3.DiscarderByKey,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
92,org.apache.cassandra.cql3.Adder,37e9bce381b9daf8e544db475e1a31d70e471e7bOperation
95,org.apache.cassandra.cql3.Term,37e9bce381b9daf8e544db475e1a31d70e471e7bAssignementTestable
96,org.apache.cassandra.cql3.functions.FunctionCall,37e9bce381b9daf8e544db475e1a31d70e471e7bTerm.NonTerminal.Term.NonTerminal
97,org.apache.cassandra.cql3.statements.BatchStatement,37e9bce381b9daf8e544db475e1a31d70e471e7borg.apache.cassandra.db.IMutation
98,org.apache.cassandra.cql3.statements.CreateTableStatement,37e9bce381b9daf8e544db475e1a31d70e471e7borg.apache.cassandra.cql3.statements.SchemaAlteringStatement
99,org.apache.cassandra.cql3.statements.RawStatement,37e9bce381b9daf8e544db475e1a31d70e471e7bCFStatement
100,org.apache.cassandra.cql3.statements.DeleteStatement,37e9bce381b9daf8e544db475e1a31d70e471e7borg.apache.cassandra.cql3.statements.ModificationStatement
101,org.apache.cassandra.cql3.statements.ModificationStatement,37e9bce381b9daf8e544db475e1a31d70e471e7bIMutation
102,org.apache.cassandra.cql3.statements.SchemaAlteringStatement,37e9bce381b9daf8e544db475e1a31d70e471e7bCFStatement
103,org.apache.cassandra.cql3.statements.TruncateStatement,37e9bce381b9daf8e544db475e1a31d70e471e7bCFStatement
104,org.apache.cassandra.cql3.statements.UpdateStatement,37e9bce381b9daf8e544db475e1a31d70e471e7borg.apache.cassandra.cql3.statements.ModificationStatement
105,org.apache.cassandra.cql3.statements.ParsedUpdate,37e9bce381b9daf8e544db475e1a31d70e471e7bModificationStatement.Parsed.ModificationStatement.Parsed
106,org.apache.cassandra.cql3.statements.UseStatement,37e9bce381b9daf8e544db475e1a31d70e471e7borg.apache.cassandra.cql3.statements.ParsedStatement
107,org.apache.cassandra.cql3.statements.WithMarker,a0abadfdb5721f6f595b6f9e33ed2bf44603d2feIN
108,org.apache.cassandra.metrics.ClientRequestMetrics,eb390d02e57894bc04505571e1d0c1d0a08b3dd4org.apache.cassandra.metrics.LatencyMetrics
