,instance,commit_superclass
4565,org.eclipse.jdt.core.tests.builder.BuilderTests,a2905241c8f7a3e3308dc841ede04f62d302de11org.eclipse.jdt.core.tests.junit.extension.TestCase
4566,org.eclipse.jdt.core.tests.builder.GetResourcesTests,86b2736b1ff244cb248bf0457bce1e3bc8f80637BuilderTests
4567,org.eclipse.jdt.core.IClassFile,d5e254d0a9c77fa2a79add6067d5064eaaf81ae1ITypeRoot
4568,org.eclipse.jdt.internal.core.DefaultWorkingCopyOwner,c052d66dbc2732414cdaf446e79eec5da0743843org.eclipse.jdt.core.WorkingCopyOwner
4569,org.eclipse.jdt.core.tests.model.AccessRestrictionsTests,c052d66dbc2732414cdaf446e79eec5da0743843ModifyingResourceTests
4570,org.eclipse.jdt.core.tests.model.SelectionJavadocModelTests,c052d66dbc2732414cdaf446e79eec5da0743843AbstractJavaModelTests
4571,org.eclipse.jdt.core.tests.model.SortCompilationUnitElementsTests,c052d66dbc2732414cdaf446e79eec5da0743843ModifyingResourceTests
4572,org.eclipse.jdt.core.tests.model.TypeHierarchyNotificationTests,c052d66dbc2732414cdaf446e79eec5da0743843ModifyingResourceTests
4573,org.eclipse.jdt.apt.tests.annotations.pause.PauseAnnotationProcessorFactory,20a3b07578a2ebec2d9a0569764e78af37761eaforg.eclipse.jdt.apt.tests.annotations.BaseFactory
4574,org.eclipse.jdt.core.tests.builder.ParticipantBuildTests,2ad69f466c4df4c3e626fb0d9831c536de8ea5c0BuilderTests
4575,org.eclipse.jdt.core.tests.builder.ParticipantProblem,2ad69f466c4df4c3e626fb0d9831c536de8ea5c0CategorizedProblem
4576,org.eclipse.jdt.compiler.tool.tests.AllTests,e262eb0f1e9037308ec3014f40be773fd8689f48junit.framework.TestCase
4577,org.eclipse.jdt.internal.core.JarEntryResource,8a0b8147f0cecac2ce3556609ced767532ecf02forg.eclipse.core.runtime.PlatformObject
4578,org.eclipse.jdt.internal.compiler.apt.util.Archive,37f7cac3823f9507b9a22e7adcfe2aea7fbedf26java.util.zip.ZipEntry
4579,org.eclipse.jdt.internal.apt.pluggable.core.dispatch.IdeBuildProcessingEnvImpl,4726a832ea714ad024e9712755d1579c273238b4org.eclipse.jdt.internal.apt.pluggable.core.dispatch.IdeProcessingEnvImpl
4580,org.eclipse.jdt.internal.apt.pluggable.core.dispatch.IdeReconcileProcessingEnvImpl,4726a832ea714ad024e9712755d1579c273238b4org.eclipse.jdt.internal.apt.pluggable.core.dispatch.IdeProcessingEnvImpl
4581,org.eclipse.jdt.internal.core.JarEntryDirectory,bad954afb2676759183aeb6e67aac62fcd10e156org.eclipse.jdt.internal.core.JarEntryResource
4582,org.eclipse.jdt.internal.compiler.parser.RecoveredType,1c4db5a4cb89cc4b9085f6d427eba6f7566d5b74RecoveredStatement
4583,org.eclipse.jdt.internal.core.MultiOperation,c4145c80a504c8681f4571ff2bd214b778e87107JavaModelOperation
4584,test0251.X,d38fc1042ea41405e872886fade2fc483e8bcf01A
4585,test0252.X,d38fc1042ea41405e872886fade2fc483e8bcf01A
4586,org.eclipse.jdt.internal.core.util.Messages,eaaeea046b340f91bd2146e38b8d80abded44679org.eclipse.osgi.util.NLS
4587,org.eclipse.jdt.core.tests.compiler.regression.LookupTest,985aba49ffb0849a1927eddcbca9cdac39c5c825AbstractRegressionTest
4588,org.eclipse.jdt.core.tests.builder.AbstractMethodTests,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.builder.BuilderTests
4589,org.eclipse.jdt.core.tests.builder.BasicBuildTests,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.builder.BuilderTests
4590,org.eclipse.jdt.core.tests.builder.IncrementalTests,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.builder.BuilderTests
4591,org.eclipse.jdt.core.tests.builder.MultiProjectTests,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.builder.BuilderTests
4592,org.eclipse.jdt.core.tests.builder.MultiSourceFolderAndOutputFolderTests,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.builder.BuilderTests
4593,org.eclipse.jdt.core.tests.compiler.parser.CompletionParserTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractCompletionTest
4594,org.eclipse.jdt.core.tests.compiler.parser.CompletionRecoveryTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractCompletionTest
4595,org.eclipse.jdt.core.tests.compiler.parser.DietCompletionTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractCompletionTest
4596,org.eclipse.jdt.core.tests.compiler.parser.DietRecoveryTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.util.AbstractCompilerTest
4597,org.eclipse.jdt.core.tests.compiler.parser.EnumCompletionParserTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractCompletionTest
4598,org.eclipse.jdt.core.tests.compiler.parser.EnumDietRecoveryTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.util.AbstractCompilerTest
4599,org.eclipse.jdt.core.tests.compiler.parser.InnerTypeCompletionTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractCompletionTest
4600,org.eclipse.jdt.core.tests.compiler.parser.LabelStatementCompletionTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractCompletionTest
4601,org.eclipse.jdt.core.tests.compiler.parser.NameReferenceCompletionTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractCompletionTest
4602,org.eclipse.jdt.core.tests.compiler.parser.ParserTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.compiler.regression.AbstractRegressionTest
4603,org.eclipse.jdt.core.tests.compiler.parser.ReferenceTypeCompletionTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractCompletionTest
4604,org.eclipse.jdt.core.tests.compiler.parser.SelectionTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractSelectionTest
4605,org.eclipse.jdt.core.tests.compiler.parser.StatementRecoveryTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.util.AbstractCompilerTest
4606,org.eclipse.jdt.core.tests.compiler.regression.CharOperationTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractRegressionTest
4607,org.eclipse.jdt.core.tests.compiler.regression.Compliance_1_3,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractRegressionTest
4608,org.eclipse.jdt.core.tests.compiler.regression.Compliance_1_4,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractRegressionTest
4609,org.eclipse.jdt.core.tests.compiler.regression.Compliance_1_5,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractComparableTest
4610,org.eclipse.jdt.core.tests.compiler.regression.EnclosingMethodAttributeTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractComparableTest
4611,org.eclipse.jdt.core.tests.compiler.regression.EnumTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractComparableTest
4612,org.eclipse.jdt.core.tests.compiler.regression.JavadocTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractRegressionTest
4613,org.eclipse.jdt.core.tests.compiler.regression.JavadocTest_1_3,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.compiler.regression.JavadocTest
4614,org.eclipse.jdt.core.tests.compiler.regression.JavadocTest_1_4,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.compiler.regression.JavadocTest
4615,org.eclipse.jdt.core.tests.compiler.regression.ProblemConstructorTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractRegressionTest
4616,org.eclipse.jdt.core.tests.compiler.regression.XLargeTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractRegressionTest
4617,org.eclipse.jdt.core.tests.eval.CodeSnippetTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2EvaluationTest
4618,org.eclipse.jdt.core.tests.eval.EvaluationTest,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2AbstractCompilerTest
4619,org.eclipse.jdt.core.tests.eval.ResultRequestor,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2Requestor
4620,org.eclipse.jdt.core.tests.eval.InstallRequestor,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2Requestor
4621,org.eclipse.jdt.core.tests.runtime.JRockitVMLauncher,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.runtime.LocalVMLauncher
4622,org.eclipse.jdt.core.tests.formatter.comment.CommentTestCase,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.model.SuiteOfTestCases
4623,org.eclipse.jdt.core.tests.formatter.comment.MultiLineTestCase,5ea56603dc1ee6ae8d60e4a5ed0d457e4e0823e2org.eclipse.jdt.core.tests.formatter.comment.CommentTestCase
