,instance,commit_superclass,antecedants,antecedent support,consequent support,support,confidence,lift,leverage,conviction
27,org.apache.commons.logging.log4j.log4j12.AppClasspathStandardTestCase,41c4b1025075216c788c0ad36760dad58877975forg.apache.commons.logging.log4j.StandardTests,org.apache.commons.logging.log4j.log4j12.AppClasspathStandardTestCase,0.01818181818181818,0.01818181818181818,0.01818181818181818,1.0,55.0,0.01785123966942149,inf
28,org.apache.commons.logging.log4j.log4j12.ApiClasspathStandardTestCase,41c4b1025075216c788c0ad36760dad58877975forg.apache.commons.logging.log4j.StandardTests,org.apache.commons.logging.log4j.log4j12.ApiClasspathStandardTestCase,0.01818181818181818,0.01818181818181818,0.01818181818181818,1.0,55.0,0.01785123966942149,inf
29,org.apache.commons.logging.tccl.TcclEnabledTestCase,7ff4b00feffda2db6ac2c47b6cba92540cef1d4cjunit.framework.TestCase,org.apache.commons.logging.tccl.TcclEnabledTestCase,0.01818181818181818,0.01818181818181818,0.01818181818181818,1.0,55.0,0.01785123966942149,inf
30,org.apache.commons.logging.tccl.TcclDisabledTestCase,7ff4b00feffda2db6ac2c47b6cba92540cef1d4cjunit.framework.TestCase,org.apache.commons.logging.tccl.TcclDisabledTestCase,0.01818181818181818,0.01818181818181818,0.01818181818181818,1.0,55.0,0.01785123966942149,inf
31,org.apache.commons.logging.tccl.logfactory.TcclEnabledTestCase,19a76b429b473c6b3696a74f7cb0e6535ca53627junit.framework.TestCase,org.apache.commons.logging.tccl.logfactory.TcclEnabledTestCase,0.03636363636363636,0.03636363636363636,0.03636363636363636,1.0,27.5,0.035041322314049585,inf
32,org.apache.commons.logging.tccl.logfactory.TcclEnabledTestCase,19a76b429b473c6b3696a74f7cb0e6535ca53627junit.framework.TestCasejunit.framework.TestCase,org.apache.commons.logging.tccl.logfactory.TcclEnabledTestCase,0.03636363636363636,0.03636363636363636,0.03636363636363636,1.0,27.5,0.035041322314049585,inf
33,org.apache.commons.logging.tccl.logfactory.TcclDisabledTestCase,19a76b429b473c6b3696a74f7cb0e6535ca53627junit.framework.TestCase,org.apache.commons.logging.tccl.logfactory.TcclDisabledTestCase,0.03636363636363636,0.03636363636363636,0.03636363636363636,1.0,27.5,0.035041322314049585,inf
34,org.apache.commons.logging.tccl.logfactory.TcclDisabledTestCase,19a76b429b473c6b3696a74f7cb0e6535ca53627junit.framework.TestCasejunit.framework.TestCase,org.apache.commons.logging.tccl.logfactory.TcclDisabledTestCase,0.03636363636363636,0.03636363636363636,0.03636363636363636,1.0,27.5,0.035041322314049585,inf
35,org.apache.commons.logging.tccl.log.TcclEnabledTestCase,19a76b429b473c6b3696a74f7cb0e6535ca53627junit.framework.TestCase,org.apache.commons.logging.tccl.log.TcclEnabledTestCase,0.03636363636363636,0.03636363636363636,0.03636363636363636,1.0,27.5,0.035041322314049585,inf
36,org.apache.commons.logging.tccl.log.TcclEnabledTestCase,19a76b429b473c6b3696a74f7cb0e6535ca53627junit.framework.TestCasejunit.framework.TestCase,org.apache.commons.logging.tccl.log.TcclEnabledTestCase,0.03636363636363636,0.03636363636363636,0.03636363636363636,1.0,27.5,0.035041322314049585,inf
37,org.apache.commons.logging.tccl.log.TcclDisabledTestCase,19a76b429b473c6b3696a74f7cb0e6535ca53627junit.framework.TestCase,org.apache.commons.logging.tccl.log.TcclDisabledTestCase,0.03636363636363636,0.03636363636363636,0.03636363636363636,1.0,27.5,0.035041322314049585,inf
38,org.apache.commons.logging.tccl.log.TcclDisabledTestCase,19a76b429b473c6b3696a74f7cb0e6535ca53627junit.framework.TestCasejunit.framework.TestCase,org.apache.commons.logging.tccl.log.TcclDisabledTestCase,0.03636363636363636,0.03636363636363636,0.03636363636363636,1.0,27.5,0.035041322314049585,inf
