CommitNumber;Entity;Class;Change;Superclass
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.TransformingSequentialList<F, T>;ADDED*;.AbstractSequentialList<T>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.TransformingRandomAccessList<F, T>;ADDED*;.AbstractList<T>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Partition<T>;ADDED*;.AbstractList<List<T>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.RandomAccessPartition<T>;ADDED*;.Partition<T>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.MultisetView;ADDED*;.AbstractCollection<K>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.MultisetView;ADDED*;.AbstractCollection<K>.AbstractMultiset<K>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.AsMapEntries;ADDED*;.AbstractSet<Entry<K, Collection<V>>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SetDecorator;ADDED*;.ForwardingSet<V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.BuilderMultimap<K, V>;ADDED*;.AbstractMultimap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.ArrayImmutableSet<E>;ADDED*;.ImmutableSet<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.TransformedImmutableSet<D, E>;ADDED*;.ImmutableSet<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EntrySet<E>;ADDED*;.ImmutableSet<Entry<E>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EntryCollection<K, V>;ADDED*;.ImmutableCollection<Map.Entry<K, V>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Values<V>;ADDED*;.ImmutableCollection<V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EmptyImmutableCollection;ADDED*;.ImmutableCollection<Object>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.ArrayImmutableCollection<E>;ADDED*;.ImmutableCollection<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<E>;ADDED*;.ImmutableSet.ImmutableCollection.ImmutableCollection.ImmutableCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.ImmutableClassToInstanceMap<B>;ADDED*;.ForwardingMap<Class<? extends B>, B>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Builder<K, V>;ADDED*;.ImmutableMap.ImmutableMultimap.ImmutableMultimap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SerializedForm;ADDED*;.ImmutableMap.ImmutableMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EnumHashBiMap<K extends Enum<K>, V>;ADDED*;.AbstractBiMap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EnumBiMap<K extends Enum<K>, V extends Enum<V>>;ADDED*;.AbstractBiMap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.KeyIterator;ADDED*;.HashIterator
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.ValueIterator;ADDED*;.HashIterator
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.WriteThroughEntry;ADDED*;.AbstractMapEntry<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EntryIterator;ADDED*;.HashIterator
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.KeySet;ADDED*;.AbstractSet<K>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.KeySet;ADDED*;.AbstractSet<K>.AbstractSet<K>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Values;ADDED*;.AbstractCollection<V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Values;ADDED*;.AbstractCollection<V>.AbstractCollection<V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EntrySet;ADDED*;.AbstractSet<Entry<K, V>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EntrySet;ADDED*;.AbstractSet<Entry<K, V>>.Entries
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.ComputingImpl<K, V, E>;ADDED*;.Impl<K, V, E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.ConcurrentHashMultiset<E>;ADDED*;.AbstractMultiset<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.AsynchronousComputationException;ADDED*;.ComputationException
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.WrappedSet;ADDED*;.WrappedCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.WrappedSortedSet;ADDED*;.WrappedCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.WrappedList;ADDED*;.WrappedCollection
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.WrappedListIterator;ADDED*;.WrappedIterator
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.RandomAccessWrappedList;ADDED*;.WrappedList
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.KeySet;ADDED*;.AbstractSet<K>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.KeySet;ADDED*;.AbstractSet<K>.AbstractSet<K>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SortedKeySet;ADDED*;.KeySet
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.MultisetView;ADDED*;.AbstractCollection<K>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.MultisetView;ADDED*;.AbstractCollection<K>.AbstractMultiset<K>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.MultisetEntry;ADDED*;.Multisets
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Values;ADDED*;.AbstractCollection<V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Values;ADDED*;.AbstractCollection<V>.AbstractCollection<V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.ValueIterator;ADDED*;.HashIterator
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.Entries;ADDED*;.AbstractCollection<Map.Entry<K, V>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EntryIterator;ADDED*;.HashIterator
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EntrySet;ADDED*;.AbstractSet<Entry<K, V>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.EntrySet;ADDED*;.AbstractSet<Entry<K, V>>.Entries
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.AsMap;ADDED*;.AbstractMap<K, Collection<V>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SortedAsMap;ADDED*;.AsMap
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.base.internal.Finalizer;ADDED*;.Thread
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.base.FinalizableWeakReference<T>;ADDED*;.WeakReference<T>
